File Name,Execution Time (seconds)
ActionConverter.tlsf,0.107471258
AlarmMin_efe2feaf.tlsf,0.10277807
Alarm_06e9cad4.tlsf,3.6207014
Alarm_2d1010f8.tlsf,0.130507086
Alarm_68c86764.tlsf,3.70501109
Alarm_70523fbe.tlsf,1.998566013
Alarm_88c5c1c3.tlsf,0.133731336
Alarm_9cac58d3.tlsf,0.129643387
Alarm_a5f99bc6.tlsf,18.697543848
Alarm_f2774e0b.tlsf,2.050186167
AllHeating_d6376bf9.tlsf,0.115626605
AllLights_06e9cad4.tlsf,Timeout
AllLights_2c5b09da.tlsf,Timeout
AllLights_63831f8c.tlsf,Timeout
AllLights_aeb1d897.tlsf,Timeout
AllLights_b209ff21.tlsf,Timeout
AllLights_d6c5ac79.tlsf,Timeout
AllShades_66f450a4.tlsf,Timeout
Assumptions_a50cadd7.tlsf,1.055446574
Automata.tlsf,0.666939147
Automata16S.tlsf,1.233766279
Automata32S.tlsf,3.718104437
Button.tlsf,0.045486073
CheckAlarmBroken1_1a2942e3.tlsf,0.070868884
CheckAlarm_6bea956e.tlsf,0.089947669
CheckAlarm_88f351a6.tlsf,0.083612722
CheckCoffeMachineBroken1_a5f99bc6.tlsf,0.129255552
CheckCoffeMachine_1cf58fc1.tlsf,0.205094845
CheckCoffeMachine_3461125b.tlsf,0.141291371
CheckCoffeMachine_f3987563.tlsf,0.219129147
CheckDoor_c2b9e44d.tlsf,0.091300687
CheckHeating_2418b67e.tlsf,0.122417054
CheckHeating_3461125b.tlsf,0.105595243
CheckLight_007df645.tlsf,0.111788242
CheckLight_aeb1d897.tlsf,0.155006107
CheckRoom_06e9cad4.tlsf,0.069643018
CheckRoom_2c5b09da.tlsf,0.057479997
CheckRoom_3916ec59.tlsf,0.078890981
CheckRoom_70523fbe.tlsf,0.041602136
CheckRoom_88c5c1c3.tlsf,0.038663143
CheckShades_1a2942e3.tlsf,0.079603332
CheckShades_3461125b.tlsf,0.077722544
CheckShades_4d4ca5c4.tlsf,0.065338307
CheckShades_aeb1d897.tlsf,0.08609445
CheckTime_3916ec59.tlsf,0.054754598
CheckTime_4b5e6eaa.tlsf,0.047364611
CheckTime_54e1f7d2.tlsf,0.04649109
CheckTime_6479ef9a.tlsf,0.044979975
CheckTimer_54e1f7d2.tlsf,0.070996113
CheckTimer_fa8592c8.tlsf,0.09593259
CheckWarnlightBroken1_70523fbe.tlsf,0.065559127
CheckWarnlight_1cf58fc1.tlsf,0.076051325
CheckWarnlight_4b5a2bad.tlsf,0.08906745
CheckWarnlight_54e1f7d2.tlsf,0.074171162
CheckWarnlight_6bea956e.tlsf,0.057211294
CheckWindows_2418b67e.tlsf,0.028868376
CheckWindows_54e1f7d2.tlsf,0.031728878
Cockpitboard.tlsf,0.279165923
Cockpitboard_efe2feaf.tlsf,0.280293987
CoffeMachine_974f4a68.tlsf,0.31884069
CoffeMachine_a50cadd7.tlsf,0.136996886
CoffeeMin_88f351a6.tlsf,0.116905233
Coffee_06e9cad4.tlsf,1.214305051
Coffee_235467da.tlsf,0.187382956
Coffee_2c5b09da.tlsf,0.22929799
Coffee_6479ef9a.tlsf,1.075774418
Coffee_d6376bf9.tlsf,1.188260369
Coffee_efe2feaf.tlsf,0.276117914
Coffee_f1477cc5.tlsf,0.797089373
Core_4b5a2bad.tlsf,0.745434525
Core_66f450a4.tlsf,0.078454597
Core_fa4d4ce3.tlsf,0.693608558
Core_solved_974f4a68.tlsf,0.626633701
Demo1_06e9cad4.tlsf,Timeout
Demo1_2c5b09da.tlsf,Timeout
Demo1_63831f8c.tlsf,Timeout
Demo1_c2b9e44d.tlsf,Timeout
Demo1_d65ed84e.tlsf,Timeout
