Spec,Size,Remove,Time,Best?,
specs/dining.spectra, 2, -1, 0.105,1.000,
specs/dining.spectra, 2, 0, 0.112,1.000,
specs/dining.spectra, 2, 1, 0.099,1.000,
specs/dining.spectra, 2, 2, 0.104,1.000,
specs/dining.spectra, 2, 3, 0.114,1.000,
specs/dining.spectra, 2, 4, 0.112,1.000,
specs/dining.spectra, 2, 7, 0.114,1.000,
specs/dining.spectra, 2, 8, 0.115,1.000,
specs/dining.spectra, 3, -1, 0.281,1.000,
specs/dining.spectra, 3, 0, 0.342,1.000,
specs/dining.spectra, 3, 1, 0.273,1.000,
specs/dining.spectra, 3, 2, 0.336,1.000,
specs/dining.spectra, 3, 3, 0.265,1.000,
specs/dining.spectra, 3, 4, 0.272,1.000,
specs/dining.spectra, 3, 8, 0.323,1.000,
specs/dining.spectra, 3, 9, 0.369,1.000,
specs/dining.spectra, 4, -1, 1.499,1.000,
specs/dining.spectra, 4, 0, 1.481,1.000,
specs/dining.spectra, 4, 1, 1.297,1.000,
specs/dining.spectra, 4, 2, 1.995,1.000,
specs/dining.spectra, 4, 3, 1.384,1.000,
specs/dining.spectra, 4, 4, 1.472,1.000,
specs/dining.spectra, 4, 9, 1.369,1.000,
specs/dining.spectra, 4, 10, 1.795,1.000,
