Spec,Size,Remove,Time,Best?,
specs/dining.spectra, 2, -1, 0.111,1.000,
specs/dining.spectra, 2, 0, 0.116,1.000,
specs/dining.spectra, 2, 1, 0.133,1.000,
specs/dining.spectra, 2, 2, 0.107,1.000,
specs/dining.spectra, 2, 3, 0.123,1.000,
specs/dining.spectra, 2, 4, 0.114,1.000,
specs/dining.spectra, 2, 7, 0.105,1.000,
specs/dining.spectra, 2, 8, 0.116,1.000,
specs/dining.spectra, 3, -1, 0.280,1.000,
specs/dining.spectra, 3, 0, 0.275,1.000,
specs/dining.spectra, 3, 1, 0.290,1.000,
specs/dining.spectra, 3, 2, 0.331,1.000,
specs/dining.spectra, 3, 3, 0.263,1.000,
specs/dining.spectra, 3, 4, 0.286,1.000,
specs/dining.spectra, 3, 8, 0.275,1.000,
specs/dining.spectra, 3, 9, 0.283,1.000,
specs/dining.spectra, 4, -1, 1.337,1.000,
specs/dining.spectra, 4, 0, 1.297,1.000,
specs/dining.spectra, 4, 1, 1.339,1.000,
specs/dining.spectra, 4, 2, 1.805,1.000,
specs/dining.spectra, 4, 3, 1.184,1.000,
specs/dining.spectra, 4, 4, 1.268,1.000,
specs/dining.spectra, 4, 9, 1.299,1.000,
specs/dining.spectra, 4, 10, 1.687,1.000,
