Spec,Size,Remove,Time,Best?,
specs/full_arbiter_unreal.spectra, 2, -1, 0.266,0.000,
specs/full_arbiter_unreal.spectra, 2, 0, 0.322,0.000,
specs/full_arbiter_unreal.spectra, 2, 1, 0.179,1.000,
specs/full_arbiter_unreal.spectra, 2, 2, 0.212,1.000,
specs/full_arbiter_unreal.spectra, 3, -1, 6.258,0.000,
specs/full_arbiter_unreal.spectra, 3, 0, 42.934,0.000,
specs/full_arbiter_unreal.spectra, 3, 1, 3.113,1.000,
specs/full_arbiter_unreal.spectra, 3, 2, 2.680,1.000,
specs/full_arbiter_unreal.spectra, 4, -1, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 4, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 4, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 4, 2, class java.util.concurrent.TimeoutException
