Spec,Size,Remove,Time,Best?,
specs/genbuf.spectra, 2, -1, 0.142,1.000,
specs/genbuf.spectra, 2, 0, 0.143,1.000,
specs/genbuf.spectra, 2, 1, 0.142,1.000,
specs/genbuf.spectra, 2, 2, 0.149,1.000,
specs/genbuf.spectra, 2, 3, 0.127,1.000,
specs/genbuf.spectra, 2, 4, 0.129,1.000,
specs/genbuf.spectra, 2, 5, 0.145,1.000,
specs/genbuf.spectra, 2, 6, 0.144,1.000,
specs/genbuf.spectra, 2, 7, 0.145,1.000,
specs/genbuf.spectra, 2, 8, 0.130,1.000,
specs/genbuf.spectra, 2, 9, 0.144,1.000,
specs/genbuf.spectra, 2, 10, 0.146,1.000,
specs/genbuf.spectra, 2, 11, 0.146,1.000,
specs/genbuf.spectra, 2, 12, 0.150,1.000,
specs/genbuf.spectra, 2, 13, 0.137,1.000,
specs/genbuf.spectra, 2, 14, 0.148,1.000,
specs/genbuf.spectra, 2, 15, 0.155,1.000,
specs/genbuf.spectra, 2, 16, 0.139,1.000,
specs/genbuf.spectra, 2, 17, 0.135,1.000,
specs/genbuf.spectra, 2, 18, 0.134,1.000,
specs/genbuf.spectra, 2, 19, 0.153,1.000,
specs/genbuf.spectra, 2, 20, 0.153,1.000,
specs/genbuf.spectra, 2, 21, 0.147,1.000,
specs/genbuf.spectra, 2, 22, 0.142,1.000,
specs/genbuf.spectra, 2, 23, 0.134,1.000,
specs/genbuf.spectra, 2, 24, 0.127,1.000,
specs/genbuf.spectra, 2, 25, 0.145,1.000,
specs/genbuf.spectra, 2, 26, 0.140,1.000,
specs/genbuf.spectra, 2, 27, 0.140,1.000,
specs/genbuf.spectra, 2, 30, 0.185,1.000,
specs/genbuf.spectra, 2, 31, 0.124,1.000,
specs/genbuf.spectra, 2, 32, 0.143,1.000,
specs/genbuf.spectra, 2, 33, 0.152,1.000,
specs/genbuf.spectra, 2, 34, 0.138,1.000,
specs/genbuf.spectra, 2, 35, 0.157,1.000,
specs/genbuf.spectra, 2, 36, 0.153,1.000,
specs/genbuf.spectra, 2, 37, 0.142,1.000,
specs/genbuf.spectra, 2, 38, 0.152,1.000,
specs/genbuf.spectra, 2, 39, 0.131,1.000,
specs/genbuf.spectra, 2, 40, 0.132,1.000,
specs/genbuf.spectra, 2, 41, 0.119,1.000,
specs/genbuf.spectra, 2, 42, 0.152,1.000,
specs/genbuf.spectra, 2, 43, 0.158,1.000,
specs/genbuf.spectra, 2, 44, 0.136,1.000,
specs/genbuf.spectra, 2, 45, 0.143,1.000,
specs/genbuf.spectra, 2, 46, 0.130,1.000,
specs/genbuf.spectra, 2, 47, 0.148,1.000,
specs/genbuf.spectra, 2, 48, 0.123,1.000,
specs/genbuf.spectra, 2, 49, 0.128,0.000,
specs/genbuf.spectra, 2, 50, 0.134,0.000,
specs/genbuf.spectra, 3, -1, 0.359,1.000,
specs/genbuf.spectra, 3, 0, 0.333,1.000,
specs/genbuf.spectra, 3, 1, 0.314,1.000,
specs/genbuf.spectra, 3, 2, 0.355,1.000,
specs/genbuf.spectra, 3, 3, 0.316,1.000,
specs/genbuf.spectra, 3, 4, 0.327,1.000,
specs/genbuf.spectra, 3, 5, 0.340,1.000,
specs/genbuf.spectra, 3, 6, 0.334,1.000,
specs/genbuf.spectra, 3, 7, 0.333,1.000,
specs/genbuf.spectra, 3, 8, 0.315,1.000,
specs/genbuf.spectra, 3, 9, 0.328,1.000,
specs/genbuf.spectra, 3, 10, 0.326,1.000,
specs/genbuf.spectra, 3, 11, 0.346,1.000,
specs/genbuf.spectra, 3, 12, 0.321,1.000,
specs/genbuf.spectra, 3, 13, 0.351,1.000,
specs/genbuf.spectra, 3, 14, 0.312,1.000,
specs/genbuf.spectra, 3, 15, 0.336,1.000,
specs/genbuf.spectra, 3, 16, 0.352,1.000,
specs/genbuf.spectra, 3, 17, 0.338,1.000,
specs/genbuf.spectra, 3, 18, 0.297,1.000,
specs/genbuf.spectra, 3, 19, 0.331,1.000,
specs/genbuf.spectra, 3, 20, 0.341,1.000,
specs/genbuf.spectra, 3, 21, 0.311,1.000,
specs/genbuf.spectra, 3, 22, 0.316,1.000,
specs/genbuf.spectra, 3, 23, 0.335,1.000,
specs/genbuf.spectra, 3, 24, 0.175,1.000,
specs/genbuf.spectra, 3, 25, 0.352,1.000,
specs/genbuf.spectra, 3, 26, 0.325,1.000,
specs/genbuf.spectra, 3, 27, 0.329,1.000,
specs/genbuf.spectra, 3, 31, 0.489,1.000,
specs/genbuf.spectra, 3, 32, 0.311,1.000,
specs/genbuf.spectra, 3, 33, 0.321,1.000,
specs/genbuf.spectra, 3, 34, 0.371,1.000,
specs/genbuf.spectra, 3, 35, 0.341,1.000,
specs/genbuf.spectra, 3, 36, 0.337,1.000,
specs/genbuf.spectra, 3, 37, 0.324,1.000,
specs/genbuf.spectra, 3, 38, 0.319,1.000,
specs/genbuf.spectra, 3, 39, 0.317,1.000,
specs/genbuf.spectra, 3, 40, 0.285,1.000,
specs/genbuf.spectra, 3, 41, 0.295,1.000,
specs/genbuf.spectra, 3, 42, 0.297,1.000,
specs/genbuf.spectra, 3, 43, 0.315,1.000,
specs/genbuf.spectra, 3, 44, 0.302,1.000,
specs/genbuf.spectra, 3, 45, 0.361,1.000,
specs/genbuf.spectra, 3, 46, 0.299,1.000,
specs/genbuf.spectra, 3, 47, 0.329,1.000,
specs/genbuf.spectra, 3, 48, 0.328,1.000,
specs/genbuf.spectra, 3, 49, 0.316,1.000,
specs/genbuf.spectra, 3, 50, 0.287,1.000,
specs/genbuf.spectra, 3, 51, 0.239,1.000,
specs/genbuf.spectra, 4, -1, 1.619,1.000,
specs/genbuf.spectra, 4, 0, 1.279,1.000,
specs/genbuf.spectra, 4, 1, 1.561,1.000,
specs/genbuf.spectra, 4, 2, 1.635,1.000,
specs/genbuf.spectra, 4, 3, 1.426,1.000,
specs/genbuf.spectra, 4, 4, 1.364,1.000,
specs/genbuf.spectra, 4, 5, 1.586,1.000,
specs/genbuf.spectra, 4, 6, 1.644,1.000,
specs/genbuf.spectra, 4, 7, 1.615,1.000,
specs/genbuf.spectra, 4, 8, 1.607,1.000,
specs/genbuf.spectra, 4, 9, 1.664,1.000,
specs/genbuf.spectra, 4, 10, 1.598,1.000,
specs/genbuf.spectra, 4, 11, 1.704,1.000,
specs/genbuf.spectra, 4, 12, 1.648,1.000,
specs/genbuf.spectra, 4, 13, 1.624,1.000,
specs/genbuf.spectra, 4, 14, 1.666,1.000,
specs/genbuf.spectra, 4, 15, 1.599,1.000,
specs/genbuf.spectra, 4, 16, 1.673,1.000,
