Spec,Size,Remove,Time,Best?,
specs/genbuf.spectra, 2, -1, 0.112,1.000,
specs/genbuf.spectra, 2, 0, 0.106,1.000,
specs/genbuf.spectra, 2, 1, 0.118,1.000,
specs/genbuf.spectra, 2, 2, 0.120,1.000,
specs/genbuf.spectra, 2, 3, 0.100,1.000,
specs/genbuf.spectra, 2, 4, 0.104,1.000,
specs/genbuf.spectra, 2, 5, 0.120,1.000,
specs/genbuf.spectra, 2, 6, 0.107,1.000,
specs/genbuf.spectra, 2, 7, 0.104,1.000,
specs/genbuf.spectra, 2, 8, 0.111,1.000,
specs/genbuf.spectra, 2, 9, 0.107,1.000,
specs/genbuf.spectra, 2, 10, 0.112,1.000,
specs/genbuf.spectra, 2, 11, 0.108,1.000,
specs/genbuf.spectra, 2, 12, 0.109,1.000,
specs/genbuf.spectra, 2, 13, 0.117,1.000,
specs/genbuf.spectra, 2, 14, 0.113,1.000,
specs/genbuf.spectra, 2, 15, 0.117,1.000,
specs/genbuf.spectra, 2, 16, 0.113,1.000,
specs/genbuf.spectra, 2, 17, 0.109,1.000,
specs/genbuf.spectra, 2, 18, 0.109,1.000,
specs/genbuf.spectra, 2, 19, 0.098,1.000,
specs/genbuf.spectra, 2, 20, 0.110,1.000,
specs/genbuf.spectra, 2, 21, 0.104,1.000,
specs/genbuf.spectra, 2, 22, 0.105,1.000,
specs/genbuf.spectra, 2, 23, 0.102,1.000,
specs/genbuf.spectra, 2, 24, 0.109,1.000,
specs/genbuf.spectra, 2, 25, 0.112,1.000,
specs/genbuf.spectra, 2, 26, 0.113,1.000,
specs/genbuf.spectra, 2, 27, 0.120,1.000,
specs/genbuf.spectra, 2, 30, 0.103,1.000,
specs/genbuf.spectra, 2, 31, 0.117,1.000,
specs/genbuf.spectra, 2, 32, 0.115,1.000,
specs/genbuf.spectra, 2, 33, 0.107,1.000,
specs/genbuf.spectra, 2, 34, 0.125,1.000,
specs/genbuf.spectra, 2, 35, 0.118,1.000,
specs/genbuf.spectra, 2, 36, 0.108,1.000,
specs/genbuf.spectra, 2, 37, 0.113,1.000,
specs/genbuf.spectra, 2, 38, 0.093,1.000,
specs/genbuf.spectra, 2, 39, 0.108,1.000,
specs/genbuf.spectra, 2, 40, 0.102,1.000,
specs/genbuf.spectra, 2, 41, 0.103,1.000,
specs/genbuf.spectra, 2, 42, 0.111,1.000,
specs/genbuf.spectra, 2, 43, 0.098,1.000,
specs/genbuf.spectra, 2, 44, 0.112,1.000,
specs/genbuf.spectra, 2, 45, 0.108,1.000,
specs/genbuf.spectra, 2, 46, 0.102,1.000,
specs/genbuf.spectra, 2, 47, 0.112,1.000,
specs/genbuf.spectra, 2, 48, 0.105,1.000,
specs/genbuf.spectra, 2, 49, 0.098,1.000,
specs/genbuf.spectra, 2, 50, 0.105,1.000,
specs/genbuf.spectra, 3, -1, 0.215,1.000,
specs/genbuf.spectra, 3, 0, 0.217,1.000,
specs/genbuf.spectra, 3, 1, 0.232,1.000,
specs/genbuf.spectra, 3, 2, 0.222,1.000,
specs/genbuf.spectra, 3, 3, 0.217,1.000,
specs/genbuf.spectra, 3, 4, 0.239,1.000,
specs/genbuf.spectra, 3, 5, 0.225,1.000,
specs/genbuf.spectra, 3, 6, 0.242,1.000,
specs/genbuf.spectra, 3, 7, 0.211,1.000,
specs/genbuf.spectra, 3, 8, 0.209,1.000,
specs/genbuf.spectra, 3, 9, 0.208,1.000,
specs/genbuf.spectra, 3, 10, 0.214,1.000,
specs/genbuf.spectra, 3, 11, 0.221,1.000,
specs/genbuf.spectra, 3, 12, 0.227,1.000,
specs/genbuf.spectra, 3, 13, 0.210,1.000,
specs/genbuf.spectra, 3, 14, 0.206,1.000,
specs/genbuf.spectra, 3, 15, 0.217,1.000,
specs/genbuf.spectra, 3, 16, 0.209,1.000,
specs/genbuf.spectra, 3, 17, 0.215,1.000,
specs/genbuf.spectra, 3, 18, 0.214,1.000,
specs/genbuf.spectra, 3, 19, 0.225,1.000,
specs/genbuf.spectra, 3, 20, 0.236,1.000,
specs/genbuf.spectra, 3, 21, 0.224,1.000,
specs/genbuf.spectra, 3, 22, 0.213,1.000,
specs/genbuf.spectra, 3, 23, 0.211,1.000,
specs/genbuf.spectra, 3, 24, 0.140,1.000,
specs/genbuf.spectra, 3, 25, 0.225,1.000,
specs/genbuf.spectra, 3, 26, 0.209,1.000,
specs/genbuf.spectra, 3, 27, 0.234,1.000,
specs/genbuf.spectra, 3, 31, 0.215,1.000,
specs/genbuf.spectra, 3, 32, 0.212,1.000,
specs/genbuf.spectra, 3, 33, 0.209,1.000,
specs/genbuf.spectra, 3, 34, 0.227,1.000,
specs/genbuf.spectra, 3, 35, 0.230,1.000,
specs/genbuf.spectra, 3, 36, 0.234,1.000,
