Spec,Size,Remove,Time,Best?,
specs/genbuf_unreal_wgf.spectra, 2, -1, 0.144,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 0, 0.128,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 1, 0.157,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 2, 0.151,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 3, 0.146,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 4, 0.141,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 5, 0.153,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 6, 0.152,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 7, 0.141,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 8, 0.163,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 9, 0.145,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 10, 0.157,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 11, 0.146,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 12, 0.161,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 13, 0.152,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 14, 0.142,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 15, 0.149,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 16, 0.144,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 17, 0.149,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 18, 0.147,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 19, 0.146,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 20, 0.149,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 21, 0.144,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 22, 0.140,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 23, 0.146,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 24, 0.138,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 25, 0.149,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 26, 0.143,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 27, 0.148,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 30, 0.211,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 31, 0.131,0.000,
