Spec,Size,Remove,Time,Best?,
specs/genbuf_unreal_wgf.spectra, 2, -1, 0.104,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 0, 0.104,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 1, 0.096,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 2, 0.096,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 3, 0.105,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 4, 0.108,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 5, 0.101,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 6, 0.100,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 7, 0.093,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 8, 0.097,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 9, 0.096,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 10, 0.092,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 11, 0.097,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 12, 0.102,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 13, 0.093,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 14, 0.105,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 15, 0.109,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 16, 0.095,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 17, 0.091,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 18, 0.109,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 19, 0.096,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 20, 0.100,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 21, 0.114,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 22, 0.095,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 23, 0.098,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 24, 0.100,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 25, 0.100,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 26, 0.105,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 27, 0.099,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 30, 0.104,1.000,
specs/genbuf_unreal_wgf.spectra, 2, 31, 0.098,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 32, 0.114,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 33, 0.107,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 34, 0.104,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 35, 0.113,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 36, 0.092,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 37, 0.106,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 38, 0.102,1.000,
specs/genbuf_unreal_wgf.spectra, 2, 39, 0.098,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 40, 0.103,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 41, 0.114,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 42, 0.101,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 43, 0.099,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 44, 0.106,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 45, 0.108,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 46, 0.104,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 47, 0.101,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 48, 0.104,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 49, 0.106,0.000,
specs/genbuf_unreal_wgf.spectra, 2, 50, 0.097,0.000,
specs/genbuf_unreal_wgf.spectra, 3, -1, 0.243,0.000,
specs/genbuf_unreal_wgf.spectra, 3, 0, 0.243,0.000,
specs/genbuf_unreal_wgf.spectra, 3, 1, 0.225,0.000,
specs/genbuf_unreal_wgf.spectra, 3, 2, 0.231,0.000,
