Spec,Size,Remove,Time,Best?,
specs/genbuf_unreal_wgt.spectra, 2, -1, 0.127,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 0, 0.138,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 1, 0.134,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 2, 0.137,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 3, 0.115,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 4, 0.122,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 5, 0.136,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 6, 0.132,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 7, 0.132,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 8, 0.142,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 9, 0.136,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 10, 0.128,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 11, 0.135,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 12, 0.134,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 13, 0.152,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 14, 0.143,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 15, 0.147,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 16, 0.140,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 17, 0.135,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 18, 0.152,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 19, 0.146,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 20, 0.149,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 21, 0.143,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 22, 0.136,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 23, 0.131,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 24, 0.126,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 25, 0.139,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 26, 0.134,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 27, 0.133,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 30, 0.192,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 31, 0.128,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 32, 0.145,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 33, 0.157,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 34, 0.133,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 35, 0.140,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 36, 0.138,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 37, 0.134,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 38, 0.152,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 39, 0.139,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 40, 0.127,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 41, 0.125,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 42, 0.127,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 43, 0.137,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 44, 0.139,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 45, 0.142,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 46, 0.135,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 47, 0.145,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 48, 0.136,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 49, 0.115,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 50, 0.211,0.000,
specs/genbuf_unreal_wgt.spectra, 3, -1, 0.338,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 0, 0.317,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 1, 0.303,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 2, 0.334,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 3, 0.294,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 4, 0.313,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 5, 0.331,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 6, 0.315,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 7, 0.328,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 8, 0.330,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 9, 0.324,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 10, 0.331,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 11, 0.325,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 12, 0.306,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 13, 0.308,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 14, 0.338,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 15, 0.325,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 16, 0.343,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 17, 0.354,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 18, 0.343,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 19, 0.334,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 20, 0.336,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 21, 0.328,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 22, 0.340,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 23, 0.321,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 24, 0.181,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 25, 0.317,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 26, 0.373,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 27, 0.351,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 31, 0.519,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 32, 0.299,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 33, 0.347,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 34, 0.387,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 35, 0.325,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 36, 0.307,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 37, 0.312,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 38, 0.346,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 39, 0.348,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 40, 0.318,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 41, 0.314,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 42, 0.280,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 43, 0.287,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 44, 0.345,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 45, 0.337,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 46, 0.324,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 47, 0.311,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 48, 0.337,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 49, 0.332,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 50, 0.315,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 51, 0.483,0.000,
specs/genbuf_unreal_wgt.spectra, 4, -1, 1.664,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 0, 1.320,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 1, 1.694,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 2, 1.688,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 3, 1.373,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 4, 1.408,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 5, 1.621,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 6, 1.694,1.000,
