Spec,Size,Remove,Time,Best?,
specs/genbuf_unreal_wgt.spectra, 2, -1, 0.100,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 0, 0.093,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 1, 0.105,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 2, 0.105,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 3, 0.097,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 4, 0.101,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 5, 0.108,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 6, 0.107,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 7, 0.106,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 8, 0.102,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 9, 0.111,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 10, 0.109,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 11, 0.107,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 12, 0.106,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 13, 0.107,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 14, 0.097,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 15, 0.104,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 16, 0.113,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 17, 0.112,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 18, 0.094,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 19, 0.113,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 20, 0.105,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 21, 0.098,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 22, 0.108,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 23, 0.104,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 24, 0.090,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 25, 0.089,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 26, 0.092,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 27, 0.107,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 30, 0.098,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 31, 0.106,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 32, 0.105,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 33, 0.097,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 34, 0.099,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 35, 0.098,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 36, 0.113,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 37, 0.099,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 38, 0.097,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 39, 0.098,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 40, 0.119,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 41, 0.114,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 42, 0.095,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 43, 0.106,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 44, 0.107,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 45, 0.102,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 46, 0.111,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 47, 0.106,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 48, 0.117,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 49, 0.104,1.000,
specs/genbuf_unreal_wgt.spectra, 2, 50, 0.106,1.000,
specs/genbuf_unreal_wgt.spectra, 3, -1, 0.213,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 0, 0.211,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 1, 0.223,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 2, 0.231,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 3, 0.215,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 4, 0.215,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 5, 0.218,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 6, 0.247,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 7, 0.220,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 8, 0.222,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 9, 0.186,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 10, 0.230,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 11, 0.222,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 12, 0.213,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 13, 0.233,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 14, 0.218,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 15, 0.239,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 16, 0.204,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 17, 0.199,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 18, 0.226,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 19, 0.256,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 20, 0.209,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 21, 0.225,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 22, 0.214,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 23, 0.209,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 24, 0.156,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 25, 0.219,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 26, 0.230,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 27, 0.237,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 31, 0.210,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 32, 0.215,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 33, 0.203,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 34, 0.205,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 35, 0.221,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 36, 0.217,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 37, 0.213,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 38, 0.217,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 39, 0.233,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 40, 0.220,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 41, 0.219,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 42, 0.221,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 43, 0.233,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 44, 0.209,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 45, 0.243,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 46, 0.225,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 47, 0.233,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 48, 0.222,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 49, 0.231,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 50, 0.216,1.000,
specs/genbuf_unreal_wgt.spectra, 3, 51, 0.261,1.000,
specs/genbuf_unreal_wgt.spectra, 4, -1, 1.057,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 0, 1.060,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 1, 0.961,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 2, 0.942,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 3, 0.966,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 4, 0.911,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 5, 1.079,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 6, 0.984,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 7, 1.003,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 8, 1.042,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 9, 1.050,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 10, 0.987,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 11, 1.061,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 12, 1.027,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 13, 1.044,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 14, 0.958,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 15, 0.994,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 16, 0.892,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 17, 1.007,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 18, 1.037,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 19, 1.033,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 20, 1.047,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 21, 1.007,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 22, 1.067,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 23, 1.006,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 24, 0.272,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 25, 0.944,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 26, 1.030,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 27, 1.079,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 32, 1.037,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 33, 1.066,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 34, 1.059,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 35, 0.986,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 36, 1.043,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 37, 0.975,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 38, 1.003,1.000,
specs/genbuf_unreal_wgt.spectra, 4, 39, 1.073,1.000,
