Spec,Size,Remove,Time,Best?,
specs/genbuf_unreal_woaf.spectra, 2, -1, 0.215,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 0, 0.198,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 1, 0.133,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 2, 0.193,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 3, 0.148,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 4, 0.177,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 5, 0.210,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 6, 0.220,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 7, 0.200,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 8, 0.197,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 9, 0.215,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 10, 0.243,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 11, 0.211,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 12, 0.224,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 13, 0.214,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 14, 0.231,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 15, 0.212,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 16, 0.232,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 17, 0.198,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 18, 0.204,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 19, 0.204,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 20, 0.238,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 21, 0.214,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 22, 0.230,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 23, 0.211,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 24, 0.201,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 25, 0.201,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 26, 0.224,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 27, 0.211,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 30, 0.266,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 31, 0.139,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 32, 0.212,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 33, 0.249,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 34, 0.239,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 35, 0.233,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 36, 0.207,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 37, 0.231,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 38, 0.194,0.000,
specs/genbuf_unreal_woaf.spectra, 2, 39, 0.217,0.000,
