Spec,Size,Remove,Time,Best?,
specs/genbuf_unreal_woaf.spectra, 2, -1, 0.111,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 0, 0.095,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 1, 0.096,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 2, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 3, 0.105,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 4, 0.109,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 5, 0.106,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 6, 0.102,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 7, 0.107,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 8, 0.103,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 9, 0.107,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 10, 0.097,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 11, 0.115,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 12, 0.100,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 13, 0.097,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 14, 0.101,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 15, 0.095,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 16, 0.105,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 17, 0.101,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 18, 0.096,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 19, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 20, 0.101,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 21, 0.101,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 22, 0.098,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 23, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 24, 0.096,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 25, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 26, 0.103,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 27, 0.098,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 30, 0.102,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 31, 0.098,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 32, 0.105,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 33, 0.102,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 34, 0.107,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 35, 0.098,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 36, 0.103,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 37, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 38, 0.099,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 39, 0.099,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 40, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 41, 0.097,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 42, 0.097,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 43, 0.094,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 44, 0.090,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 45, 0.104,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 46, 0.106,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 47, 0.098,1.000,
specs/genbuf_unreal_woaf.spectra, 2, 48, 0.096,1.000,
specs/genbuf_unreal_woaf.spectra, 3, -1, 0.273,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 0, 0.258,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 1, 0.266,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 2, 0.267,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 3, 0.268,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 4, 0.274,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 5, 0.302,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 6, 0.270,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 7, 0.255,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 8, 0.258,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 9, 0.265,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 10, 0.265,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 11, 0.270,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 12, 0.264,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 13, 0.272,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 14, 0.262,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 15, 0.265,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 16, 0.260,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 17, 0.265,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 18, 0.280,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 19, 0.275,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 20, 0.275,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 21, 0.288,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 22, 0.267,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 23, 0.281,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 24, 0.162,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 25, 0.290,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 26, 0.261,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 27, 0.289,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 31, 0.273,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 32, 0.269,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 33, 0.278,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 34, 0.288,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 35, 0.254,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 36, 0.262,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 37, 0.255,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 38, 0.277,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 39, 0.273,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 40, 0.267,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 41, 0.267,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 42, 0.268,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 43, 0.278,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 44, 0.286,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 45, 0.269,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 46, 0.277,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 47, 0.266,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 48, 0.257,1.000,
specs/genbuf_unreal_woaf.spectra, 3, 49, 0.258,1.000,
specs/genbuf_unreal_woaf.spectra, 4, -1, 1.038,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 0, 0.959,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 1, 1.011,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 2, 0.992,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 3, 0.962,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 4, 0.987,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 5, 0.988,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 6, 1.016,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 7, 1.010,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 8, 0.958,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 9, 1.069,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 10, 1.021,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 11, 1.042,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 12, 1.030,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 13, 0.930,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 14, 0.974,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 15, 1.016,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 16, 1.044,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 17, 1.089,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 18, 1.042,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 19, 1.044,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 20, 1.053,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 21, 0.958,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 22, 0.978,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 23, 0.976,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 24, 0.335,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 25, 1.028,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 26, 0.977,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 27, 1.015,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 32, 0.994,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 33, 1.017,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 34, 0.980,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 35, 0.991,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 36, 1.006,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 37, 1.031,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 38, 1.027,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 39, 0.996,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 40, 1.004,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 41, 1.004,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 42, 1.052,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 43, 1.005,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 44, 0.997,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 45, 0.977,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 46, 0.992,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 47, 1.043,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 48, 1.029,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 49, 1.023,1.000,
specs/genbuf_unreal_woaf.spectra, 4, 50, 1.057,1.000,
