Spec,Size,Remove,Time,Best?,
specs/generalized_arbiter.spectra, 2, -1, 0.100,1.000,
specs/generalized_arbiter.spectra, 2, 0, 0.100,1.000,
specs/generalized_arbiter.spectra, 2, 5, 0.190,0.000,
specs/generalized_arbiter.spectra, 2, 6, 0.097,1.000,
specs/generalized_arbiter.spectra, 2, 7, 0.099,1.000,
specs/generalized_arbiter.spectra, 2, 12, 0.096,1.000,
specs/generalized_arbiter.spectra, 3, -1, 0.172,1.000,
specs/generalized_arbiter.spectra, 3, 0, 0.207,1.000,
specs/generalized_arbiter.spectra, 3, 7, 12.127,0.000,
specs/generalized_arbiter.spectra, 3, 8, 0.186,1.000,
specs/generalized_arbiter.spectra, 3, 9, 0.183,1.000,
specs/generalized_arbiter.spectra, 3, 16, 0.180,1.000,
specs/generalized_arbiter.spectra, 4, -1, 0.528,1.000,
specs/generalized_arbiter.spectra, 4, 0, 0.362,1.000,
specs/generalized_arbiter.spectra, 4, 9, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 4, 10, 0.340,1.000,
specs/generalized_arbiter.spectra, 4, 11, 0.361,1.000,
specs/generalized_arbiter.spectra, 4, 20, 0.496,1.000,
