Spec,Size,Remove,Time,Best?,
specs/load_balancer_unreal.spectra, 2, -1, Time data not found
specs/load_balancer_unreal.spectra, 2, 0, Time data not found
specs/load_balancer_unreal.spectra, 2, 1, Time data not found
specs/load_balancer_unreal.spectra, 2, 2, Time data not found
specs/load_balancer_unreal.spectra, 2, 3, Time data not found
specs/load_balancer_unreal.spectra, 2, 4, Time data not found
specs/load_balancer_unreal.spectra, 2, 5, Time data not found
specs/load_balancer_unreal.spectra, 2, 6, Time data not found
specs/load_balancer_unreal.spectra, 2, 7, Time data not found
specs/load_balancer_unreal.spectra, 2, 8, Time data not found
specs/load_balancer_unreal.spectra, 2, 9, Time data not found
specs/load_balancer_unreal.spectra, 2, 10, Time data not found
specs/load_balancer_unreal.spectra, 2, 11, Time data not found
specs/load_balancer_unreal.spectra, 3, -1, 0.122,0.000,
specs/load_balancer_unreal.spectra, 3, 0, 0.134,0.000,
specs/load_balancer_unreal.spectra, 3, 1, 0.141,0.000,
specs/load_balancer_unreal.spectra, 3, 2, 0.131,0.000,
specs/load_balancer_unreal.spectra, 3, 3, 0.147,0.000,
specs/load_balancer_unreal.spectra, 3, 4, 0.118,1.000,
specs/load_balancer_unreal.spectra, 3, 7, 0.132,0.000,
specs/load_balancer_unreal.spectra, 3, 8, 0.146,0.000,
specs/load_balancer_unreal.spectra, 3, 9, 0.145,0.000,
specs/load_balancer_unreal.spectra, 3, 10, 0.140,0.000,
specs/load_balancer_unreal.spectra, 3, 11, 0.133,0.000,
specs/load_balancer_unreal.spectra, 3, 12, 0.131,0.000,
specs/load_balancer_unreal.spectra, 4, -1, 0.429,0.000,
specs/load_balancer_unreal.spectra, 4, 0, 0.439,0.000,
specs/load_balancer_unreal.spectra, 4, 1, 0.403,0.000,
specs/load_balancer_unreal.spectra, 4, 2, 0.390,0.000,
specs/load_balancer_unreal.spectra, 4, 3, 0.405,0.000,
specs/load_balancer_unreal.spectra, 4, 4, 0.342,1.000,
specs/load_balancer_unreal.spectra, 4, 8, 0.406,0.000,
specs/load_balancer_unreal.spectra, 4, 9, 0.742,0.000,
specs/load_balancer_unreal.spectra, 4, 10, 0.399,0.000,
specs/load_balancer_unreal.spectra, 4, 11, 0.403,0.000,
specs/load_balancer_unreal.spectra, 4, 12, 0.398,0.000,
specs/load_balancer_unreal.spectra, 4, 13, 0.387,0.000,
