Spec,Size,Remove,Time,Best?,
specs/prioritized_arbiter.spectra, 2, -1, 0.124,1.000,
specs/prioritized_arbiter.spectra, 2, 0, 0.134,1.000,
specs/prioritized_arbiter.spectra, 2, 1, 0.132,1.000,
specs/prioritized_arbiter.spectra, 2, 6, 0.161,1.000,
specs/prioritized_arbiter.spectra, 3, -1, 0.529,1.000,
specs/prioritized_arbiter.spectra, 3, 0, 0.496,1.000,
specs/prioritized_arbiter.spectra, 3, 1, 0.456,1.000,
specs/prioritized_arbiter.spectra, 3, 8, 0.803,1.000,
specs/prioritized_arbiter.spectra, 4, -1, 6.127,1.000,
specs/prioritized_arbiter.spectra, 4, 0, 5.921,1.000,
specs/prioritized_arbiter.spectra, 4, 1, 6.297,1.000,
specs/prioritized_arbiter.spectra, 4, 10, 14.898,1.000,
