Spec,Size,Remove,Time,Best?,
specs/prioritized_arbiter.spectra, 2, -1, 0.116,1.000,
specs/prioritized_arbiter.spectra, 2, 0, 0.109,1.000,
specs/prioritized_arbiter.spectra, 2, 1, 0.105,1.000,
specs/prioritized_arbiter.spectra, 2, 6, 0.122,1.000,
specs/prioritized_arbiter.spectra, 3, -1, 0.336,1.000,
specs/prioritized_arbiter.spectra, 3, 0, 0.345,1.000,
specs/prioritized_arbiter.spectra, 3, 1, 0.373,1.000,
specs/prioritized_arbiter.spectra, 3, 8, 0.403,1.000,
specs/prioritized_arbiter.spectra, 4, -1, 5.037,1.000,
specs/prioritized_arbiter.spectra, 4, 0, 5.032,1.000,
specs/prioritized_arbiter.spectra, 4, 1, 4.756,1.000,
specs/prioritized_arbiter.spectra, 4, 10, 5.130,1.000,
