Spec,Size,Remove,Time,Best?,
specs/prioritized_arbiter_unreal.spectra, 2, -1, 0.137,1.000,
specs/prioritized_arbiter_unreal.spectra, 2, 0, 0.134,1.000,
specs/prioritized_arbiter_unreal.spectra, 2, 1, 0.128,1.000,
specs/prioritized_arbiter_unreal.spectra, 2, 2, 0.142,1.000,
specs/prioritized_arbiter_unreal.spectra, 2, 3, 0.157,1.000,
specs/prioritized_arbiter_unreal.spectra, 2, 8, 0.146,1.000,
specs/prioritized_arbiter_unreal.spectra, 3, -1, 0.803,1.000,
specs/prioritized_arbiter_unreal.spectra, 3, 0, 1.023,1.000,
specs/prioritized_arbiter_unreal.spectra, 3, 1, 0.798,1.000,
specs/prioritized_arbiter_unreal.spectra, 3, 2, 0.784,1.000,
specs/prioritized_arbiter_unreal.spectra, 3, 3, 0.770,1.000,
specs/prioritized_arbiter_unreal.spectra, 3, 10, 0.836,1.000,
specs/prioritized_arbiter_unreal.spectra, 4, -1, 48.174,1.000,
specs/prioritized_arbiter_unreal.spectra, 4, 0, 153.959,1.000,
specs/prioritized_arbiter_unreal.spectra, 4, 1, 51.937,1.000,
specs/prioritized_arbiter_unreal.spectra, 4, 2, 48.353,1.000,
specs/prioritized_arbiter_unreal.spectra, 4, 3, 48.226,1.000,
specs/prioritized_arbiter_unreal.spectra, 4, 12, 49.304,1.000,
