Spec,Size,Remove,Time,Best?,
specs/round_robin_arbiter.spectra, 2, -1, 0.085,1.000,
specs/round_robin_arbiter.spectra, 2, 0, 0.093,1.000,
specs/round_robin_arbiter.spectra, 2, 3, 0.090,1.000,
specs/round_robin_arbiter.spectra, 2, 4, 0.091,1.000,
specs/round_robin_arbiter.spectra, 3, -1, 0.196,1.000,
specs/round_robin_arbiter.spectra, 3, 0, 0.213,1.000,
specs/round_robin_arbiter.spectra, 3, 4, 0.206,1.000,
specs/round_robin_arbiter.spectra, 3, 5, 0.200,1.000,
specs/round_robin_arbiter.spectra, 4, -1, 0.846,1.000,
specs/round_robin_arbiter.spectra, 4, 0, 0.810,1.000,
specs/round_robin_arbiter.spectra, 4, 5, 0.885,1.000,
specs/round_robin_arbiter.spectra, 4, 6, 0.788,1.000,
