Spec,Size,Remove,Time,Best?,
specs/round_robin_arbiter.spectra, 2, -1, 0.103,1.000,
specs/round_robin_arbiter.spectra, 2, 0, 0.088,1.000,
specs/round_robin_arbiter.spectra, 2, 3, 0.096,1.000,
specs/round_robin_arbiter.spectra, 2, 4, 0.094,1.000,
specs/round_robin_arbiter.spectra, 3, -1, 0.187,1.000,
specs/round_robin_arbiter.spectra, 3, 0, 0.191,1.000,
specs/round_robin_arbiter.spectra, 3, 4, 0.191,1.000,
specs/round_robin_arbiter.spectra, 3, 5, 0.204,1.000,
specs/round_robin_arbiter.spectra, 4, -1, 0.788,1.000,
specs/round_robin_arbiter.spectra, 4, 0, 0.776,1.000,
specs/round_robin_arbiter.spectra, 4, 5, 0.746,1.000,
specs/round_robin_arbiter.spectra, 4, 6, 0.765,1.000,
