Spec,Size,Remove,Time,Best?,
specs/round_robin_arbiter_unreal.spectra, 2, -1, 0.112,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 0, 0.104,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 1, 0.114,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 2, 0.117,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 5, 0.103,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 6, 0.113,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, -1, 0.345,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 0, 0.377,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 1, 0.346,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 2, 0.357,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 6, 0.337,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 7, 0.329,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, -1, 4.094,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 0, 4.943,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 1, 3.948,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 2, 3.981,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 7, 4.079,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 8, 3.956,1.000,
