Spec,Size,Remove,Time,Best?,
specs/round_robin_arbiter_unreal.spectra, 2, -1, 0.114,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 0, 0.106,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 1, 0.108,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 2, 0.103,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 5, 0.119,1.000,
specs/round_robin_arbiter_unreal.spectra, 2, 6, 0.105,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, -1, 0.318,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 0, 0.378,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 1, 0.338,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 2, 0.326,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 6, 0.342,1.000,
specs/round_robin_arbiter_unreal.spectra, 3, 7, 0.304,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, -1, 4.119,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 0, 4.472,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 1, 3.889,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 2, 3.993,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 7, 3.952,1.000,
specs/round_robin_arbiter_unreal.spectra, 4, 8, 3.884,1.000,
