Spec,Size,Remove,Is Real.,Total,
specs/abcg_arbiter.spectra, 10, -1, true, 1.850, 
specs/abcg_arbiter.spectra, 10, 0, true, 0.756, 
specs/abcg_arbiter.spectra, 10, 1, true, 1.157, 
specs/abcg_arbiter.spectra, 10, 2, true, 1.576, 
specs/abcg_arbiter.spectra, 10, 3, true, 1.835, 
specs/abcg_arbiter.spectra, 10, 4, true, 0.882, 
specs/abcg_arbiter.spectra, 10, 5, true, 1.669, 
specs/abcg_arbiter.spectra, 10, 6, true, 0.841, 
specs/abcg_arbiter.spectra, 10, 7, true, 2.189, 
specs/abcg_arbiter.spectra, 10, 8, true, 2.461, 
specs/abcg_arbiter.spectra, 20, -1, true, 7.346, 
specs/abcg_arbiter.spectra, 20, 0, true, 1.357, 
specs/abcg_arbiter.spectra, 20, 1, true, 4.561, 
specs/abcg_arbiter.spectra, 20, 2, true, 6.806, 
specs/abcg_arbiter.spectra, 20, 3, true, 7.631, 
specs/abcg_arbiter.spectra, 20, 4, true, 2.295, 
specs/abcg_arbiter.spectra, 20, 5, true, 5.821, 
specs/abcg_arbiter.spectra, 20, 6, true, 2.817, 
specs/abcg_arbiter.spectra, 20, 7, true, 6.674, 
specs/abcg_arbiter.spectra, 20, 8, true, 7.708, 
specs/abcg_arbiter.spectra, 30, -1, true, 26.692, 
specs/abcg_arbiter.spectra, 30, 0, true, 3.674, 
specs/abcg_arbiter.spectra, 30, 1, true, 17.072, 
specs/abcg_arbiter.spectra, 30, 2, true, 29.762, 
specs/abcg_arbiter.spectra, 30, 3, true, 26.692, 
specs/abcg_arbiter.spectra, 30, 4, true, 6.721, 
specs/abcg_arbiter.spectra, 30, 5, true, 22.608, 
specs/abcg_arbiter.spectra, 30, 6, true, 9.332, 
specs/abcg_arbiter.spectra, 30, 7, true, 27.112, 
specs/abcg_arbiter.spectra, 30, 8, true, 26.088, 
specs/abcg_arbiter.spectra, 40, -1, true, 63.377, 
specs/abcg_arbiter.spectra, 40, 0, true, 10.622, 
specs/abcg_arbiter.spectra, 40, 1, true, 44.514, 
specs/abcg_arbiter.spectra, 40, 2, true, 62.333, 
specs/abcg_arbiter.spectra, 40, 3, true, 63.997, 
specs/abcg_arbiter.spectra, 40, 4, true, 16.791, 
specs/abcg_arbiter.spectra, 40, 5, true, 55.823, 
specs/abcg_arbiter.spectra, 40, 6, true, 22.790, 
specs/abcg_arbiter.spectra, 40, 7, true, 66.189, 
specs/abcg_arbiter.spectra, 40, 8, true, 73.667, 
specs/abcg_arbiter.spectra, 50, -1, true, 153.934, 
specs/abcg_arbiter.spectra, 50, 0, true, 24.120, 
specs/abcg_arbiter.spectra, 50, 1, true, 92.112, 
specs/abcg_arbiter.spectra, 50, 2, true, 149.680, 
specs/abcg_arbiter.spectra, 50, 3, true, 144.045, 
specs/abcg_arbiter.spectra, 50, 4, true, 31.678, 
specs/abcg_arbiter.spectra, 50, 5, true, 120.302, 
specs/abcg_arbiter.spectra, 50, 6, true, 47.039, 
specs/abcg_arbiter.spectra, 50, 7, true, 157.771, 
specs/abcg_arbiter.spectra, 50, 8, true, 151.374, 
specs/abcg_arbiter.spectra, 60, -1, true, 349.775, 
specs/abcg_arbiter.spectra, 60, 0, true, 68.833, 
specs/abcg_arbiter.spectra, 60, 1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 2, true, 356.037, 
specs/abcg_arbiter.spectra, 60, 3, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 4, true, 115.750, 
specs/abcg_arbiter.spectra, 60, 5, true, 316.198, 
specs/abcg_arbiter.spectra, 60, 6, true, 152.762, 
specs/abcg_arbiter.spectra, 60, 7, true, 318.016, 
specs/abcg_arbiter.spectra, 60, 8, true, 339.344, 
