Spec,Size,Remove,Is Real.,Total,
specs/abcg_arbiter.spectra, 10, -1, true, 16.661, 
specs/abcg_arbiter.spectra, 10, 0, true, 1.169, 
specs/abcg_arbiter.spectra, 10, 1, true, 2.085, 
specs/abcg_arbiter.spectra, 10, 2, true, 7.508, 
specs/abcg_arbiter.spectra, 10, 3, true, 24.375, 
specs/abcg_arbiter.spectra, 10, 4, true, 14.602, 
specs/abcg_arbiter.spectra, 10, 5, true, 70.881, 
specs/abcg_arbiter.spectra, 10, 6, true, 8.221, 
specs/abcg_arbiter.spectra, 10, 7, true, 16.050, 
specs/abcg_arbiter.spectra, 10, 8, true, 18.759, 
specs/abcg_arbiter.spectra, 20, -1, true, 14.189, 
specs/abcg_arbiter.spectra, 20, 0, true, 1.502, 
specs/abcg_arbiter.spectra, 20, 1, true, 6.175, 
specs/abcg_arbiter.spectra, 20, 2, true, 14.758, 
specs/abcg_arbiter.spectra, 20, 3, true, 12.784, 
specs/abcg_arbiter.spectra, 20, 4, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 20, 5, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 20, 6, true, 23.964, 
specs/abcg_arbiter.spectra, 20, 7, true, 15.490, 
specs/abcg_arbiter.spectra, 20, 8, true, 15.357, 
specs/abcg_arbiter.spectra, 30, -1, true, 100.709, 
specs/abcg_arbiter.spectra, 30, 0, true, 3.854, 
specs/abcg_arbiter.spectra, 30, 1, true, 28.611, 
specs/abcg_arbiter.spectra, 30, 2, true, 102.225, 
specs/abcg_arbiter.spectra, 30, 3, true, 52.946, 
specs/abcg_arbiter.spectra, 30, 4, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 30, 5, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 30, 6, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 30, 7, true, 95.222, 
specs/abcg_arbiter.spectra, 30, 8, true, 89.614, 
specs/abcg_arbiter.spectra, 40, -1, true, 91.932, 
specs/abcg_arbiter.spectra, 40, 0, true, 10.723, 
specs/abcg_arbiter.spectra, 40, 1, true, 50.324, 
specs/abcg_arbiter.spectra, 40, 2, true, 99.004, 
specs/abcg_arbiter.spectra, 40, 3, true, 131.403, 
specs/abcg_arbiter.spectra, 40, 4, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 40, 5, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 40, 6, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 40, 7, true, 91.989, 
specs/abcg_arbiter.spectra, 40, 8, true, 93.387, 
specs/abcg_arbiter.spectra, 50, -1, true, 358.706, 
specs/abcg_arbiter.spectra, 50, 0, true, 35.095, 
specs/abcg_arbiter.spectra, 50, 1, true, 109.611, 
specs/abcg_arbiter.spectra, 50, 2, true, 296.279, 
specs/abcg_arbiter.spectra, 50, 3, true, 349.594, 
specs/abcg_arbiter.spectra, 50, 4, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 5, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 6, true, 62.712, 
specs/abcg_arbiter.spectra, 50, 7, true, 340.573, 
specs/abcg_arbiter.spectra, 50, 8, true, 317.811, 
specs/abcg_arbiter.spectra, 60, -1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 0, true, 67.579, 
specs/abcg_arbiter.spectra, 60, 1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 2, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 3, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 4, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 5, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 6, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 7, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 8, class java.util.concurrent.TimeoutException
