Spec,Size,Remove,Is Real.,Total,
specs/abcg_arbiter.spectra, 10, -1, true, 4.307, 
specs/abcg_arbiter.spectra, 10, 0, true, 1.056, 
specs/abcg_arbiter.spectra, 10, 1, true, 2.750, 
specs/abcg_arbiter.spectra, 10, 2, true, 4.191, 
specs/abcg_arbiter.spectra, 10, 3, true, 3.868, 
specs/abcg_arbiter.spectra, 10, 4, true, 1.167, 
specs/abcg_arbiter.spectra, 10, 5, true, 2.927, 
specs/abcg_arbiter.spectra, 10, 6, true, 1.008, 
specs/abcg_arbiter.spectra, 10, 7, true, 4.390, 
specs/abcg_arbiter.spectra, 10, 8, true, 4.573, 
specs/abcg_arbiter.spectra, 20, -1, true, 32.277, 
specs/abcg_arbiter.spectra, 20, 0, true, 1.359, 
specs/abcg_arbiter.spectra, 20, 1, true, 13.684, 
specs/abcg_arbiter.spectra, 20, 2, true, 31.944, 
specs/abcg_arbiter.spectra, 20, 3, true, 30.919, 
specs/abcg_arbiter.spectra, 20, 4, true, 4.529, 
specs/abcg_arbiter.spectra, 20, 5, true, 13.726, 
specs/abcg_arbiter.spectra, 20, 6, true, 5.039, 
specs/abcg_arbiter.spectra, 20, 7, true, 29.778, 
specs/abcg_arbiter.spectra, 20, 8, true, 28.519, 
specs/abcg_arbiter.spectra, 30, -1, true, 149.961, 
specs/abcg_arbiter.spectra, 30, 0, true, 3.511, 
specs/abcg_arbiter.spectra, 30, 1, true, 81.311, 
specs/abcg_arbiter.spectra, 30, 2, true, 150.302, 
specs/abcg_arbiter.spectra, 30, 3, true, 116.302, 
specs/abcg_arbiter.spectra, 30, 4, true, 17.538, 
specs/abcg_arbiter.spectra, 30, 5, true, 62.902, 
specs/abcg_arbiter.spectra, 30, 6, true, 17.067, 
specs/abcg_arbiter.spectra, 30, 7, true, 153.285, 
specs/abcg_arbiter.spectra, 30, 8, true, 154.053, 
specs/abcg_arbiter.spectra, 40, -1, true, 336.896, 
specs/abcg_arbiter.spectra, 40, 0, true, 10.721, 
specs/abcg_arbiter.spectra, 40, 1, true, 256.190, 
specs/abcg_arbiter.spectra, 40, 2, true, 329.103, 
specs/abcg_arbiter.spectra, 40, 3, true, 319.672, 
specs/abcg_arbiter.spectra, 40, 4, true, 43.112, 
specs/abcg_arbiter.spectra, 40, 5, true, 136.518, 
specs/abcg_arbiter.spectra, 40, 6, true, 42.062, 
specs/abcg_arbiter.spectra, 40, 7, true, 316.815, 
specs/abcg_arbiter.spectra, 40, 8, true, 344.448, 
specs/abcg_arbiter.spectra, 50, -1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 0, true, 35.467, 
specs/abcg_arbiter.spectra, 50, 1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 2, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 3, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 4, true, 123.773, 
specs/abcg_arbiter.spectra, 50, 5, true, 345.196, 
specs/abcg_arbiter.spectra, 50, 6, true, 97.437, 
specs/abcg_arbiter.spectra, 50, 7, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 50, 8, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, -1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 0, true, 69.738, 
specs/abcg_arbiter.spectra, 60, 1, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 2, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 3, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 4, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 5, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 6, true, 387.514, 
specs/abcg_arbiter.spectra, 60, 7, class java.util.concurrent.TimeoutException
specs/abcg_arbiter.spectra, 60, 8, class java.util.concurrent.TimeoutException
