Spec,Size,Remove,Is Real.,Total,
specs/amba.spectra, 4, -1, true, 61.005, 
specs/amba.spectra, 4, 0, true, 103.953, 
specs/amba.spectra, 4, 1, true, 113.374, 
specs/amba.spectra, 4, 2, true, 51.099, 
specs/amba.spectra, 4, 3, true, 50.767, 
specs/amba.spectra, 4, 4, true, 54.790, 
specs/amba.spectra, 4, 5, true, 50.042, 
specs/amba.spectra, 4, 6, true, 55.426, 
specs/amba.spectra, 4, 7, true, 51.879, 
specs/amba.spectra, 4, 8, true, 82.499, 
specs/amba.spectra, 4, 9, true, 53.568, 
specs/amba.spectra, 4, 10, true, 47.482, 
specs/amba.spectra, 4, 11, true, 45.806, 
specs/amba.spectra, 4, 12, true, 32.867, 
specs/amba.spectra, 4, 13, true, 10.053, 
specs/amba.spectra, 4, 14, true, 59.913, 
specs/amba.spectra, 4, 15, true, 25.961, 
specs/amba.spectra, 4, 16, true, 50.263, 
specs/amba.spectra, 4, 17, true, 47.076, 
specs/amba.spectra, 4, 18, true, 52.625, 
specs/amba.spectra, 4, 19, true, 78.023, 
specs/amba.spectra, 4, 20, true, 53.803, 
specs/amba.spectra, 4, 21, true, 54.533, 
specs/amba.spectra, 4, 22, true, 7.346, 
specs/amba.spectra, 4, 23, true, 7.421, 
specs/amba.spectra, 4, 24, true, 19.220, 
specs/amba.spectra, 4, 25, true, 77.225, 
specs/amba.spectra, 4, 26, true, 48.311, 
specs/amba.spectra, 4, 27, true, 55.165, 
specs/amba.spectra, 4, 28, true, 51.706, 
specs/amba.spectra, 4, 29, true, 51.361, 
specs/amba.spectra, 4, 30, true, 40.279, 
specs/amba.spectra, 4, 31, true, 47.150, 
specs/amba.spectra, 4, 32, true, 50.602, 
specs/amba.spectra, 4, 33, true, 43.442, 
specs/amba.spectra, 4, 34, true, 34.574, 
specs/amba.spectra, 4, 35, true, 50.301, 
specs/amba.spectra, 4, 36, true, 49.314, 
specs/amba.spectra, 4, 37, true, 55.048, 
specs/amba.spectra, 4, 38, true, 49.660, 
specs/amba.spectra, 4, 39, true, 53.695, 
specs/amba.spectra, 4, 40, true, 42.224, 
specs/amba.spectra, 4, 41, true, 2.583, 
specs/amba.spectra, 4, 42, true, 4.940, 
specs/amba.spectra, 4, 43, true, 47.822, 
specs/amba.spectra, 4, 44, true, 27.125, 
specs/amba.spectra, 4, 45, true, 25.723, 
specs/amba.spectra, 4, 46, true, 53.808, 
specs/amba.spectra, 4, 47, true, 38.830, 
specs/amba.spectra, 4, 48, true, 23.484, 
specs/amba.spectra, 4, 49, true, 20.090, 
specs/amba.spectra, 4, 50, true, 67.519, 
specs/amba.spectra, 4, 51, true, 54.317, 
specs/amba.spectra, 4, 52, true, 44.576, 
specs/amba.spectra, 4, 53, true, 26.791, 
specs/amba.spectra, 4, 54, true, 47.792, 
specs/amba.spectra, 4, 55, true, 48.763, 
specs/amba.spectra, 4, 56, true, 73.250, 
specs/amba.spectra, 4, 60, true, 57.090, 
specs/amba.spectra, 4, 61, true, 39.811, 
specs/amba.spectra, 4, 65, true, 54.737, 
specs/amba.spectra, 4, 66, true, 58.084, 
specs/amba.spectra, 4, 67, true, 52.868, 
specs/amba.spectra, 4, 68, true, 63.432, 
specs/amba.spectra, 4, 69, true, 61.893, 
specs/amba.spectra, 4, 70, false, 34.704, 
specs/amba.spectra, 4, 71, false, 38.350, 
specs/amba.spectra, 5, -1, true, 110.010, 
specs/amba.spectra, 5, 0, true, 168.283, 
specs/amba.spectra, 5, 1, true, 105.771, 
specs/amba.spectra, 5, 2, true, 132.780, 
specs/amba.spectra, 5, 3, true, 116.538, 
specs/amba.spectra, 5, 4, true, 116.056, 
specs/amba.spectra, 5, 5, true, 121.835, 
specs/amba.spectra, 5, 6, true, 108.389, 
specs/amba.spectra, 5, 7, true, 114.711, 
specs/amba.spectra, 5, 8, true, 91.255, 
specs/amba.spectra, 5, 9, true, 110.219, 
specs/amba.spectra, 5, 10, true, 105.587, 
specs/amba.spectra, 5, 11, true, 149.977, 
specs/amba.spectra, 5, 12, true, 100.027, 
specs/amba.spectra, 5, 13, true, 24.544, 
specs/amba.spectra, 5, 14, true, 53.389, 
specs/amba.spectra, 5, 15, true, 76.381, 
