Spec,Size,Remove,Is Real.,Total,
specs/amba_unreal_wgf.spectra, 4, -1, false, 4.594, 
specs/amba_unreal_wgf.spectra, 4, 0, false, 6.180, 
specs/amba_unreal_wgf.spectra, 4, 1, false, 4.914, 
specs/amba_unreal_wgf.spectra, 4, 2, false, 4.276, 
specs/amba_unreal_wgf.spectra, 4, 3, false, 4.357, 
specs/amba_unreal_wgf.spectra, 4, 4, false, 4.968, 
specs/amba_unreal_wgf.spectra, 4, 5, false, 4.379, 
specs/amba_unreal_wgf.spectra, 4, 6, false, 4.563, 
specs/amba_unreal_wgf.spectra, 4, 7, false, 4.155, 
specs/amba_unreal_wgf.spectra, 4, 8, false, 5.618, 
specs/amba_unreal_wgf.spectra, 4, 9, false, 4.482, 
specs/amba_unreal_wgf.spectra, 4, 10, false, 4.989, 
specs/amba_unreal_wgf.spectra, 4, 11, false, 4.502, 
specs/amba_unreal_wgf.spectra, 4, 12, false, 3.797, 
specs/amba_unreal_wgf.spectra, 4, 13, true, 20.280, 
specs/amba_unreal_wgf.spectra, 4, 14, false, 3.834, 
specs/amba_unreal_wgf.spectra, 4, 15, false, 3.013, 
specs/amba_unreal_wgf.spectra, 4, 16, false, 5.069, 
specs/amba_unreal_wgf.spectra, 4, 17, false, 4.527, 
specs/amba_unreal_wgf.spectra, 4, 18, false, 4.191, 
specs/amba_unreal_wgf.spectra, 4, 19, false, 4.844, 
specs/amba_unreal_wgf.spectra, 4, 20, false, 4.058, 
specs/amba_unreal_wgf.spectra, 4, 21, false, 4.233, 
specs/amba_unreal_wgf.spectra, 4, 22, false, 4.826, 
specs/amba_unreal_wgf.spectra, 4, 23, false, 3.064, 
specs/amba_unreal_wgf.spectra, 4, 24, false, 3.282, 
specs/amba_unreal_wgf.spectra, 4, 25, false, 4.313, 
specs/amba_unreal_wgf.spectra, 4, 26, false, 4.701, 
specs/amba_unreal_wgf.spectra, 4, 27, false, 4.403, 
specs/amba_unreal_wgf.spectra, 4, 28, false, 4.778, 
specs/amba_unreal_wgf.spectra, 4, 29, false, 4.880, 
specs/amba_unreal_wgf.spectra, 4, 30, false, 4.843, 
specs/amba_unreal_wgf.spectra, 4, 31, false, 5.139, 
specs/amba_unreal_wgf.spectra, 4, 32, false, 4.986, 
specs/amba_unreal_wgf.spectra, 4, 33, false, 3.334, 
specs/amba_unreal_wgf.spectra, 4, 34, false, 4.781, 
specs/amba_unreal_wgf.spectra, 4, 35, false, 4.333, 
specs/amba_unreal_wgf.spectra, 4, 36, false, 5.107, 
specs/amba_unreal_wgf.spectra, 4, 37, false, 3.948, 
specs/amba_unreal_wgf.spectra, 4, 38, false, 5.017, 
specs/amba_unreal_wgf.spectra, 4, 39, false, 5.130, 
specs/amba_unreal_wgf.spectra, 4, 40, false, 4.783, 
specs/amba_unreal_wgf.spectra, 4, 41, false, 1.798, 
specs/amba_unreal_wgf.spectra, 4, 42, false, 3.853, 
specs/amba_unreal_wgf.spectra, 4, 43, false, 2.257, 
specs/amba_unreal_wgf.spectra, 4, 44, false, 5.929, 
specs/amba_unreal_wgf.spectra, 4, 45, false, 3.420, 
specs/amba_unreal_wgf.spectra, 4, 46, false, 3.643, 
specs/amba_unreal_wgf.spectra, 4, 47, false, 3.908, 
specs/amba_unreal_wgf.spectra, 4, 48, false, 5.169, 
specs/amba_unreal_wgf.spectra, 4, 49, false, 4.012, 
specs/amba_unreal_wgf.spectra, 4, 50, false, 4.681, 
specs/amba_unreal_wgf.spectra, 4, 51, false, 4.738, 
specs/amba_unreal_wgf.spectra, 4, 52, false, 4.756, 
specs/amba_unreal_wgf.spectra, 4, 53, false, 3.509, 
specs/amba_unreal_wgf.spectra, 4, 54, false, 4.788, 
specs/amba_unreal_wgf.spectra, 4, 55, false, 4.282, 
specs/amba_unreal_wgf.spectra, 4, 56, false, 4.965, 
specs/amba_unreal_wgf.spectra, 4, 60, false, 5.095, 
specs/amba_unreal_wgf.spectra, 4, 61, false, 4.324, 
specs/amba_unreal_wgf.spectra, 4, 65, true, 107.001, 
specs/amba_unreal_wgf.spectra, 4, 66, false, 4.238, 
specs/amba_unreal_wgf.spectra, 4, 67, false, 4.722, 
specs/amba_unreal_wgf.spectra, 4, 68, false, 4.418, 
specs/amba_unreal_wgf.spectra, 4, 69, false, 4.517, 
specs/amba_unreal_wgf.spectra, 4, 70, false, 4.387, 
specs/amba_unreal_wgf.spectra, 4, 71, false, 3.328, 
specs/amba_unreal_wgf.spectra, 4, 72, false, 2.101, 
specs/amba_unreal_wgf.spectra, 4, 73, false, 2.586, 
specs/amba_unreal_wgf.spectra, 5, -1, false, 7.741, 
specs/amba_unreal_wgf.spectra, 5, 0, false, 6.256, 
specs/amba_unreal_wgf.spectra, 5, 1, false, 10.205, 
specs/amba_unreal_wgf.spectra, 5, 2, false, 7.283, 
specs/amba_unreal_wgf.spectra, 5, 3, false, 7.120, 
specs/amba_unreal_wgf.spectra, 5, 4, false, 8.638, 
specs/amba_unreal_wgf.spectra, 5, 5, false, 7.993, 
specs/amba_unreal_wgf.spectra, 5, 6, false, 8.149, 
specs/amba_unreal_wgf.spectra, 5, 7, false, 7.953, 
specs/amba_unreal_wgf.spectra, 5, 8, false, 7.725, 
specs/amba_unreal_wgf.spectra, 5, 9, false, 8.027, 
specs/amba_unreal_wgf.spectra, 5, 10, false, 8.412, 
specs/amba_unreal_wgf.spectra, 5, 11, false, 8.582, 
specs/amba_unreal_wgf.spectra, 5, 12, false, 6.000, 
specs/amba_unreal_wgf.spectra, 5, 13, true, 25.863, 
specs/amba_unreal_wgf.spectra, 5, 14, false, 5.967, 
specs/amba_unreal_wgf.spectra, 5, 15, false, 6.793, 
specs/amba_unreal_wgf.spectra, 5, 16, false, 10.877, 
specs/amba_unreal_wgf.spectra, 5, 17, false, 8.328, 
specs/amba_unreal_wgf.spectra, 5, 18, false, 8.058, 
specs/amba_unreal_wgf.spectra, 5, 19, false, 8.671, 
specs/amba_unreal_wgf.spectra, 5, 20, false, 7.463, 
specs/amba_unreal_wgf.spectra, 5, 21, false, 8.349, 
specs/amba_unreal_wgf.spectra, 5, 22, false, 8.580, 
specs/amba_unreal_wgf.spectra, 5, 23, false, 5.682, 
specs/amba_unreal_wgf.spectra, 5, 24, false, 8.010, 
specs/amba_unreal_wgf.spectra, 5, 25, false, 9.169, 
specs/amba_unreal_wgf.spectra, 5, 26, false, 8.075, 
specs/amba_unreal_wgf.spectra, 5, 27, false, 7.224, 
specs/amba_unreal_wgf.spectra, 5, 28, false, 8.534, 
specs/amba_unreal_wgf.spectra, 5, 29, false, 7.982, 
specs/amba_unreal_wgf.spectra, 5, 30, false, 7.400, 
specs/amba_unreal_wgf.spectra, 5, 31, false, 8.037, 
specs/amba_unreal_wgf.spectra, 5, 32, false, 7.989, 
specs/amba_unreal_wgf.spectra, 5, 33, false, 7.350, 
specs/amba_unreal_wgf.spectra, 5, 34, false, 7.291, 
specs/amba_unreal_wgf.spectra, 5, 35, false, 6.850, 
specs/amba_unreal_wgf.spectra, 5, 36, false, 8.576, 
specs/amba_unreal_wgf.spectra, 5, 37, false, 7.326, 
specs/amba_unreal_wgf.spectra, 5, 38, false, 7.640, 
specs/amba_unreal_wgf.spectra, 5, 39, false, 8.070, 
specs/amba_unreal_wgf.spectra, 5, 40, false, 8.353, 
specs/amba_unreal_wgf.spectra, 5, 41, false, 2.244, 
specs/amba_unreal_wgf.spectra, 5, 42, false, 10.804, 
specs/amba_unreal_wgf.spectra, 5, 43, false, 2.966, 
specs/amba_unreal_wgf.spectra, 5, 44, false, 13.206, 
specs/amba_unreal_wgf.spectra, 5, 45, false, 6.306, 
specs/amba_unreal_wgf.spectra, 5, 46, false, 5.805, 
specs/amba_unreal_wgf.spectra, 5, 47, false, 6.464, 
specs/amba_unreal_wgf.spectra, 5, 48, false, 8.040, 
specs/amba_unreal_wgf.spectra, 5, 49, false, 9.650, 
specs/amba_unreal_wgf.spectra, 5, 50, false, 9.086, 
specs/amba_unreal_wgf.spectra, 5, 51, false, 8.209, 
specs/amba_unreal_wgf.spectra, 5, 52, false, 7.618, 
specs/amba_unreal_wgf.spectra, 5, 53, false, 4.609, 
specs/amba_unreal_wgf.spectra, 5, 54, false, 9.169, 
specs/amba_unreal_wgf.spectra, 5, 55, false, 8.096, 
specs/amba_unreal_wgf.spectra, 5, 56, false, 8.268, 
specs/amba_unreal_wgf.spectra, 5, 61, false, 7.437, 
specs/amba_unreal_wgf.spectra, 5, 62, false, 6.385, 
specs/amba_unreal_wgf.spectra, 5, 67, true, 99.416, 
specs/amba_unreal_wgf.spectra, 5, 68, false, 7.410, 
specs/amba_unreal_wgf.spectra, 5, 69, false, 8.196, 
specs/amba_unreal_wgf.spectra, 5, 70, false, 8.904, 
specs/amba_unreal_wgf.spectra, 5, 71, false, 8.103, 
specs/amba_unreal_wgf.spectra, 5, 72, false, 7.944, 
specs/amba_unreal_wgf.spectra, 5, 73, false, 7.197, 
specs/amba_unreal_wgf.spectra, 5, 74, false, 2.582, 
specs/amba_unreal_wgf.spectra, 5, 75, false, 6.411, 
specs/amba_unreal_wgf.spectra, 6, -1, false, 10.901, 
specs/amba_unreal_wgf.spectra, 6, 0, false, 8.927, 
specs/amba_unreal_wgf.spectra, 6, 1, false, 20.294, 
specs/amba_unreal_wgf.spectra, 6, 2, false, 11.893, 
specs/amba_unreal_wgf.spectra, 6, 3, false, 13.494, 
specs/amba_unreal_wgf.spectra, 6, 4, false, 13.342, 
specs/amba_unreal_wgf.spectra, 6, 5, false, 12.451, 
specs/amba_unreal_wgf.spectra, 6, 6, false, 12.697, 
specs/amba_unreal_wgf.spectra, 6, 7, false, 15.162, 
specs/amba_unreal_wgf.spectra, 6, 8, false, 14.654, 
specs/amba_unreal_wgf.spectra, 6, 9, false, 12.849, 
specs/amba_unreal_wgf.spectra, 6, 10, false, 12.762, 
specs/amba_unreal_wgf.spectra, 6, 11, false, 19.428, 
specs/amba_unreal_wgf.spectra, 6, 12, false, 9.923, 
specs/amba_unreal_wgf.spectra, 6, 13, true, 23.477, 
specs/amba_unreal_wgf.spectra, 6, 14, false, 11.983, 
specs/amba_unreal_wgf.spectra, 6, 15, false, 11.915, 
specs/amba_unreal_wgf.spectra, 6, 16, false, 15.925, 
specs/amba_unreal_wgf.spectra, 6, 17, false, 11.153, 
specs/amba_unreal_wgf.spectra, 6, 18, false, 11.302, 
specs/amba_unreal_wgf.spectra, 6, 19, false, 11.736, 
specs/amba_unreal_wgf.spectra, 6, 20, false, 12.426, 
specs/amba_unreal_wgf.spectra, 6, 21, false, 11.193, 
specs/amba_unreal_wgf.spectra, 6, 22, false, 10.789, 
specs/amba_unreal_wgf.spectra, 6, 23, false, 7.018, 
