Spec,Size,Remove,Is Real.,Total,
specs/amba_unreal_wgt.spectra, 4, -1, false, 2.262, 
specs/amba_unreal_wgt.spectra, 4, 0, false, 1.887, 
specs/amba_unreal_wgt.spectra, 4, 1, false, 1.915, 
specs/amba_unreal_wgt.spectra, 4, 2, false, 1.858, 
specs/amba_unreal_wgt.spectra, 4, 3, false, 1.701, 
specs/amba_unreal_wgt.spectra, 4, 4, false, 1.857, 
specs/amba_unreal_wgt.spectra, 4, 5, false, 1.813, 
specs/amba_unreal_wgt.spectra, 4, 6, false, 1.978, 
specs/amba_unreal_wgt.spectra, 4, 7, false, 1.491, 
specs/amba_unreal_wgt.spectra, 4, 8, false, 1.887, 
specs/amba_unreal_wgt.spectra, 4, 9, false, 1.801, 
specs/amba_unreal_wgt.spectra, 4, 10, false, 1.352, 
specs/amba_unreal_wgt.spectra, 4, 11, false, 1.619, 
specs/amba_unreal_wgt.spectra, 4, 12, false, 2.124, 
specs/amba_unreal_wgt.spectra, 4, 13, true, 25.623, 
specs/amba_unreal_wgt.spectra, 4, 14, false, 2.326, 
specs/amba_unreal_wgt.spectra, 4, 15, false, 1.587, 
specs/amba_unreal_wgt.spectra, 4, 16, false, 3.514, 
specs/amba_unreal_wgt.spectra, 4, 17, false, 1.901, 
specs/amba_unreal_wgt.spectra, 4, 18, false, 2.034, 
specs/amba_unreal_wgt.spectra, 4, 19, false, 2.163, 
specs/amba_unreal_wgt.spectra, 4, 20, false, 2.542, 
specs/amba_unreal_wgt.spectra, 4, 21, false, 2.045, 
specs/amba_unreal_wgt.spectra, 4, 22, false, 2.460, 
specs/amba_unreal_wgt.spectra, 4, 23, false, 1.177, 
specs/amba_unreal_wgt.spectra, 4, 24, false, 1.398, 
specs/amba_unreal_wgt.spectra, 4, 25, false, 1.952, 
specs/amba_unreal_wgt.spectra, 4, 26, false, 2.022, 
specs/amba_unreal_wgt.spectra, 4, 27, false, 1.885, 
specs/amba_unreal_wgt.spectra, 4, 28, false, 2.099, 
specs/amba_unreal_wgt.spectra, 4, 29, false, 2.282, 
specs/amba_unreal_wgt.spectra, 4, 30, false, 1.856, 
specs/amba_unreal_wgt.spectra, 4, 31, false, 2.117, 
specs/amba_unreal_wgt.spectra, 4, 32, false, 2.032, 
specs/amba_unreal_wgt.spectra, 4, 33, false, 1.796, 
specs/amba_unreal_wgt.spectra, 4, 34, false, 1.798, 
specs/amba_unreal_wgt.spectra, 4, 35, false, 2.122, 
specs/amba_unreal_wgt.spectra, 4, 36, false, 2.067, 
specs/amba_unreal_wgt.spectra, 4, 37, false, 1.849, 
specs/amba_unreal_wgt.spectra, 4, 38, false, 2.021, 
specs/amba_unreal_wgt.spectra, 4, 39, false, 2.047, 
specs/amba_unreal_wgt.spectra, 4, 40, false, 2.015, 
specs/amba_unreal_wgt.spectra, 4, 41, false, 0.688, 
specs/amba_unreal_wgt.spectra, 4, 42, false, 2.216, 
specs/amba_unreal_wgt.spectra, 4, 43, false, 0.816, 
specs/amba_unreal_wgt.spectra, 4, 44, false, 2.298, 
specs/amba_unreal_wgt.spectra, 4, 45, false, 2.057, 
specs/amba_unreal_wgt.spectra, 4, 46, false, 1.718, 
specs/amba_unreal_wgt.spectra, 4, 47, false, 1.687, 
specs/amba_unreal_wgt.spectra, 4, 48, false, 2.248, 
specs/amba_unreal_wgt.spectra, 4, 49, false, 2.124, 
specs/amba_unreal_wgt.spectra, 4, 50, false, 2.295, 
specs/amba_unreal_wgt.spectra, 4, 51, false, 2.161, 
specs/amba_unreal_wgt.spectra, 4, 52, false, 2.225, 
specs/amba_unreal_wgt.spectra, 4, 53, false, 1.943, 
specs/amba_unreal_wgt.spectra, 4, 54, false, 2.081, 
specs/amba_unreal_wgt.spectra, 4, 55, false, 1.800, 
specs/amba_unreal_wgt.spectra, 4, 56, true, 122.313, 
specs/amba_unreal_wgt.spectra, 4, 57, false, 2.416, 
specs/amba_unreal_wgt.spectra, 4, 61, false, 2.026, 
specs/amba_unreal_wgt.spectra, 4, 62, false, 1.962, 
specs/amba_unreal_wgt.spectra, 4, 66, false, 2.123, 
specs/amba_unreal_wgt.spectra, 4, 67, false, 1.929, 
specs/amba_unreal_wgt.spectra, 4, 68, false, 1.890, 
specs/amba_unreal_wgt.spectra, 4, 69, false, 2.064, 
specs/amba_unreal_wgt.spectra, 4, 70, false, 1.936, 
specs/amba_unreal_wgt.spectra, 4, 71, false, 1.965, 
specs/amba_unreal_wgt.spectra, 4, 72, false, 3.052, 
specs/amba_unreal_wgt.spectra, 4, 73, false, 1.399, 
specs/amba_unreal_wgt.spectra, 5, -1, false, 4.111, 
specs/amba_unreal_wgt.spectra, 5, 0, false, 2.837, 
specs/amba_unreal_wgt.spectra, 5, 1, false, 2.886, 
specs/amba_unreal_wgt.spectra, 5, 2, false, 2.621, 
specs/amba_unreal_wgt.spectra, 5, 3, false, 2.575, 
specs/amba_unreal_wgt.spectra, 5, 4, false, 2.611, 
specs/amba_unreal_wgt.spectra, 5, 5, false, 2.645, 
specs/amba_unreal_wgt.spectra, 5, 6, false, 2.736, 
specs/amba_unreal_wgt.spectra, 5, 7, false, 2.735, 
specs/amba_unreal_wgt.spectra, 5, 8, false, 2.506, 
specs/amba_unreal_wgt.spectra, 5, 9, false, 2.306, 
specs/amba_unreal_wgt.spectra, 5, 10, false, 2.601, 
specs/amba_unreal_wgt.spectra, 5, 11, false, 2.534, 
specs/amba_unreal_wgt.spectra, 5, 12, false, 2.462, 
specs/amba_unreal_wgt.spectra, 5, 13, true, 42.484, 
specs/amba_unreal_wgt.spectra, 5, 14, false, 2.208, 
specs/amba_unreal_wgt.spectra, 5, 15, false, 2.762, 
specs/amba_unreal_wgt.spectra, 5, 16, false, 6.094, 
specs/amba_unreal_wgt.spectra, 5, 17, false, 4.621, 
specs/amba_unreal_wgt.spectra, 5, 18, false, 4.277, 
specs/amba_unreal_wgt.spectra, 5, 19, false, 4.472, 
specs/amba_unreal_wgt.spectra, 5, 20, false, 5.300, 
specs/amba_unreal_wgt.spectra, 5, 21, false, 5.256, 
specs/amba_unreal_wgt.spectra, 5, 22, false, 3.715, 
specs/amba_unreal_wgt.spectra, 5, 23, false, 2.476, 
specs/amba_unreal_wgt.spectra, 5, 24, false, 2.215, 
specs/amba_unreal_wgt.spectra, 5, 25, false, 4.194, 
specs/amba_unreal_wgt.spectra, 5, 26, false, 4.520, 
specs/amba_unreal_wgt.spectra, 5, 27, false, 6.127, 
specs/amba_unreal_wgt.spectra, 5, 28, false, 5.286, 
specs/amba_unreal_wgt.spectra, 5, 29, false, 3.772, 
specs/amba_unreal_wgt.spectra, 5, 30, false, 4.857, 
specs/amba_unreal_wgt.spectra, 5, 31, false, 4.194, 
specs/amba_unreal_wgt.spectra, 5, 32, false, 4.442, 
specs/amba_unreal_wgt.spectra, 5, 33, false, 4.258, 
specs/amba_unreal_wgt.spectra, 5, 34, false, 4.869, 
specs/amba_unreal_wgt.spectra, 5, 35, false, 4.320, 
specs/amba_unreal_wgt.spectra, 5, 36, false, 4.932, 
specs/amba_unreal_wgt.spectra, 5, 37, false, 5.269, 
specs/amba_unreal_wgt.spectra, 5, 38, false, 5.551, 
specs/amba_unreal_wgt.spectra, 5, 39, false, 4.525, 
specs/amba_unreal_wgt.spectra, 5, 40, false, 4.667, 
specs/amba_unreal_wgt.spectra, 5, 41, false, 0.914, 
specs/amba_unreal_wgt.spectra, 5, 42, false, 5.191, 
specs/amba_unreal_wgt.spectra, 5, 43, false, 1.005, 
specs/amba_unreal_wgt.spectra, 5, 44, false, 7.208, 
specs/amba_unreal_wgt.spectra, 5, 45, false, 3.247, 
specs/amba_unreal_wgt.spectra, 5, 46, false, 2.909, 
specs/amba_unreal_wgt.spectra, 5, 47, false, 4.541, 
specs/amba_unreal_wgt.spectra, 5, 48, false, 5.411, 
specs/amba_unreal_wgt.spectra, 5, 49, false, 5.921, 
specs/amba_unreal_wgt.spectra, 5, 50, false, 3.964, 
specs/amba_unreal_wgt.spectra, 5, 51, false, 4.557, 
specs/amba_unreal_wgt.spectra, 5, 52, false, 5.275, 
specs/amba_unreal_wgt.spectra, 5, 53, false, 1.978, 
specs/amba_unreal_wgt.spectra, 5, 54, false, 4.591, 
specs/amba_unreal_wgt.spectra, 5, 55, false, 4.852, 
specs/amba_unreal_wgt.spectra, 5, 56, true, 165.351, 
specs/amba_unreal_wgt.spectra, 5, 57, false, 3.311, 
specs/amba_unreal_wgt.spectra, 5, 62, false, 4.645, 
specs/amba_unreal_wgt.spectra, 5, 63, false, 5.168, 
specs/amba_unreal_wgt.spectra, 5, 68, false, 4.584, 
specs/amba_unreal_wgt.spectra, 5, 69, false, 3.801, 
specs/amba_unreal_wgt.spectra, 5, 70, false, 3.330, 
specs/amba_unreal_wgt.spectra, 5, 71, false, 4.274, 
specs/amba_unreal_wgt.spectra, 5, 72, false, 4.324, 
specs/amba_unreal_wgt.spectra, 5, 73, false, 3.659, 
specs/amba_unreal_wgt.spectra, 5, 74, false, 8.422, 
specs/amba_unreal_wgt.spectra, 5, 75, false, 3.225, 
specs/amba_unreal_wgt.spectra, 6, -1, false, 7.562, 
specs/amba_unreal_wgt.spectra, 6, 0, false, 3.615, 
specs/amba_unreal_wgt.spectra, 6, 1, false, 3.670, 
specs/amba_unreal_wgt.spectra, 6, 2, false, 3.631, 
specs/amba_unreal_wgt.spectra, 6, 3, false, 3.557, 
specs/amba_unreal_wgt.spectra, 6, 4, false, 3.961, 
specs/amba_unreal_wgt.spectra, 6, 5, false, 3.910, 
specs/amba_unreal_wgt.spectra, 6, 6, false, 3.735, 
specs/amba_unreal_wgt.spectra, 6, 7, false, 3.800, 
specs/amba_unreal_wgt.spectra, 6, 8, false, 3.581, 
specs/amba_unreal_wgt.spectra, 6, 9, false, 3.563, 
specs/amba_unreal_wgt.spectra, 6, 10, false, 4.016, 
specs/amba_unreal_wgt.spectra, 6, 11, false, 4.392, 
specs/amba_unreal_wgt.spectra, 6, 12, false, 4.127, 
specs/amba_unreal_wgt.spectra, 6, 13, true, 35.057, 
specs/amba_unreal_wgt.spectra, 6, 14, false, 3.646, 
specs/amba_unreal_wgt.spectra, 6, 15, false, 3.476, 
specs/amba_unreal_wgt.spectra, 6, 16, false, 9.763, 
specs/amba_unreal_wgt.spectra, 6, 17, false, 6.869, 
specs/amba_unreal_wgt.spectra, 6, 18, false, 6.786, 
specs/amba_unreal_wgt.spectra, 6, 19, false, 7.433, 
specs/amba_unreal_wgt.spectra, 6, 20, false, 6.680, 
specs/amba_unreal_wgt.spectra, 6, 21, false, 6.465, 
specs/amba_unreal_wgt.spectra, 6, 22, false, 5.286, 
specs/amba_unreal_wgt.spectra, 6, 23, false, 3.464, 
specs/amba_unreal_wgt.spectra, 6, 24, false, 3.750, 
specs/amba_unreal_wgt.spectra, 6, 25, false, 6.750, 
specs/amba_unreal_wgt.spectra, 6, 26, false, 7.314, 
specs/amba_unreal_wgt.spectra, 6, 27, false, 5.720, 
specs/amba_unreal_wgt.spectra, 6, 28, false, 6.726, 
specs/amba_unreal_wgt.spectra, 6, 29, false, 6.769, 
specs/amba_unreal_wgt.spectra, 6, 30, false, 6.891, 
specs/amba_unreal_wgt.spectra, 6, 31, false, 7.231, 
specs/amba_unreal_wgt.spectra, 6, 32, false, 6.233, 
specs/amba_unreal_wgt.spectra, 6, 33, false, 4.798, 
specs/amba_unreal_wgt.spectra, 6, 34, false, 5.314, 
specs/amba_unreal_wgt.spectra, 6, 35, false, 4.974, 
specs/amba_unreal_wgt.spectra, 6, 36, false, 8.195, 
specs/amba_unreal_wgt.spectra, 6, 37, false, 6.250, 
specs/amba_unreal_wgt.spectra, 6, 38, false, 6.418, 
specs/amba_unreal_wgt.spectra, 6, 39, false, 6.533, 
specs/amba_unreal_wgt.spectra, 6, 40, false, 6.924, 
specs/amba_unreal_wgt.spectra, 6, 41, false, 1.520, 
specs/amba_unreal_wgt.spectra, 6, 42, false, 10.497, 
specs/amba_unreal_wgt.spectra, 6, 43, false, 1.675, 
specs/amba_unreal_wgt.spectra, 6, 44, false, 15.953, 
specs/amba_unreal_wgt.spectra, 6, 45, false, 8.249, 
specs/amba_unreal_wgt.spectra, 6, 46, false, 6.960, 
specs/amba_unreal_wgt.spectra, 6, 47, false, 6.473, 
specs/amba_unreal_wgt.spectra, 6, 48, false, 7.659, 
specs/amba_unreal_wgt.spectra, 6, 49, false, 10.813, 
specs/amba_unreal_wgt.spectra, 6, 50, false, 8.926, 
specs/amba_unreal_wgt.spectra, 6, 51, false, 7.016, 
specs/amba_unreal_wgt.spectra, 6, 52, false, 9.545, 
specs/amba_unreal_wgt.spectra, 6, 53, false, 4.534, 
specs/amba_unreal_wgt.spectra, 6, 54, false, 8.789, 
specs/amba_unreal_wgt.spectra, 6, 55, false, 8.648, 
specs/amba_unreal_wgt.spectra, 6, 56, true, 288.385, 
specs/amba_unreal_wgt.spectra, 6, 57, false, 7.392, 
specs/amba_unreal_wgt.spectra, 6, 63, false, 9.528, 
specs/amba_unreal_wgt.spectra, 6, 64, false, 9.424, 
specs/amba_unreal_wgt.spectra, 6, 70, false, 9.613, 
specs/amba_unreal_wgt.spectra, 6, 71, false, 7.801, 
specs/amba_unreal_wgt.spectra, 6, 72, false, 11.286, 
specs/amba_unreal_wgt.spectra, 6, 73, false, 11.383, 
specs/amba_unreal_wgt.spectra, 6, 74, false, 9.859, 
specs/amba_unreal_wgt.spectra, 6, 75, false, 9.427, 
specs/amba_unreal_wgt.spectra, 6, 76, false, 19.835, 
specs/amba_unreal_wgt.spectra, 6, 77, false, 6.524, 
specs/amba_unreal_wgt.spectra, 7, -1, false, 13.865, 
specs/amba_unreal_wgt.spectra, 7, 0, false, 6.394, 
specs/amba_unreal_wgt.spectra, 7, 1, false, 6.916, 
specs/amba_unreal_wgt.spectra, 7, 2, false, 7.556, 
specs/amba_unreal_wgt.spectra, 7, 3, false, 7.598, 
specs/amba_unreal_wgt.spectra, 7, 4, false, 8.130, 
specs/amba_unreal_wgt.spectra, 7, 5, false, 7.721, 
specs/amba_unreal_wgt.spectra, 7, 6, false, 7.045, 
specs/amba_unreal_wgt.spectra, 7, 7, false, 8.109, 
specs/amba_unreal_wgt.spectra, 7, 8, false, 7.974, 
specs/amba_unreal_wgt.spectra, 7, 9, false, 8.227, 
specs/amba_unreal_wgt.spectra, 7, 10, false, 6.634, 
specs/amba_unreal_wgt.spectra, 7, 11, false, 7.930, 
specs/amba_unreal_wgt.spectra, 7, 12, false, 8.522, 
specs/amba_unreal_wgt.spectra, 7, 13, true, 93.953, 
specs/amba_unreal_wgt.spectra, 7, 14, false, 6.940, 
specs/amba_unreal_wgt.spectra, 7, 15, false, 6.572, 
specs/amba_unreal_wgt.spectra, 7, 16, false, 21.083, 
specs/amba_unreal_wgt.spectra, 7, 17, false, 12.246, 
specs/amba_unreal_wgt.spectra, 7, 18, false, 13.253, 
specs/amba_unreal_wgt.spectra, 7, 19, false, 15.418, 
specs/amba_unreal_wgt.spectra, 7, 20, false, 15.704, 
specs/amba_unreal_wgt.spectra, 7, 21, false, 14.917, 
specs/amba_unreal_wgt.spectra, 7, 22, false, 10.237, 
specs/amba_unreal_wgt.spectra, 7, 23, false, 8.469, 
specs/amba_unreal_wgt.spectra, 7, 24, false, 8.870, 
specs/amba_unreal_wgt.spectra, 7, 25, false, 14.878, 
specs/amba_unreal_wgt.spectra, 7, 26, false, 12.437, 
specs/amba_unreal_wgt.spectra, 7, 27, false, 12.790, 
specs/amba_unreal_wgt.spectra, 7, 28, false, 15.467, 
specs/amba_unreal_wgt.spectra, 7, 29, false, 13.801, 
specs/amba_unreal_wgt.spectra, 7, 30, false, 11.919, 
specs/amba_unreal_wgt.spectra, 7, 31, false, 13.356, 
specs/amba_unreal_wgt.spectra, 7, 32, false, 14.084, 
specs/amba_unreal_wgt.spectra, 7, 33, false, 11.280, 
specs/amba_unreal_wgt.spectra, 7, 34, false, 14.316, 
specs/amba_unreal_wgt.spectra, 7, 35, false, 11.704, 
specs/amba_unreal_wgt.spectra, 7, 36, false, 12.765, 
specs/amba_unreal_wgt.spectra, 7, 37, false, 12.843, 
specs/amba_unreal_wgt.spectra, 7, 38, false, 13.138, 
specs/amba_unreal_wgt.spectra, 7, 39, false, 12.115, 
specs/amba_unreal_wgt.spectra, 7, 40, false, 13.516, 
specs/amba_unreal_wgt.spectra, 7, 41, false, 3.368, 
specs/amba_unreal_wgt.spectra, 7, 42, false, 18.210, 
specs/amba_unreal_wgt.spectra, 7, 43, false, 2.585, 
specs/amba_unreal_wgt.spectra, 7, 44, false, 34.388, 
specs/amba_unreal_wgt.spectra, 7, 45, false, 10.515, 
specs/amba_unreal_wgt.spectra, 7, 46, false, 10.105, 
specs/amba_unreal_wgt.spectra, 7, 47, false, 10.834, 
specs/amba_unreal_wgt.spectra, 7, 48, false, 13.550, 
specs/amba_unreal_wgt.spectra, 7, 49, false, 17.677, 
specs/amba_unreal_wgt.spectra, 7, 50, false, 11.746, 
specs/amba_unreal_wgt.spectra, 7, 51, false, 11.596, 
specs/amba_unreal_wgt.spectra, 7, 52, false, 15.972, 
specs/amba_unreal_wgt.spectra, 7, 53, false, 9.809, 
specs/amba_unreal_wgt.spectra, 7, 54, false, 11.361, 
specs/amba_unreal_wgt.spectra, 7, 55, false, 10.882, 
specs/amba_unreal_wgt.spectra, 7, 56, class java.util.concurrent.TimeoutException
specs/amba_unreal_wgt.spectra, 7, 57, false, 12.045, 
specs/amba_unreal_wgt.spectra, 7, 64, false, 12.918, 
specs/amba_unreal_wgt.spectra, 7, 65, false, 12.951, 
specs/amba_unreal_wgt.spectra, 7, 72, false, 13.563, 
specs/amba_unreal_wgt.spectra, 7, 73, false, 12.244, 
specs/amba_unreal_wgt.spectra, 7, 74, false, 14.931, 
specs/amba_unreal_wgt.spectra, 7, 75, false, 11.812, 
specs/amba_unreal_wgt.spectra, 7, 76, false, 12.729, 
specs/amba_unreal_wgt.spectra, 7, 77, false, 12.155, 
specs/amba_unreal_wgt.spectra, 7, 78, false, 30.124, 
specs/amba_unreal_wgt.spectra, 7, 79, false, 9.084, 
specs/amba_unreal_wgt.spectra, 8, -1, false, 21.865, 
specs/amba_unreal_wgt.spectra, 8, 0, false, 9.388, 
specs/amba_unreal_wgt.spectra, 8, 1, false, 10.199, 
specs/amba_unreal_wgt.spectra, 8, 2, false, 10.388, 
specs/amba_unreal_wgt.spectra, 8, 3, false, 9.541, 
specs/amba_unreal_wgt.spectra, 8, 4, false, 9.838, 
specs/amba_unreal_wgt.spectra, 8, 5, false, 10.287, 
specs/amba_unreal_wgt.spectra, 8, 6, false, 9.960, 
specs/amba_unreal_wgt.spectra, 8, 7, false, 10.287, 
specs/amba_unreal_wgt.spectra, 8, 8, false, 10.879, 
specs/amba_unreal_wgt.spectra, 8, 9, false, 11.147, 
specs/amba_unreal_wgt.spectra, 8, 10, false, 11.690, 
specs/amba_unreal_wgt.spectra, 8, 11, false, 10.321, 
specs/amba_unreal_wgt.spectra, 8, 12, false, 10.877, 
specs/amba_unreal_wgt.spectra, 8, 13, true, 140.353, 
specs/amba_unreal_wgt.spectra, 8, 14, false, 8.902, 
specs/amba_unreal_wgt.spectra, 8, 15, false, 8.859, 
specs/amba_unreal_wgt.spectra, 8, 16, false, 25.919, 
specs/amba_unreal_wgt.spectra, 8, 17, false, 21.173, 
specs/amba_unreal_wgt.spectra, 8, 18, false, 26.160, 
specs/amba_unreal_wgt.spectra, 8, 19, false, 17.720, 
specs/amba_unreal_wgt.spectra, 8, 20, false, 16.580, 
specs/amba_unreal_wgt.spectra, 8, 21, false, 15.472, 
specs/amba_unreal_wgt.spectra, 8, 22, false, 15.552, 
specs/amba_unreal_wgt.spectra, 8, 23, false, 7.837, 
specs/amba_unreal_wgt.spectra, 8, 24, false, 10.054, 
specs/amba_unreal_wgt.spectra, 8, 25, false, 16.193, 
specs/amba_unreal_wgt.spectra, 8, 26, false, 18.611, 
specs/amba_unreal_wgt.spectra, 8, 27, false, 19.331, 
specs/amba_unreal_wgt.spectra, 8, 28, false, 19.140, 
specs/amba_unreal_wgt.spectra, 8, 29, false, 18.990, 
specs/amba_unreal_wgt.spectra, 8, 30, false, 17.683, 
specs/amba_unreal_wgt.spectra, 8, 31, false, 21.871, 
specs/amba_unreal_wgt.spectra, 8, 32, false, 22.580, 
specs/amba_unreal_wgt.spectra, 8, 33, false, 20.115, 
specs/amba_unreal_wgt.spectra, 8, 34, false, 17.723, 
specs/amba_unreal_wgt.spectra, 8, 35, false, 19.249, 
specs/amba_unreal_wgt.spectra, 8, 36, false, 18.636, 
specs/amba_unreal_wgt.spectra, 8, 37, false, 20.719, 
specs/amba_unreal_wgt.spectra, 8, 38, false, 23.227, 
specs/amba_unreal_wgt.spectra, 8, 39, false, 26.184, 
specs/amba_unreal_wgt.spectra, 8, 40, false, 17.802, 
specs/amba_unreal_wgt.spectra, 8, 41, false, 3.002, 
specs/amba_unreal_wgt.spectra, 8, 42, false, 37.439, 
specs/amba_unreal_wgt.spectra, 8, 43, false, 3.036, 
specs/amba_unreal_wgt.spectra, 8, 44, false, 54.444, 
specs/amba_unreal_wgt.spectra, 8, 45, false, 18.823, 
specs/amba_unreal_wgt.spectra, 8, 46, false, 22.425, 
