Spec,Size,Remove,Is Real.,Total,
specs/amba_unreal_wgt.spectra, 4, -1, false, 2.335, 
specs/amba_unreal_wgt.spectra, 4, 0, false, 1.835, 
specs/amba_unreal_wgt.spectra, 4, 1, false, 1.946, 
specs/amba_unreal_wgt.spectra, 4, 2, false, 2.018, 
specs/amba_unreal_wgt.spectra, 4, 3, false, 1.763, 
specs/amba_unreal_wgt.spectra, 4, 4, false, 1.841, 
specs/amba_unreal_wgt.spectra, 4, 5, false, 1.588, 
specs/amba_unreal_wgt.spectra, 4, 6, false, 1.765, 
specs/amba_unreal_wgt.spectra, 4, 7, false, 1.871, 
specs/amba_unreal_wgt.spectra, 4, 8, false, 2.679, 
specs/amba_unreal_wgt.spectra, 4, 9, false, 2.011, 
specs/amba_unreal_wgt.spectra, 4, 10, false, 2.172, 
specs/amba_unreal_wgt.spectra, 4, 11, false, 1.725, 
specs/amba_unreal_wgt.spectra, 4, 12, false, 2.141, 
specs/amba_unreal_wgt.spectra, 4, 13, true, 25.997, 
specs/amba_unreal_wgt.spectra, 4, 14, false, 2.142, 
specs/amba_unreal_wgt.spectra, 4, 15, false, 2.136, 
specs/amba_unreal_wgt.spectra, 4, 16, false, 3.221, 
specs/amba_unreal_wgt.spectra, 4, 17, false, 2.045, 
specs/amba_unreal_wgt.spectra, 4, 18, false, 2.061, 
specs/amba_unreal_wgt.spectra, 4, 19, false, 2.407, 
specs/amba_unreal_wgt.spectra, 4, 20, false, 1.962, 
specs/amba_unreal_wgt.spectra, 4, 21, false, 1.949, 
specs/amba_unreal_wgt.spectra, 4, 22, false, 1.927, 
specs/amba_unreal_wgt.spectra, 4, 23, false, 1.275, 
specs/amba_unreal_wgt.spectra, 4, 24, false, 1.540, 
specs/amba_unreal_wgt.spectra, 4, 25, false, 2.136, 
specs/amba_unreal_wgt.spectra, 4, 26, false, 2.677, 
specs/amba_unreal_wgt.spectra, 4, 27, false, 2.167, 
specs/amba_unreal_wgt.spectra, 4, 28, false, 2.271, 
specs/amba_unreal_wgt.spectra, 4, 29, false, 2.141, 
specs/amba_unreal_wgt.spectra, 4, 30, false, 2.171, 
specs/amba_unreal_wgt.spectra, 4, 31, false, 1.971, 
specs/amba_unreal_wgt.spectra, 4, 32, false, 2.775, 
specs/amba_unreal_wgt.spectra, 4, 33, false, 1.734, 
specs/amba_unreal_wgt.spectra, 4, 34, false, 2.103, 
specs/amba_unreal_wgt.spectra, 4, 35, false, 1.999, 
specs/amba_unreal_wgt.spectra, 4, 36, false, 2.287, 
specs/amba_unreal_wgt.spectra, 4, 37, false, 1.930, 
specs/amba_unreal_wgt.spectra, 4, 38, false, 2.397, 
specs/amba_unreal_wgt.spectra, 4, 39, false, 2.309, 
specs/amba_unreal_wgt.spectra, 4, 40, false, 2.050, 
specs/amba_unreal_wgt.spectra, 4, 41, false, 1.142, 
specs/amba_unreal_wgt.spectra, 4, 42, false, 2.861, 
specs/amba_unreal_wgt.spectra, 4, 43, false, 1.229, 
specs/amba_unreal_wgt.spectra, 4, 44, false, 2.861, 
