Spec,Size,Remove,Is Real.,Total,
specs/amba_unreal_wgt.spectra, 4, -1, false, 2.277, 
specs/amba_unreal_wgt.spectra, 4, 0, false, 1.951, 
specs/amba_unreal_wgt.spectra, 4, 1, false, 1.920, 
specs/amba_unreal_wgt.spectra, 4, 2, false, 2.337, 
specs/amba_unreal_wgt.spectra, 4, 3, false, 2.001, 
specs/amba_unreal_wgt.spectra, 4, 4, false, 2.047, 
specs/amba_unreal_wgt.spectra, 4, 5, false, 2.353, 
specs/amba_unreal_wgt.spectra, 4, 6, false, 1.961, 
specs/amba_unreal_wgt.spectra, 4, 7, false, 2.017, 
specs/amba_unreal_wgt.spectra, 4, 8, false, 2.687, 
specs/amba_unreal_wgt.spectra, 4, 9, false, 2.188, 
specs/amba_unreal_wgt.spectra, 4, 10, false, 1.961, 
specs/amba_unreal_wgt.spectra, 4, 11, false, 2.175, 
specs/amba_unreal_wgt.spectra, 4, 12, false, 2.518, 
specs/amba_unreal_wgt.spectra, 4, 13, true, 30.635, 
specs/amba_unreal_wgt.spectra, 4, 14, false, 2.643, 
specs/amba_unreal_wgt.spectra, 4, 15, false, 2.129, 
specs/amba_unreal_wgt.spectra, 4, 16, false, 3.976, 
specs/amba_unreal_wgt.spectra, 4, 17, false, 2.428, 
specs/amba_unreal_wgt.spectra, 4, 18, false, 2.400, 
specs/amba_unreal_wgt.spectra, 4, 19, false, 2.522, 
specs/amba_unreal_wgt.spectra, 4, 20, false, 2.581, 
specs/amba_unreal_wgt.spectra, 4, 21, false, 2.775, 
specs/amba_unreal_wgt.spectra, 4, 22, false, 2.739, 
specs/amba_unreal_wgt.spectra, 4, 23, false, 1.451, 
specs/amba_unreal_wgt.spectra, 4, 24, false, 1.799, 
specs/amba_unreal_wgt.spectra, 4, 25, false, 2.790, 
specs/amba_unreal_wgt.spectra, 4, 26, false, 2.625, 
specs/amba_unreal_wgt.spectra, 4, 27, false, 2.388, 
specs/amba_unreal_wgt.spectra, 4, 28, false, 2.786, 
specs/amba_unreal_wgt.spectra, 4, 29, false, 2.245, 
