Spec,Size,Remove,Is Real.,Total,
specs/amba_unreal_woaf.spectra, 4, -1, false, 36.359, 
specs/amba_unreal_woaf.spectra, 4, 0, false, 32.317, 
specs/amba_unreal_woaf.spectra, 4, 1, false, 33.554, 
specs/amba_unreal_woaf.spectra, 4, 2, false, 29.900, 
specs/amba_unreal_woaf.spectra, 4, 3, false, 27.654, 
specs/amba_unreal_woaf.spectra, 4, 4, false, 25.537, 
specs/amba_unreal_woaf.spectra, 4, 5, false, 33.371, 
specs/amba_unreal_woaf.spectra, 4, 6, false, 29.962, 
specs/amba_unreal_woaf.spectra, 4, 7, false, 24.901, 
specs/amba_unreal_woaf.spectra, 4, 8, false, 31.475, 
specs/amba_unreal_woaf.spectra, 4, 9, false, 39.791, 
specs/amba_unreal_woaf.spectra, 4, 10, false, 40.540, 
specs/amba_unreal_woaf.spectra, 4, 11, false, 41.109, 
specs/amba_unreal_woaf.spectra, 4, 12, false, 24.024, 
specs/amba_unreal_woaf.spectra, 4, 13, false, 54.255, 
specs/amba_unreal_woaf.spectra, 4, 14, false, 40.381, 
specs/amba_unreal_woaf.spectra, 4, 15, false, 48.041, 
specs/amba_unreal_woaf.spectra, 4, 16, false, 70.220, 
specs/amba_unreal_woaf.spectra, 4, 17, false, 65.784, 
specs/amba_unreal_woaf.spectra, 4, 18, false, 58.803, 
specs/amba_unreal_woaf.spectra, 4, 19, false, 53.339, 
specs/amba_unreal_woaf.spectra, 4, 20, false, 58.805, 
specs/amba_unreal_woaf.spectra, 4, 21, false, 60.212, 
specs/amba_unreal_woaf.spectra, 4, 22, true, 8.755, 
specs/amba_unreal_woaf.spectra, 4, 23, true, 5.509, 
specs/amba_unreal_woaf.spectra, 4, 24, true, 6.706, 
specs/amba_unreal_woaf.spectra, 4, 25, false, 91.365, 
specs/amba_unreal_woaf.spectra, 4, 26, false, 107.624, 
specs/amba_unreal_woaf.spectra, 4, 27, false, 62.940, 
specs/amba_unreal_woaf.spectra, 4, 28, false, 119.166, 
specs/amba_unreal_woaf.spectra, 4, 29, false, 92.324, 
specs/amba_unreal_woaf.spectra, 4, 30, false, 73.027, 
specs/amba_unreal_woaf.spectra, 4, 31, false, 88.828, 
specs/amba_unreal_woaf.spectra, 4, 32, false, 107.600, 
specs/amba_unreal_woaf.spectra, 4, 33, false, 59.971, 
specs/amba_unreal_woaf.spectra, 4, 34, false, 85.082, 
specs/amba_unreal_woaf.spectra, 4, 35, false, 93.540, 
specs/amba_unreal_woaf.spectra, 4, 36, false, 64.248, 
specs/amba_unreal_woaf.spectra, 4, 37, false, 113.331, 
specs/amba_unreal_woaf.spectra, 4, 38, false, 89.238, 
specs/amba_unreal_woaf.spectra, 4, 39, false, 75.660, 
specs/amba_unreal_woaf.spectra, 4, 40, false, 86.402, 
specs/amba_unreal_woaf.spectra, 4, 41, true, 1.649, 
specs/amba_unreal_woaf.spectra, 4, 42, true, 3.301, 
specs/amba_unreal_woaf.spectra, 4, 43, true, 7.751, 
specs/amba_unreal_woaf.spectra, 4, 44, false, 118.597, 
specs/amba_unreal_woaf.spectra, 4, 45, true, 11.409, 
specs/amba_unreal_woaf.spectra, 4, 46, false, 69.785, 
specs/amba_unreal_woaf.spectra, 4, 47, false, 71.869, 
specs/amba_unreal_woaf.spectra, 4, 48, true, 15.494, 
specs/amba_unreal_woaf.spectra, 4, 49, false, 68.673, 
specs/amba_unreal_woaf.spectra, 4, 50, false, 94.891, 
specs/amba_unreal_woaf.spectra, 4, 51, false, 25.863, 
specs/amba_unreal_woaf.spectra, 4, 52, false, 89.812, 
specs/amba_unreal_woaf.spectra, 4, 53, false, 23.732, 
specs/amba_unreal_woaf.spectra, 4, 54, false, 94.880, 
specs/amba_unreal_woaf.spectra, 4, 55, false, 56.184, 
specs/amba_unreal_woaf.spectra, 4, 56, false, 71.172, 
specs/amba_unreal_woaf.spectra, 4, 60, false, 66.233, 
specs/amba_unreal_woaf.spectra, 4, 61, false, 34.077, 
specs/amba_unreal_woaf.spectra, 4, 65, false, 50.568, 
specs/amba_unreal_woaf.spectra, 4, 66, false, 44.533, 
specs/amba_unreal_woaf.spectra, 4, 67, false, 55.750, 
specs/amba_unreal_woaf.spectra, 4, 68, false, 49.813, 
specs/amba_unreal_woaf.spectra, 4, 69, false, 49.538, 
specs/amba_unreal_woaf.spectra, 4, 70, false, 37.870, 
specs/amba_unreal_woaf.spectra, 4, 71, false, 17.789, 
specs/amba_unreal_woaf.spectra, 5, -1, false, 77.142, 
specs/amba_unreal_woaf.spectra, 5, 0, false, 54.991, 
specs/amba_unreal_woaf.spectra, 5, 1, false, 55.653, 
specs/amba_unreal_woaf.spectra, 5, 2, false, 51.302, 
specs/amba_unreal_woaf.spectra, 5, 3, false, 50.828, 
specs/amba_unreal_woaf.spectra, 5, 4, false, 50.491, 
specs/amba_unreal_woaf.spectra, 5, 5, false, 54.419, 
specs/amba_unreal_woaf.spectra, 5, 6, false, 56.623, 
specs/amba_unreal_woaf.spectra, 5, 7, false, 52.928, 
specs/amba_unreal_woaf.spectra, 5, 8, false, 48.345, 
specs/amba_unreal_woaf.spectra, 5, 9, false, 63.365, 
specs/amba_unreal_woaf.spectra, 5, 10, false, 69.866, 
specs/amba_unreal_woaf.spectra, 5, 11, false, 66.687, 
specs/amba_unreal_woaf.spectra, 5, 12, false, 40.689, 
specs/amba_unreal_woaf.spectra, 5, 13, false, 45.071, 
specs/amba_unreal_woaf.spectra, 5, 14, false, 68.728, 
specs/amba_unreal_woaf.spectra, 5, 15, false, 94.321, 
specs/amba_unreal_woaf.spectra, 5, 16, false, 113.699, 
specs/amba_unreal_woaf.spectra, 5, 17, false, 90.033, 
specs/amba_unreal_woaf.spectra, 5, 18, false, 97.944, 
specs/amba_unreal_woaf.spectra, 5, 19, false, 103.810, 
specs/amba_unreal_woaf.spectra, 5, 20, false, 91.329, 
specs/amba_unreal_woaf.spectra, 5, 21, false, 89.610, 
specs/amba_unreal_woaf.spectra, 5, 22, true, 32.625, 
specs/amba_unreal_woaf.spectra, 5, 23, true, 8.882, 
specs/amba_unreal_woaf.spectra, 5, 24, true, 13.945, 
specs/amba_unreal_woaf.spectra, 5, 25, false, 140.190, 
specs/amba_unreal_woaf.spectra, 5, 26, false, 137.223, 
specs/amba_unreal_woaf.spectra, 5, 27, false, 129.130, 
specs/amba_unreal_woaf.spectra, 5, 28, false, 152.497, 
specs/amba_unreal_woaf.spectra, 5, 29, false, 140.610, 
specs/amba_unreal_woaf.spectra, 5, 30, false, 153.127, 
specs/amba_unreal_woaf.spectra, 5, 31, false, 141.800, 
specs/amba_unreal_woaf.spectra, 5, 32, false, 148.805, 
specs/amba_unreal_woaf.spectra, 5, 33, false, 161.633, 
specs/amba_unreal_woaf.spectra, 5, 34, false, 163.666, 
specs/amba_unreal_woaf.spectra, 5, 35, false, 153.419, 
specs/amba_unreal_woaf.spectra, 5, 36, false, 182.237, 
specs/amba_unreal_woaf.spectra, 5, 37, false, 146.993, 
specs/amba_unreal_woaf.spectra, 5, 38, false, 160.425, 
specs/amba_unreal_woaf.spectra, 5, 39, false, 168.602, 
specs/amba_unreal_woaf.spectra, 5, 40, false, 144.821, 
specs/amba_unreal_woaf.spectra, 5, 41, true, 2.834, 
specs/amba_unreal_woaf.spectra, 5, 42, true, 6.620, 
specs/amba_unreal_woaf.spectra, 5, 43, true, 23.135, 
specs/amba_unreal_woaf.spectra, 5, 44, false, 247.220, 
specs/amba_unreal_woaf.spectra, 5, 45, true, 38.144, 
specs/amba_unreal_woaf.spectra, 5, 46, false, 140.284, 
specs/amba_unreal_woaf.spectra, 5, 47, false, 201.109, 
specs/amba_unreal_woaf.spectra, 5, 48, true, 61.585, 
specs/amba_unreal_woaf.spectra, 5, 49, false, 159.179, 
specs/amba_unreal_woaf.spectra, 5, 50, false, 153.082, 
specs/amba_unreal_woaf.spectra, 5, 51, false, 47.219, 
specs/amba_unreal_woaf.spectra, 5, 52, false, 186.234, 
specs/amba_unreal_woaf.spectra, 5, 53, false, 39.313, 
specs/amba_unreal_woaf.spectra, 5, 54, false, 150.492, 
specs/amba_unreal_woaf.spectra, 5, 55, false, 149.170, 
specs/amba_unreal_woaf.spectra, 5, 56, false, 110.624, 
specs/amba_unreal_woaf.spectra, 5, 61, false, 141.935, 
specs/amba_unreal_woaf.spectra, 5, 62, false, 75.914, 
specs/amba_unreal_woaf.spectra, 5, 67, false, 87.612, 
specs/amba_unreal_woaf.spectra, 5, 68, false, 75.038, 
specs/amba_unreal_woaf.spectra, 5, 69, false, 86.035, 
specs/amba_unreal_woaf.spectra, 5, 70, false, 93.635, 
specs/amba_unreal_woaf.spectra, 5, 71, false, 86.458, 
specs/amba_unreal_woaf.spectra, 5, 72, false, 62.914, 
specs/amba_unreal_woaf.spectra, 5, 73, false, 26.645, 
specs/amba_unreal_woaf.spectra, 6, -1, false, 130.907, 
specs/amba_unreal_woaf.spectra, 6, 0, false, 112.584, 
specs/amba_unreal_woaf.spectra, 6, 1, false, 109.617, 
specs/amba_unreal_woaf.spectra, 6, 2, false, 96.196, 
specs/amba_unreal_woaf.spectra, 6, 3, false, 89.883, 
specs/amba_unreal_woaf.spectra, 6, 4, false, 89.714, 
specs/amba_unreal_woaf.spectra, 6, 5, false, 92.165, 
specs/amba_unreal_woaf.spectra, 6, 6, false, 91.658, 
specs/amba_unreal_woaf.spectra, 6, 7, false, 94.633, 
specs/amba_unreal_woaf.spectra, 6, 8, false, 86.675, 
specs/amba_unreal_woaf.spectra, 6, 9, false, 110.558, 
specs/amba_unreal_woaf.spectra, 6, 10, false, 121.649, 
specs/amba_unreal_woaf.spectra, 6, 11, false, 133.585, 
specs/amba_unreal_woaf.spectra, 6, 12, false, 68.828, 
specs/amba_unreal_woaf.spectra, 6, 13, false, 67.540, 
specs/amba_unreal_woaf.spectra, 6, 14, false, 96.323, 
specs/amba_unreal_woaf.spectra, 6, 15, false, 167.456, 
specs/amba_unreal_woaf.spectra, 6, 16, false, 201.892, 
specs/amba_unreal_woaf.spectra, 6, 17, false, 137.139, 
specs/amba_unreal_woaf.spectra, 6, 18, false, 148.843, 
specs/amba_unreal_woaf.spectra, 6, 19, false, 140.719, 
specs/amba_unreal_woaf.spectra, 6, 20, false, 147.758, 
specs/amba_unreal_woaf.spectra, 6, 21, false, 214.606, 
specs/amba_unreal_woaf.spectra, 6, 22, true, 62.259, 
specs/amba_unreal_woaf.spectra, 6, 23, true, 20.311, 
specs/amba_unreal_woaf.spectra, 6, 24, true, 61.066, 
specs/amba_unreal_woaf.spectra, 6, 25, false, 254.543, 
specs/amba_unreal_woaf.spectra, 6, 26, false, 253.475, 
specs/amba_unreal_woaf.spectra, 6, 27, false, 206.787, 
specs/amba_unreal_woaf.spectra, 6, 28, false, 232.934, 
specs/amba_unreal_woaf.spectra, 6, 29, false, 221.137, 
specs/amba_unreal_woaf.spectra, 6, 30, false, 223.663, 
specs/amba_unreal_woaf.spectra, 6, 31, false, 275.870, 
specs/amba_unreal_woaf.spectra, 6, 32, false, 267.449, 
specs/amba_unreal_woaf.spectra, 6, 33, false, 226.828, 
specs/amba_unreal_woaf.spectra, 6, 34, false, 227.135, 
specs/amba_unreal_woaf.spectra, 6, 35, false, 267.150, 
specs/amba_unreal_woaf.spectra, 6, 36, false, 264.244, 
specs/amba_unreal_woaf.spectra, 6, 37, false, 243.725, 
specs/amba_unreal_woaf.spectra, 6, 38, false, 232.296, 
specs/amba_unreal_woaf.spectra, 6, 39, false, 244.437, 
specs/amba_unreal_woaf.spectra, 6, 40, false, 228.124, 
specs/amba_unreal_woaf.spectra, 6, 41, true, 3.262, 
specs/amba_unreal_woaf.spectra, 6, 42, true, 10.560, 
specs/amba_unreal_woaf.spectra, 6, 43, true, 125.741, 
specs/amba_unreal_woaf.spectra, 6, 44, false, 307.494, 
specs/amba_unreal_woaf.spectra, 6, 45, true, 21.778, 
specs/amba_unreal_woaf.spectra, 6, 46, false, 250.740, 
specs/amba_unreal_woaf.spectra, 6, 47, false, 241.339, 
specs/amba_unreal_woaf.spectra, 6, 48, true, 119.894, 
