Spec,Size,Remove,Is Real.,Total,
specs/amba_unreal_woaf.spectra, 4, -1, false, 48.463, 
specs/amba_unreal_woaf.spectra, 4, 0, false, 18.875, 
specs/amba_unreal_woaf.spectra, 4, 1, false, 23.976, 
specs/amba_unreal_woaf.spectra, 4, 2, false, 27.443, 
specs/amba_unreal_woaf.spectra, 4, 3, false, 30.303, 
specs/amba_unreal_woaf.spectra, 4, 4, false, 30.268, 
specs/amba_unreal_woaf.spectra, 4, 5, false, 26.169, 
specs/amba_unreal_woaf.spectra, 4, 6, false, 32.234, 
specs/amba_unreal_woaf.spectra, 4, 7, false, 30.703, 
specs/amba_unreal_woaf.spectra, 4, 8, false, 29.528, 
specs/amba_unreal_woaf.spectra, 4, 9, false, 40.567, 
specs/amba_unreal_woaf.spectra, 4, 10, false, 68.699, 
specs/amba_unreal_woaf.spectra, 4, 11, false, 67.730, 
specs/amba_unreal_woaf.spectra, 4, 12, false, 13.202, 
specs/amba_unreal_woaf.spectra, 4, 13, false, 15.812, 
specs/amba_unreal_woaf.spectra, 4, 14, false, 44.061, 
specs/amba_unreal_woaf.spectra, 4, 15, false, 54.180, 
specs/amba_unreal_woaf.spectra, 4, 16, false, 43.228, 
specs/amba_unreal_woaf.spectra, 4, 17, false, 33.242, 
specs/amba_unreal_woaf.spectra, 4, 18, false, 26.201, 
specs/amba_unreal_woaf.spectra, 4, 19, false, 42.154, 
specs/amba_unreal_woaf.spectra, 4, 20, false, 39.444, 
specs/amba_unreal_woaf.spectra, 4, 21, false, 35.277, 
specs/amba_unreal_woaf.spectra, 4, 22, true, 4.288, 
specs/amba_unreal_woaf.spectra, 4, 23, true, 5.248, 
specs/amba_unreal_woaf.spectra, 4, 24, true, 4.309, 
specs/amba_unreal_woaf.spectra, 4, 25, false, 83.358, 
specs/amba_unreal_woaf.spectra, 4, 26, false, 43.052, 
specs/amba_unreal_woaf.spectra, 4, 27, false, 50.324, 
specs/amba_unreal_woaf.spectra, 4, 28, false, 92.751, 
specs/amba_unreal_woaf.spectra, 4, 29, false, 45.995, 
specs/amba_unreal_woaf.spectra, 4, 30, false, 65.179, 
specs/amba_unreal_woaf.spectra, 4, 31, false, 73.462, 
specs/amba_unreal_woaf.spectra, 4, 32, false, 55.836, 
specs/amba_unreal_woaf.spectra, 4, 33, false, 137.791, 
specs/amba_unreal_woaf.spectra, 4, 34, false, 78.103, 
specs/amba_unreal_woaf.spectra, 4, 35, false, 95.177, 
specs/amba_unreal_woaf.spectra, 4, 36, false, 44.964, 
specs/amba_unreal_woaf.spectra, 4, 37, false, 57.006, 
specs/amba_unreal_woaf.spectra, 4, 38, false, 77.764, 
specs/amba_unreal_woaf.spectra, 4, 39, false, 67.915, 
specs/amba_unreal_woaf.spectra, 4, 40, false, 51.550, 
specs/amba_unreal_woaf.spectra, 4, 41, true, 1.752, 
specs/amba_unreal_woaf.spectra, 4, 42, true, 3.007, 
specs/amba_unreal_woaf.spectra, 4, 43, true, 7.112, 
specs/amba_unreal_woaf.spectra, 4, 44, false, 74.502, 
specs/amba_unreal_woaf.spectra, 4, 45, true, 6.508, 
specs/amba_unreal_woaf.spectra, 4, 46, false, 46.036, 
specs/amba_unreal_woaf.spectra, 4, 47, false, 49.940, 
specs/amba_unreal_woaf.spectra, 4, 48, true, 11.085, 
specs/amba_unreal_woaf.spectra, 4, 49, false, 39.580, 
specs/amba_unreal_woaf.spectra, 4, 50, false, 58.237, 
specs/amba_unreal_woaf.spectra, 4, 51, false, 14.875, 
specs/amba_unreal_woaf.spectra, 4, 52, false, 46.370, 
specs/amba_unreal_woaf.spectra, 4, 53, false, 22.728, 
specs/amba_unreal_woaf.spectra, 4, 54, false, 40.810, 
specs/amba_unreal_woaf.spectra, 4, 55, false, 84.070, 
specs/amba_unreal_woaf.spectra, 4, 56, false, 57.891, 
specs/amba_unreal_woaf.spectra, 4, 60, false, 97.456, 
specs/amba_unreal_woaf.spectra, 4, 61, false, 34.393, 
specs/amba_unreal_woaf.spectra, 4, 65, false, 49.015, 
specs/amba_unreal_woaf.spectra, 4, 66, false, 42.032, 
specs/amba_unreal_woaf.spectra, 4, 67, false, 33.337, 
specs/amba_unreal_woaf.spectra, 4, 68, false, 48.359, 
specs/amba_unreal_woaf.spectra, 4, 69, false, 44.871, 
specs/amba_unreal_woaf.spectra, 4, 70, false, 26.394, 
specs/amba_unreal_woaf.spectra, 4, 71, false, 7.214, 
specs/amba_unreal_woaf.spectra, 5, -1, false, 79.168, 
specs/amba_unreal_woaf.spectra, 5, 0, false, 42.842, 
specs/amba_unreal_woaf.spectra, 5, 1, false, 43.902, 
specs/amba_unreal_woaf.spectra, 5, 2, false, 37.010, 
specs/amba_unreal_woaf.spectra, 5, 3, false, 47.684, 
specs/amba_unreal_woaf.spectra, 5, 4, false, 44.665, 
specs/amba_unreal_woaf.spectra, 5, 5, false, 47.710, 
specs/amba_unreal_woaf.spectra, 5, 6, false, 47.504, 
specs/amba_unreal_woaf.spectra, 5, 7, false, 39.162, 
specs/amba_unreal_woaf.spectra, 5, 8, false, 35.876, 
specs/amba_unreal_woaf.spectra, 5, 9, false, 72.910, 
specs/amba_unreal_woaf.spectra, 5, 10, false, 66.424, 
specs/amba_unreal_woaf.spectra, 5, 11, false, 79.177, 
specs/amba_unreal_woaf.spectra, 5, 12, false, 37.115, 
specs/amba_unreal_woaf.spectra, 5, 13, false, 30.251, 
specs/amba_unreal_woaf.spectra, 5, 14, false, 26.044, 
specs/amba_unreal_woaf.spectra, 5, 15, false, 96.306, 
specs/amba_unreal_woaf.spectra, 5, 16, false, 86.313, 
specs/amba_unreal_woaf.spectra, 5, 17, false, 77.583, 
specs/amba_unreal_woaf.spectra, 5, 18, false, 66.361, 
specs/amba_unreal_woaf.spectra, 5, 19, false, 122.460, 
specs/amba_unreal_woaf.spectra, 5, 20, false, 67.825, 
specs/amba_unreal_woaf.spectra, 5, 21, false, 76.434, 
specs/amba_unreal_woaf.spectra, 5, 22, true, 17.079, 
specs/amba_unreal_woaf.spectra, 5, 23, true, 4.853, 
specs/amba_unreal_woaf.spectra, 5, 24, true, 9.507, 
specs/amba_unreal_woaf.spectra, 5, 25, false, 116.935, 
specs/amba_unreal_woaf.spectra, 5, 26, false, 101.752, 
specs/amba_unreal_woaf.spectra, 5, 27, false, 122.817, 
specs/amba_unreal_woaf.spectra, 5, 28, false, 123.897, 
specs/amba_unreal_woaf.spectra, 5, 29, false, 112.461, 
specs/amba_unreal_woaf.spectra, 5, 30, false, 140.350, 
specs/amba_unreal_woaf.spectra, 5, 31, false, 105.666, 
specs/amba_unreal_woaf.spectra, 5, 32, false, 109.712, 
specs/amba_unreal_woaf.spectra, 5, 33, false, 118.881, 
specs/amba_unreal_woaf.spectra, 5, 34, false, 123.255, 
specs/amba_unreal_woaf.spectra, 5, 35, false, 97.923, 
specs/amba_unreal_woaf.spectra, 5, 36, false, 122.287, 
specs/amba_unreal_woaf.spectra, 5, 37, false, 138.039, 
specs/amba_unreal_woaf.spectra, 5, 38, false, 125.365, 
specs/amba_unreal_woaf.spectra, 5, 39, false, 122.499, 
specs/amba_unreal_woaf.spectra, 5, 40, false, 127.638, 
specs/amba_unreal_woaf.spectra, 5, 41, true, 1.265, 
specs/amba_unreal_woaf.spectra, 5, 42, true, 4.995, 
specs/amba_unreal_woaf.spectra, 5, 43, true, 11.573, 
specs/amba_unreal_woaf.spectra, 5, 44, false, 142.853, 
specs/amba_unreal_woaf.spectra, 5, 45, true, 14.510, 
specs/amba_unreal_woaf.spectra, 5, 46, false, 111.238, 
specs/amba_unreal_woaf.spectra, 5, 47, false, 84.234, 
specs/amba_unreal_woaf.spectra, 5, 48, true, 32.640, 
specs/amba_unreal_woaf.spectra, 5, 49, false, 139.511, 
specs/amba_unreal_woaf.spectra, 5, 50, false, 143.794, 
specs/amba_unreal_woaf.spectra, 5, 51, false, 42.099, 
specs/amba_unreal_woaf.spectra, 5, 52, false, 135.255, 
specs/amba_unreal_woaf.spectra, 5, 53, false, 35.283, 
specs/amba_unreal_woaf.spectra, 5, 54, false, 125.616, 
specs/amba_unreal_woaf.spectra, 5, 55, false, 119.689, 
specs/amba_unreal_woaf.spectra, 5, 56, false, 108.124, 
specs/amba_unreal_woaf.spectra, 5, 61, false, 128.926, 
specs/amba_unreal_woaf.spectra, 5, 62, false, 69.031, 
specs/amba_unreal_woaf.spectra, 5, 67, false, 74.285, 
specs/amba_unreal_woaf.spectra, 5, 68, false, 82.233, 
specs/amba_unreal_woaf.spectra, 5, 69, false, 66.688, 
specs/amba_unreal_woaf.spectra, 5, 70, false, 74.588, 
specs/amba_unreal_woaf.spectra, 5, 71, false, 71.347, 
specs/amba_unreal_woaf.spectra, 5, 72, false, 44.971, 
specs/amba_unreal_woaf.spectra, 5, 73, false, 17.511, 
specs/amba_unreal_woaf.spectra, 6, -1, false, 100.611, 
specs/amba_unreal_woaf.spectra, 6, 0, false, 54.170, 
specs/amba_unreal_woaf.spectra, 6, 1, false, 59.847, 
specs/amba_unreal_woaf.spectra, 6, 2, false, 69.885, 
specs/amba_unreal_woaf.spectra, 6, 3, false, 71.783, 
specs/amba_unreal_woaf.spectra, 6, 4, false, 66.602, 
specs/amba_unreal_woaf.spectra, 6, 5, false, 80.211, 
specs/amba_unreal_woaf.spectra, 6, 6, false, 65.980, 
specs/amba_unreal_woaf.spectra, 6, 7, false, 73.622, 
specs/amba_unreal_woaf.spectra, 6, 8, false, 52.106, 
specs/amba_unreal_woaf.spectra, 6, 9, false, 88.611, 
specs/amba_unreal_woaf.spectra, 6, 10, false, 120.792, 
specs/amba_unreal_woaf.spectra, 6, 11, false, 117.992, 
specs/amba_unreal_woaf.spectra, 6, 12, false, 44.948, 
specs/amba_unreal_woaf.spectra, 6, 13, false, 32.008, 
specs/amba_unreal_woaf.spectra, 6, 14, false, 26.415, 
specs/amba_unreal_woaf.spectra, 6, 15, false, 114.898, 
specs/amba_unreal_woaf.spectra, 6, 16, false, 123.219, 
specs/amba_unreal_woaf.spectra, 6, 17, false, 101.882, 
specs/amba_unreal_woaf.spectra, 6, 18, false, 93.906, 
specs/amba_unreal_woaf.spectra, 6, 19, false, 84.943, 
specs/amba_unreal_woaf.spectra, 6, 20, false, 104.579, 
specs/amba_unreal_woaf.spectra, 6, 21, false, 115.034, 
specs/amba_unreal_woaf.spectra, 6, 22, true, 24.517, 
specs/amba_unreal_woaf.spectra, 6, 23, true, 8.226, 
specs/amba_unreal_woaf.spectra, 6, 24, true, 28.551, 
specs/amba_unreal_woaf.spectra, 6, 25, false, 191.208, 
specs/amba_unreal_woaf.spectra, 6, 26, false, 167.825, 
specs/amba_unreal_woaf.spectra, 6, 27, false, 146.542, 
specs/amba_unreal_woaf.spectra, 6, 28, false, 209.027, 
specs/amba_unreal_woaf.spectra, 6, 29, false, 176.919, 
specs/amba_unreal_woaf.spectra, 6, 30, false, 170.830, 
specs/amba_unreal_woaf.spectra, 6, 31, false, 178.951, 
specs/amba_unreal_woaf.spectra, 6, 32, false, 189.980, 
specs/amba_unreal_woaf.spectra, 6, 33, false, 170.352, 
specs/amba_unreal_woaf.spectra, 6, 34, false, 185.425, 
specs/amba_unreal_woaf.spectra, 6, 35, false, 211.919, 
specs/amba_unreal_woaf.spectra, 6, 36, false, 201.208, 
specs/amba_unreal_woaf.spectra, 6, 37, false, 202.610, 
specs/amba_unreal_woaf.spectra, 6, 38, false, 198.076, 
specs/amba_unreal_woaf.spectra, 6, 39, false, 182.983, 
specs/amba_unreal_woaf.spectra, 6, 40, false, 182.340, 
specs/amba_unreal_woaf.spectra, 6, 41, true, 3.378, 
specs/amba_unreal_woaf.spectra, 6, 42, true, 6.975, 
specs/amba_unreal_woaf.spectra, 6, 43, true, 38.486, 
specs/amba_unreal_woaf.spectra, 6, 44, false, 271.179, 
specs/amba_unreal_woaf.spectra, 6, 45, true, 28.390, 
specs/amba_unreal_woaf.spectra, 6, 46, false, 145.711, 
specs/amba_unreal_woaf.spectra, 6, 47, false, 146.828, 
specs/amba_unreal_woaf.spectra, 6, 48, true, 74.856, 
specs/amba_unreal_woaf.spectra, 6, 49, false, 210.462, 
specs/amba_unreal_woaf.spectra, 6, 50, false, 203.180, 
specs/amba_unreal_woaf.spectra, 6, 51, false, 60.475, 
specs/amba_unreal_woaf.spectra, 6, 52, false, 199.049, 
specs/amba_unreal_woaf.spectra, 6, 53, false, 57.817, 
specs/amba_unreal_woaf.spectra, 6, 54, false, 201.909, 
specs/amba_unreal_woaf.spectra, 6, 55, false, 234.895, 
specs/amba_unreal_woaf.spectra, 6, 56, false, 201.870, 
specs/amba_unreal_woaf.spectra, 6, 62, false, 219.125, 
specs/amba_unreal_woaf.spectra, 6, 63, false, 126.443, 
specs/amba_unreal_woaf.spectra, 6, 69, false, 124.848, 
specs/amba_unreal_woaf.spectra, 6, 70, false, 137.477, 
specs/amba_unreal_woaf.spectra, 6, 71, false, 110.928, 
specs/amba_unreal_woaf.spectra, 6, 72, false, 143.455, 
specs/amba_unreal_woaf.spectra, 6, 73, false, 118.294, 
specs/amba_unreal_woaf.spectra, 6, 74, false, 88.068, 
specs/amba_unreal_woaf.spectra, 6, 75, false, 37.197, 
specs/amba_unreal_woaf.spectra, 7, -1, false, 157.198, 
specs/amba_unreal_woaf.spectra, 7, 0, false, 104.699, 
specs/amba_unreal_woaf.spectra, 7, 1, false, 102.905, 
specs/amba_unreal_woaf.spectra, 7, 2, false, 111.647, 
