Spec,Size,Remove,Is Real.,Total,
specs/dining.spectra, 5, -1, true, 1.166, 
specs/dining.spectra, 5, 0, true, 1.089, 
specs/dining.spectra, 5, 1, true, 0.840, 
specs/dining.spectra, 5, 2, true, 1.384, 
specs/dining.spectra, 5, 3, true, 1.135, 
specs/dining.spectra, 5, 4, true, 0.853, 
specs/dining.spectra, 5, 10, true, 1.126, 
specs/dining.spectra, 5, 11, false, 0.898, 
specs/dining.spectra, 8, -1, true, 4.945, 
specs/dining.spectra, 8, 0, true, 5.014, 
specs/dining.spectra, 8, 1, true, 0.953, 
specs/dining.spectra, 8, 2, true, 9.420, 
specs/dining.spectra, 8, 3, true, 3.978, 
specs/dining.spectra, 8, 4, true, 1.651, 
specs/dining.spectra, 8, 13, true, 5.603, 
specs/dining.spectra, 8, 14, false, 1.250, 
specs/dining.spectra, 11, -1, true, 39.700, 
specs/dining.spectra, 11, 0, true, 29.314, 
specs/dining.spectra, 11, 1, true, 1.237, 
specs/dining.spectra, 11, 2, true, 57.692, 
specs/dining.spectra, 11, 3, true, 13.706, 
specs/dining.spectra, 11, 4, true, 2.953, 
specs/dining.spectra, 11, 16, true, 34.160, 
specs/dining.spectra, 11, 17, false, 1.516, 
specs/dining.spectra, 14, -1, true, 152.209, 
specs/dining.spectra, 14, 0, true, 145.777, 
specs/dining.spectra, 14, 1, true, 1.620, 
specs/dining.spectra, 14, 2, true, 152.017, 
specs/dining.spectra, 14, 3, true, 43.431, 
specs/dining.spectra, 14, 4, true, 26.270, 
specs/dining.spectra, 14, 19, true, 136.051, 
specs/dining.spectra, 14, 20, false, 2.484, 
specs/dining.spectra, 17, -1, class java.util.concurrent.TimeoutException
specs/dining.spectra, 17, 0, true, 303.663, 
specs/dining.spectra, 17, 1, true, 4.091, 
specs/dining.spectra, 17, 2, class java.util.concurrent.TimeoutException
specs/dining.spectra, 17, 3, true, 166.594, 
specs/dining.spectra, 17, 4, true, 38.122, 
specs/dining.spectra, 17, 22, class java.util.concurrent.TimeoutException
specs/dining.spectra, 17, 23, false, 4.002, 
specs/dining.spectra, 20, -1, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 0, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 1, true, 14.533, 
specs/dining.spectra, 20, 2, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 3, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 4, true, 72.684, 
specs/dining.spectra, 20, 25, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 26, false, 14.570, 
