Spec,Size,Remove,Is Real.,Total,
specs/dining.spectra, 5, -1, true, 0.884, 
specs/dining.spectra, 5, 0, true, 0.870, 
specs/dining.spectra, 5, 1, true, 0.847, 
specs/dining.spectra, 5, 2, true, 0.938, 
specs/dining.spectra, 5, 3, true, 0.935, 
specs/dining.spectra, 5, 4, true, 0.894, 
specs/dining.spectra, 5, 10, true, 0.923, 
specs/dining.spectra, 5, 11, false, 0.943, 
specs/dining.spectra, 8, -1, true, 1.696, 
specs/dining.spectra, 8, 0, true, 1.659, 
specs/dining.spectra, 8, 1, true, 0.866, 
specs/dining.spectra, 8, 2, true, 2.268, 
specs/dining.spectra, 8, 3, true, 2.239, 
specs/dining.spectra, 8, 4, true, 1.183, 
specs/dining.spectra, 8, 13, true, 1.670, 
specs/dining.spectra, 8, 14, false, 6.933, 
specs/dining.spectra, 11, -1, true, 9.073, 
specs/dining.spectra, 11, 0, true, 9.717, 
specs/dining.spectra, 11, 1, true, 1.163, 
specs/dining.spectra, 11, 2, true, 26.871, 
specs/dining.spectra, 11, 3, true, 33.366, 
specs/dining.spectra, 11, 4, true, 2.037, 
specs/dining.spectra, 11, 16, true, 7.573, 
specs/dining.spectra, 11, 17, false, 5.101, 
specs/dining.spectra, 14, -1, true, 16.951, 
specs/dining.spectra, 14, 0, true, 30.162, 
specs/dining.spectra, 14, 1, true, 1.713, 
specs/dining.spectra, 14, 2, true, 27.167, 
specs/dining.spectra, 14, 3, true, 74.598, 
specs/dining.spectra, 14, 4, true, 6.468, 
specs/dining.spectra, 14, 19, true, 24.995, 
specs/dining.spectra, 14, 20, false, 76.423, 
specs/dining.spectra, 17, -1, class java.util.concurrent.TimeoutException
specs/dining.spectra, 17, 0, class java.util.concurrent.TimeoutException
specs/dining.spectra, 17, 1, true, 18.603, 
specs/dining.spectra, 17, 2, true, 98.290, 
specs/dining.spectra, 17, 3, class java.util.concurrent.TimeoutException
specs/dining.spectra, 17, 4, true, 175.107, 
specs/dining.spectra, 17, 22, true, 96.547, 
specs/dining.spectra, 17, 23, false, 272.434, 
specs/dining.spectra, 20, -1, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 0, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 1, true, 149.650, 
specs/dining.spectra, 20, 2, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 3, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 4, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 25, class java.util.concurrent.TimeoutException
specs/dining.spectra, 20, 26, class java.util.concurrent.TimeoutException
