Spec,Size,Remove,Is Real.,Total,
specs/dining.spectra, 5, -1, true, 0.920, 
specs/dining.spectra, 5, 0, true, 0.911, 
specs/dining.spectra, 5, 1, true, 0.783, 
specs/dining.spectra, 5, 2, true, 1.040, 
specs/dining.spectra, 5, 3, true, 0.852, 
specs/dining.spectra, 5, 4, true, 0.824, 
specs/dining.spectra, 5, 10, true, 0.900, 
specs/dining.spectra, 5, 11, false, 0.908, 
specs/dining.spectra, 8, -1, true, 2.222, 
specs/dining.spectra, 8, 0, true, 2.149, 
specs/dining.spectra, 8, 1, true, 0.918, 
specs/dining.spectra, 8, 2, true, 2.954, 
specs/dining.spectra, 8, 3, true, 1.892, 
specs/dining.spectra, 8, 4, true, 1.094, 
specs/dining.spectra, 8, 13, true, 2.333, 
specs/dining.spectra, 8, 14, false, 1.585, 
specs/dining.spectra, 11, -1, true, 10.212, 
specs/dining.spectra, 11, 0, true, 9.384, 
specs/dining.spectra, 11, 1, true, 1.063, 
specs/dining.spectra, 11, 2, true, 10.499, 
specs/dining.spectra, 11, 3, true, 4.542, 
specs/dining.spectra, 11, 4, true, 2.086, 
specs/dining.spectra, 11, 16, true, 10.101, 
specs/dining.spectra, 11, 17, false, 2.425, 
specs/dining.spectra, 14, -1, true, 21.803, 
specs/dining.spectra, 14, 0, true, 21.901, 
specs/dining.spectra, 14, 1, true, 1.231, 
specs/dining.spectra, 14, 2, true, 24.532, 
specs/dining.spectra, 14, 3, true, 9.464, 
specs/dining.spectra, 14, 4, true, 4.669, 
specs/dining.spectra, 14, 19, true, 22.231, 
specs/dining.spectra, 14, 20, false, 7.248, 
specs/dining.spectra, 17, -1, true, 67.271, 
specs/dining.spectra, 17, 0, true, 58.338, 
specs/dining.spectra, 17, 1, true, 3.105, 
specs/dining.spectra, 17, 2, true, 119.793, 
specs/dining.spectra, 17, 3, true, 40.617, 
specs/dining.spectra, 17, 4, true, 13.589, 
specs/dining.spectra, 17, 22, true, 61.976, 
specs/dining.spectra, 17, 23, false, 15.273, 
specs/dining.spectra, 20, -1, true, 216.470, 
specs/dining.spectra, 20, 0, true, 188.835, 
specs/dining.spectra, 20, 1, true, 11.712, 
specs/dining.spectra, 20, 2, true, 314.751, 
specs/dining.spectra, 20, 3, Could not start thread
specs/dining.spectra, 20, 4, Could not start thread
specs/dining.spectra, 20, 25, Could not start thread
specs/dining.spectra, 20, 26, Could not start thread
