Spec,Size,Remove,Is Real.,Total,
specs/example_arbiter.spectra, 50, -1, true, 4.861, 
specs/example_arbiter.spectra, 50, 0, true, 1.235, 
specs/example_arbiter.spectra, 50, 1, true, 4.916, 
specs/example_arbiter.spectra, 50, 51, true, 2.553, 
specs/example_arbiter.spectra, 50, 52, true, 0.944, 
specs/example_arbiter.spectra, 50, 53, true, 4.287, 
specs/example_arbiter.spectra, 50, 54, false, 8.723, 
specs/example_arbiter.spectra, 75, -1, true, 13.608, 
specs/example_arbiter.spectra, 75, 0, true, 2.432, 
specs/example_arbiter.spectra, 75, 1, true, 14.572, 
specs/example_arbiter.spectra, 75, 76, true, 10.370, 
specs/example_arbiter.spectra, 75, 77, true, 1.983, 
specs/example_arbiter.spectra, 75, 78, true, 20.829, 
specs/example_arbiter.spectra, 75, 79, false, 73.401, 
specs/example_arbiter.spectra, 100, -1, true, 78.527, 
specs/example_arbiter.spectra, 100, 0, true, 4.556, 
specs/example_arbiter.spectra, 100, 1, true, 79.950, 
specs/example_arbiter.spectra, 100, 101, true, 31.644, 
specs/example_arbiter.spectra, 100, 102, true, 3.560, 
specs/example_arbiter.spectra, 100, 103, true, 60.004, 
specs/example_arbiter.spectra, 100, 104, false, 305.063, 
specs/example_arbiter.spectra, 125, -1, true, 136.154, 
specs/example_arbiter.spectra, 125, 0, true, 6.890, 
specs/example_arbiter.spectra, 125, 1, true, 134.844, 
specs/example_arbiter.spectra, 125, 126, true, 116.522, 
specs/example_arbiter.spectra, 125, 127, true, 5.862, 
specs/example_arbiter.spectra, 125, 128, true, 107.861, 
specs/example_arbiter.spectra, 125, 129, false, 436.322, 
specs/example_arbiter.spectra, 150, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 150, 0, true, 14.207, 
specs/example_arbiter.spectra, 150, 1, true, 241.109, 
specs/example_arbiter.spectra, 150, 151, true, 206.390, 
specs/example_arbiter.spectra, 150, 152, true, 9.581, 
specs/example_arbiter.spectra, 150, 153, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 150, 154, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 0, true, 22.423, 
specs/example_arbiter.spectra, 175, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 176, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 177, true, 15.283, 
specs/example_arbiter.spectra, 175, 178, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 179, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 0, true, 31.801, 
specs/example_arbiter.spectra, 200, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 201, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 202, true, 22.883, 
specs/example_arbiter.spectra, 200, 203, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 204, class java.util.concurrent.TimeoutException
