Spec,Size,Remove,Is Real.,Total,
specs/example_arbiter.spectra, 50, -1, true, 1.439, 
specs/example_arbiter.spectra, 50, 0, true, 0.994, 
specs/example_arbiter.spectra, 50, 1, true, 2.754, 
specs/example_arbiter.spectra, 50, 51, true, 1.315, 
specs/example_arbiter.spectra, 50, 52, true, 0.960, 
specs/example_arbiter.spectra, 50, 53, true, 1.379, 
specs/example_arbiter.spectra, 50, 54, false, 5.023, 
specs/example_arbiter.spectra, 75, -1, true, 13.821, 
specs/example_arbiter.spectra, 75, 0, true, 2.079, 
specs/example_arbiter.spectra, 75, 1, true, 4.365, 
specs/example_arbiter.spectra, 75, 76, true, 13.094, 
specs/example_arbiter.spectra, 75, 77, true, 1.929, 
specs/example_arbiter.spectra, 75, 78, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 75, 79, false, 37.939, 
specs/example_arbiter.spectra, 100, -1, true, 49.883, 
specs/example_arbiter.spectra, 100, 0, true, 3.810, 
specs/example_arbiter.spectra, 100, 1, true, 8.172, 
specs/example_arbiter.spectra, 100, 101, true, 47.630, 
specs/example_arbiter.spectra, 100, 102, true, 3.437, 
specs/example_arbiter.spectra, 100, 103, true, 11.801, 
specs/example_arbiter.spectra, 100, 104, false, 155.326, 
specs/example_arbiter.spectra, 125, -1, true, 153.820, 
specs/example_arbiter.spectra, 125, 0, true, 6.077, 
specs/example_arbiter.spectra, 125, 1, true, 14.045, 
specs/example_arbiter.spectra, 125, 126, true, 148.242, 
specs/example_arbiter.spectra, 125, 127, true, 5.319, 
specs/example_arbiter.spectra, 125, 128, true, 18.710, 
specs/example_arbiter.spectra, 125, 129, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 150, -1, true, 496.851, 
specs/example_arbiter.spectra, 150, 0, true, 11.555, 
specs/example_arbiter.spectra, 150, 1, true, 458.092, 
specs/example_arbiter.spectra, 150, 151, true, 437.988, 
specs/example_arbiter.spectra, 150, 152, true, 10.791, 
specs/example_arbiter.spectra, 150, 153, true, 61.691, 
specs/example_arbiter.spectra, 150, 154, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 0, true, 16.970, 
specs/example_arbiter.spectra, 175, 1, true, 47.587, 
specs/example_arbiter.spectra, 175, 176, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 177, true, 15.384, 
specs/example_arbiter.spectra, 175, 178, true, 62.596, 
specs/example_arbiter.spectra, 175, 179, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 0, true, 26.867, 
specs/example_arbiter.spectra, 200, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 201, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 202, true, 23.704, 
specs/example_arbiter.spectra, 200, 203, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 204, class java.util.concurrent.TimeoutException
