Spec,Size,Remove,Is Real.,Total,
specs/example_arbiter.spectra, 50, -1, true, 3.314, 
specs/example_arbiter.spectra, 50, 0, true, 1.197, 
specs/example_arbiter.spectra, 50, 1, true, 3.492, 
specs/example_arbiter.spectra, 50, 51, true, 2.200, 
specs/example_arbiter.spectra, 50, 52, true, 1.056, 
specs/example_arbiter.spectra, 50, 53, true, 3.821, 
specs/example_arbiter.spectra, 50, 54, false, 7.277, 
specs/example_arbiter.spectra, 75, -1, true, 9.196, 
specs/example_arbiter.spectra, 75, 0, true, 2.505, 
specs/example_arbiter.spectra, 75, 1, true, 9.083, 
specs/example_arbiter.spectra, 75, 76, true, 9.025, 
specs/example_arbiter.spectra, 75, 77, true, 1.996, 
specs/example_arbiter.spectra, 75, 78, true, 33.372, 
specs/example_arbiter.spectra, 75, 79, false, 66.149, 
specs/example_arbiter.spectra, 100, -1, true, 65.688, 
specs/example_arbiter.spectra, 100, 0, true, 4.572, 
specs/example_arbiter.spectra, 100, 1, true, 29.033, 
specs/example_arbiter.spectra, 100, 101, true, 25.326, 
specs/example_arbiter.spectra, 100, 102, true, 3.484, 
specs/example_arbiter.spectra, 100, 103, true, 192.344, 
specs/example_arbiter.spectra, 100, 104, false, 308.575, 
specs/example_arbiter.spectra, 125, -1, true, 105.643, 
specs/example_arbiter.spectra, 125, 0, true, 7.048, 
specs/example_arbiter.spectra, 125, 1, true, 109.910, 
specs/example_arbiter.spectra, 125, 126, true, 102.414, 
specs/example_arbiter.spectra, 125, 127, true, 5.607, 
specs/example_arbiter.spectra, 125, 128, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 125, 129, false, 408.974, 
specs/example_arbiter.spectra, 150, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 150, 0, true, 14.714, 
specs/example_arbiter.spectra, 150, 1, true, 489.365, 
specs/example_arbiter.spectra, 150, 151, true, 518.797, 
specs/example_arbiter.spectra, 150, 152, true, 9.393, 
specs/example_arbiter.spectra, 150, 153, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 150, 154, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 0, true, 21.116, 
specs/example_arbiter.spectra, 175, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 176, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 177, true, 14.401, 
specs/example_arbiter.spectra, 175, 178, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 175, 179, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, -1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 0, true, 29.161, 
specs/example_arbiter.spectra, 200, 1, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 201, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 202, true, 22.077, 
specs/example_arbiter.spectra, 200, 203, class java.util.concurrent.TimeoutException
specs/example_arbiter.spectra, 200, 204, class java.util.concurrent.TimeoutException
