Spec,Size,Remove,Is Real.,Total,
specs/full_arbiter.spectra, 20, -1, true, 9.076, 
specs/full_arbiter.spectra, 20, 0, true, 7.619, 
specs/full_arbiter.spectra, 20, 1, true, 6.515, 
specs/full_arbiter.spectra, 20, 2, true, 8.354, 
specs/full_arbiter.spectra, 20, 3, true, 5.271, 
specs/full_arbiter.spectra, 20, 4, true, 9.116, 
specs/full_arbiter.spectra, 20, 5, true, 7.879, 
specs/full_arbiter.spectra, 20, 6, true, 8.015, 
specs/full_arbiter.spectra, 20, 7, true, 9.675, 
specs/full_arbiter.spectra, 20, 8, true, 22.375, 
specs/full_arbiter.spectra, 20, 9, true, 9.621, 
specs/full_arbiter.spectra, 20, 10, true, 8.306, 
specs/full_arbiter.spectra, 20, 11, true, 8.648, 
specs/full_arbiter.spectra, 20, 12, true, 9.174, 
specs/full_arbiter.spectra, 30, -1, true, 18.748, 
specs/full_arbiter.spectra, 30, 0, true, 19.502, 
specs/full_arbiter.spectra, 30, 1, true, 14.997, 
specs/full_arbiter.spectra, 30, 2, true, 12.595, 
specs/full_arbiter.spectra, 30, 3, true, 13.259, 
specs/full_arbiter.spectra, 30, 4, true, 15.179, 
specs/full_arbiter.spectra, 30, 5, true, 18.118, 
specs/full_arbiter.spectra, 30, 6, true, 18.736, 
specs/full_arbiter.spectra, 30, 7, true, 11.899, 
specs/full_arbiter.spectra, 30, 8, true, 17.762, 
specs/full_arbiter.spectra, 30, 9, true, 13.195, 
specs/full_arbiter.spectra, 30, 10, true, 17.836, 
specs/full_arbiter.spectra, 30, 11, true, 17.738, 
specs/full_arbiter.spectra, 30, 12, true, 15.225, 
specs/full_arbiter.spectra, 40, -1, true, 44.042, 
specs/full_arbiter.spectra, 40, 0, true, 70.742, 
specs/full_arbiter.spectra, 40, 1, true, 48.677, 
specs/full_arbiter.spectra, 40, 2, true, 44.571, 
specs/full_arbiter.spectra, 40, 3, true, 42.014, 
specs/full_arbiter.spectra, 40, 4, true, 45.887, 
specs/full_arbiter.spectra, 40, 5, true, 43.855, 
specs/full_arbiter.spectra, 40, 6, true, 42.929, 
specs/full_arbiter.spectra, 40, 7, true, 52.704, 
specs/full_arbiter.spectra, 40, 8, true, 53.959, 
specs/full_arbiter.spectra, 40, 9, true, 38.429, 
specs/full_arbiter.spectra, 40, 10, true, 42.711, 
specs/full_arbiter.spectra, 40, 11, true, 42.176, 
specs/full_arbiter.spectra, 40, 12, true, 39.959, 
specs/full_arbiter.spectra, 50, -1, true, 127.693, 
specs/full_arbiter.spectra, 50, 0, true, 138.687, 
specs/full_arbiter.spectra, 50, 1, true, 117.853, 
specs/full_arbiter.spectra, 50, 2, true, 95.768, 
specs/full_arbiter.spectra, 50, 3, true, 144.865, 
specs/full_arbiter.spectra, 50, 4, true, 98.149, 
specs/full_arbiter.spectra, 50, 5, true, 105.360, 
specs/full_arbiter.spectra, 50, 6, true, 111.800, 
specs/full_arbiter.spectra, 50, 7, true, 117.207, 
specs/full_arbiter.spectra, 50, 8, true, 164.810, 
specs/full_arbiter.spectra, 50, 9, true, 114.256, 
specs/full_arbiter.spectra, 50, 10, true, 126.745, 
specs/full_arbiter.spectra, 50, 11, true, 127.787, 
specs/full_arbiter.spectra, 50, 12, true, 118.342, 
specs/full_arbiter.spectra, 60, -1, true, 361.613, 
specs/full_arbiter.spectra, 60, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 60, 1, true, 342.238, 
specs/full_arbiter.spectra, 60, 2, true, 238.114, 
specs/full_arbiter.spectra, 60, 3, true, 396.479, 
specs/full_arbiter.spectra, 60, 4, true, 246.671, 
specs/full_arbiter.spectra, 60, 5, true, 287.665, 
specs/full_arbiter.spectra, 60, 6, true, 309.861, 
specs/full_arbiter.spectra, 60, 7, true, 317.103, 
specs/full_arbiter.spectra, 60, 8, true, 400.124, 
specs/full_arbiter.spectra, 60, 9, true, 362.754, 
specs/full_arbiter.spectra, 60, 10, true, 444.377, 
specs/full_arbiter.spectra, 60, 11, true, 358.464, 
specs/full_arbiter.spectra, 60, 12, true, 338.751, 
specs/full_arbiter.spectra, 70, -1, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 2, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 3, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 4, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 5, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 6, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 7, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 8, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 9, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 10, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 11, class java.util.concurrent.TimeoutException
specs/full_arbiter.spectra, 70, 12, class java.util.concurrent.TimeoutException
