Spec,Size,Remove,Is Real.,Total,
specs/full_arbiter.spectra, 20, -1, true, 3.369, 
specs/full_arbiter.spectra, 20, 0, true, 6.078, 
specs/full_arbiter.spectra, 20, 1, true, 5.330, 
specs/full_arbiter.spectra, 20, 2, true, 5.013, 
specs/full_arbiter.spectra, 20, 3, true, 3.086, 
specs/full_arbiter.spectra, 20, 4, true, 3.495, 
specs/full_arbiter.spectra, 20, 5, true, 3.660, 
specs/full_arbiter.spectra, 20, 6, true, 3.299, 
specs/full_arbiter.spectra, 20, 7, true, 3.113, 
specs/full_arbiter.spectra, 20, 8, true, 4.591, 
specs/full_arbiter.spectra, 20, 9, true, 3.078, 
specs/full_arbiter.spectra, 20, 10, true, 3.195, 
specs/full_arbiter.spectra, 20, 11, true, 3.376, 
specs/full_arbiter.spectra, 20, 12, true, 3.766, 
specs/full_arbiter.spectra, 30, -1, true, 10.486, 
specs/full_arbiter.spectra, 30, 0, true, 11.541, 
specs/full_arbiter.spectra, 30, 1, true, 10.181, 
specs/full_arbiter.spectra, 30, 2, true, 9.196, 
specs/full_arbiter.spectra, 30, 3, true, 9.069, 
specs/full_arbiter.spectra, 30, 4, true, 9.242, 
specs/full_arbiter.spectra, 30, 5, true, 9.268, 
specs/full_arbiter.spectra, 30, 6, true, 9.793, 
specs/full_arbiter.spectra, 30, 7, true, 8.283, 
specs/full_arbiter.spectra, 30, 8, true, 8.654, 
specs/full_arbiter.spectra, 30, 9, true, 9.491, 
specs/full_arbiter.spectra, 30, 10, true, 9.288, 
specs/full_arbiter.spectra, 30, 11, true, 10.512, 
specs/full_arbiter.spectra, 30, 12, true, 10.183, 
specs/full_arbiter.spectra, 40, -1, true, 24.118, 
specs/full_arbiter.spectra, 40, 0, true, 33.338, 
specs/full_arbiter.spectra, 40, 1, true, 27.401, 
specs/full_arbiter.spectra, 40, 2, true, 26.063, 
specs/full_arbiter.spectra, 40, 3, true, 23.270, 
specs/full_arbiter.spectra, 40, 4, true, 23.830, 
specs/full_arbiter.spectra, 40, 5, true, 24.027, 
specs/full_arbiter.spectra, 40, 6, true, 22.466, 
specs/full_arbiter.spectra, 40, 7, true, 22.577, 
specs/full_arbiter.spectra, 40, 8, true, 22.673, 
specs/full_arbiter.spectra, 40, 9, true, 23.154, 
specs/full_arbiter.spectra, 40, 10, true, 23.879, 
specs/full_arbiter.spectra, 40, 11, true, 24.352, 
specs/full_arbiter.spectra, 40, 12, true, 26.421, 
specs/full_arbiter.spectra, 50, -1, true, 54.807, 
specs/full_arbiter.spectra, 50, 0, true, 76.901, 
specs/full_arbiter.spectra, 50, 1, true, 51.333, 
specs/full_arbiter.spectra, 50, 2, true, 53.125, 
specs/full_arbiter.spectra, 50, 3, true, 60.903, 
specs/full_arbiter.spectra, 50, 4, true, 52.893, 
specs/full_arbiter.spectra, 50, 5, true, 53.490, 
specs/full_arbiter.spectra, 50, 6, true, 53.061, 
specs/full_arbiter.spectra, 50, 7, true, 51.166, 
specs/full_arbiter.spectra, 50, 8, true, 50.327, 
specs/full_arbiter.spectra, 50, 9, true, 52.341, 
specs/full_arbiter.spectra, 50, 10, true, 52.575, 
specs/full_arbiter.spectra, 50, 11, true, 64.062, 
specs/full_arbiter.spectra, 50, 12, true, 57.702, 
specs/full_arbiter.spectra, 60, -1, true, 135.575, 
specs/full_arbiter.spectra, 60, 0, true, 193.434, 
specs/full_arbiter.spectra, 60, 1, true, 132.156, 
specs/full_arbiter.spectra, 60, 2, true, 153.428, 
specs/full_arbiter.spectra, 60, 3, true, 114.784, 
specs/full_arbiter.spectra, 60, 4, true, 106.146, 
specs/full_arbiter.spectra, 60, 5, true, 110.473, 
specs/full_arbiter.spectra, 60, 6, true, 117.539, 
specs/full_arbiter.spectra, 60, 7, true, 109.527, 
specs/full_arbiter.spectra, 60, 8, true, 97.504, 
specs/full_arbiter.spectra, 60, 9, true, 118.911, 
specs/full_arbiter.spectra, 60, 10, true, 106.747, 
specs/full_arbiter.spectra, 60, 11, true, 127.002, 
specs/full_arbiter.spectra, 60, 12, true, 142.378, 
specs/full_arbiter.spectra, 70, -1, true, 290.131, 
specs/full_arbiter.spectra, 70, 0, true, 354.266, 
specs/full_arbiter.spectra, 70, 1, true, 287.045, 
specs/full_arbiter.spectra, 70, 2, true, 216.535, 
specs/full_arbiter.spectra, 70, 3, true, 249.964, 
specs/full_arbiter.spectra, 70, 4, true, 246.435, 
specs/full_arbiter.spectra, 70, 5, true, 256.535, 
specs/full_arbiter.spectra, 70, 6, true, 266.011, 
specs/full_arbiter.spectra, 70, 7, true, 180.061, 
specs/full_arbiter.spectra, 70, 8, true, 191.265, 
specs/full_arbiter.spectra, 70, 9, true, 203.715, 
specs/full_arbiter.spectra, 70, 10, true, 197.755, 
specs/full_arbiter.spectra, 70, 11, true, 260.646, 
specs/full_arbiter.spectra, 70, 12, true, 262.047, 
