Spec,Size,Remove,Is Real.,Total,
specs/full_arbiter_unreal.spectra, 10, -1, false, 1.052, 
specs/full_arbiter_unreal.spectra, 10, 0, true, 3.332, 
specs/full_arbiter_unreal.spectra, 10, 1, true, 1.689, 
specs/full_arbiter_unreal.spectra, 10, 2, true, 2.977, 
specs/full_arbiter_unreal.spectra, 10, 3, false, 1.070, 
specs/full_arbiter_unreal.spectra, 10, 4, false, 0.955, 
specs/full_arbiter_unreal.spectra, 10, 5, false, 1.070, 
specs/full_arbiter_unreal.spectra, 10, 6, false, 1.070, 
specs/full_arbiter_unreal.spectra, 10, 7, false, 1.024, 
specs/full_arbiter_unreal.spectra, 10, 8, false, 1.038, 
specs/full_arbiter_unreal.spectra, 10, 9, false, 1.025, 
specs/full_arbiter_unreal.spectra, 10, 10, false, 1.064, 
specs/full_arbiter_unreal.spectra, 10, 11, false, 1.000, 
specs/full_arbiter_unreal.spectra, 10, 12, false, 0.976, 
specs/full_arbiter_unreal.spectra, 10, 13, false, 1.031, 
specs/full_arbiter_unreal.spectra, 10, 14, false, 1.073, 
specs/full_arbiter_unreal.spectra, 15, -1, false, 1.882, 
specs/full_arbiter_unreal.spectra, 15, 0, true, 11.067, 
specs/full_arbiter_unreal.spectra, 15, 1, true, 4.167, 
specs/full_arbiter_unreal.spectra, 15, 2, true, 11.132, 
specs/full_arbiter_unreal.spectra, 15, 3, false, 2.029, 
specs/full_arbiter_unreal.spectra, 15, 4, false, 1.740, 
specs/full_arbiter_unreal.spectra, 15, 5, false, 1.820, 
specs/full_arbiter_unreal.spectra, 15, 6, false, 1.945, 
specs/full_arbiter_unreal.spectra, 15, 7, false, 2.028, 
specs/full_arbiter_unreal.spectra, 15, 8, false, 1.999, 
specs/full_arbiter_unreal.spectra, 15, 9, false, 1.780, 
specs/full_arbiter_unreal.spectra, 15, 10, false, 2.031, 
specs/full_arbiter_unreal.spectra, 15, 11, false, 1.814, 
specs/full_arbiter_unreal.spectra, 15, 12, false, 1.927, 
specs/full_arbiter_unreal.spectra, 15, 13, false, 1.889, 
specs/full_arbiter_unreal.spectra, 15, 14, false, 1.967, 
specs/full_arbiter_unreal.spectra, 20, -1, false, 3.586, 
specs/full_arbiter_unreal.spectra, 20, 0, true, 52.742, 
specs/full_arbiter_unreal.spectra, 20, 1, true, 11.710, 
specs/full_arbiter_unreal.spectra, 20, 2, true, 47.581, 
specs/full_arbiter_unreal.spectra, 20, 3, false, 3.335, 
specs/full_arbiter_unreal.spectra, 20, 4, false, 2.723, 
specs/full_arbiter_unreal.spectra, 20, 5, false, 3.113, 
specs/full_arbiter_unreal.spectra, 20, 6, false, 3.485, 
specs/full_arbiter_unreal.spectra, 20, 7, false, 3.267, 
specs/full_arbiter_unreal.spectra, 20, 8, false, 3.306, 
specs/full_arbiter_unreal.spectra, 20, 9, false, 2.802, 
specs/full_arbiter_unreal.spectra, 20, 10, false, 3.424, 
specs/full_arbiter_unreal.spectra, 20, 11, false, 3.311, 
specs/full_arbiter_unreal.spectra, 20, 12, false, 3.307, 
specs/full_arbiter_unreal.spectra, 20, 13, false, 3.315, 
specs/full_arbiter_unreal.spectra, 20, 14, false, 3.322, 
specs/full_arbiter_unreal.spectra, 25, -1, false, 4.221, 
specs/full_arbiter_unreal.spectra, 25, 0, true, 59.768, 
specs/full_arbiter_unreal.spectra, 25, 1, true, 11.496, 
specs/full_arbiter_unreal.spectra, 25, 2, true, 43.549, 
specs/full_arbiter_unreal.spectra, 25, 3, false, 4.805, 
