Spec,Size,Remove,Is Real.,Total,
specs/full_arbiter_unreal.spectra, 10, -1, false, 1.030, 
specs/full_arbiter_unreal.spectra, 10, 0, true, 131.189, 
specs/full_arbiter_unreal.spectra, 10, 1, true, 11.932, 
specs/full_arbiter_unreal.spectra, 10, 2, true, 5.832, 
specs/full_arbiter_unreal.spectra, 10, 3, false, 1.071, 
specs/full_arbiter_unreal.spectra, 10, 4, false, 0.952, 
specs/full_arbiter_unreal.spectra, 10, 5, false, 1.031, 
specs/full_arbiter_unreal.spectra, 10, 6, false, 1.092, 
specs/full_arbiter_unreal.spectra, 10, 7, false, 1.011, 
specs/full_arbiter_unreal.spectra, 10, 8, false, 1.042, 
specs/full_arbiter_unreal.spectra, 10, 9, false, 1.094, 
specs/full_arbiter_unreal.spectra, 10, 10, false, 1.021, 
specs/full_arbiter_unreal.spectra, 10, 11, false, 1.126, 
specs/full_arbiter_unreal.spectra, 10, 12, false, 0.972, 
specs/full_arbiter_unreal.spectra, 10, 13, false, 0.982, 
specs/full_arbiter_unreal.spectra, 10, 14, false, 1.026, 
specs/full_arbiter_unreal.spectra, 15, -1, false, 1.877, 
specs/full_arbiter_unreal.spectra, 15, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 15, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 15, 2, true, 245.260, 
specs/full_arbiter_unreal.spectra, 15, 3, false, 2.129, 
specs/full_arbiter_unreal.spectra, 15, 4, false, 1.740, 
specs/full_arbiter_unreal.spectra, 15, 5, false, 1.806, 
specs/full_arbiter_unreal.spectra, 15, 6, false, 1.993, 
specs/full_arbiter_unreal.spectra, 15, 7, false, 2.006, 
specs/full_arbiter_unreal.spectra, 15, 8, false, 1.922, 
specs/full_arbiter_unreal.spectra, 15, 9, false, 1.700, 
specs/full_arbiter_unreal.spectra, 15, 10, false, 1.884, 
specs/full_arbiter_unreal.spectra, 15, 11, false, 1.715, 
specs/full_arbiter_unreal.spectra, 15, 12, false, 1.910, 
specs/full_arbiter_unreal.spectra, 15, 13, false, 1.898, 
specs/full_arbiter_unreal.spectra, 15, 14, false, 1.985, 
specs/full_arbiter_unreal.spectra, 20, -1, false, 3.604, 
specs/full_arbiter_unreal.spectra, 20, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 20, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 20, 2, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 20, 3, false, 3.360, 
specs/full_arbiter_unreal.spectra, 20, 4, false, 2.968, 
specs/full_arbiter_unreal.spectra, 20, 5, false, 3.639, 
specs/full_arbiter_unreal.spectra, 20, 6, false, 3.781, 
specs/full_arbiter_unreal.spectra, 20, 7, false, 3.214, 
specs/full_arbiter_unreal.spectra, 20, 8, false, 3.150, 
specs/full_arbiter_unreal.spectra, 20, 9, false, 2.902, 
specs/full_arbiter_unreal.spectra, 20, 10, false, 3.447, 
specs/full_arbiter_unreal.spectra, 20, 11, false, 3.388, 
specs/full_arbiter_unreal.spectra, 20, 12, false, 3.207, 
specs/full_arbiter_unreal.spectra, 20, 13, false, 3.232, 
specs/full_arbiter_unreal.spectra, 20, 14, false, 3.532, 
specs/full_arbiter_unreal.spectra, 25, -1, false, 4.104, 
specs/full_arbiter_unreal.spectra, 25, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 25, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 25, 2, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 25, 3, false, 4.736, 
specs/full_arbiter_unreal.spectra, 25, 4, false, 4.351, 
specs/full_arbiter_unreal.spectra, 25, 5, false, 4.257, 
specs/full_arbiter_unreal.spectra, 25, 6, false, 3.988, 
specs/full_arbiter_unreal.spectra, 25, 7, false, 4.034, 
specs/full_arbiter_unreal.spectra, 25, 8, false, 4.007, 
specs/full_arbiter_unreal.spectra, 25, 9, false, 4.361, 
specs/full_arbiter_unreal.spectra, 25, 10, false, 3.977, 
specs/full_arbiter_unreal.spectra, 25, 11, false, 3.956, 
specs/full_arbiter_unreal.spectra, 25, 12, false, 4.087, 
specs/full_arbiter_unreal.spectra, 25, 13, false, 4.109, 
specs/full_arbiter_unreal.spectra, 25, 14, false, 4.023, 
specs/full_arbiter_unreal.spectra, 30, -1, false, 9.237, 
specs/full_arbiter_unreal.spectra, 30, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 30, 1, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 30, 2, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 30, 3, false, 7.555, 
specs/full_arbiter_unreal.spectra, 30, 4, false, 8.114, 
specs/full_arbiter_unreal.spectra, 30, 5, false, 7.169, 
specs/full_arbiter_unreal.spectra, 30, 6, false, 7.089, 
specs/full_arbiter_unreal.spectra, 30, 7, false, 7.892, 
specs/full_arbiter_unreal.spectra, 30, 8, false, 7.068, 
specs/full_arbiter_unreal.spectra, 30, 9, false, 7.343, 
specs/full_arbiter_unreal.spectra, 30, 10, false, 8.116, 
specs/full_arbiter_unreal.spectra, 30, 11, false, 7.109, 
specs/full_arbiter_unreal.spectra, 30, 12, false, 7.173, 
specs/full_arbiter_unreal.spectra, 30, 13, false, 7.056, 
specs/full_arbiter_unreal.spectra, 30, 14, false, 8.973, 
specs/full_arbiter_unreal.spectra, 35, -1, false, 11.347, 
specs/full_arbiter_unreal.spectra, 35, 0, class java.util.concurrent.TimeoutException
specs/full_arbiter_unreal.spectra, 35, 1, class java.util.concurrent.TimeoutException
