Spec,Size,Remove,Is Real.,Total,
specs/full_arbiter_unreal.spectra, 10, -1, false, 1.067, 
specs/full_arbiter_unreal.spectra, 10, 0, true, 2.714, 
specs/full_arbiter_unreal.spectra, 10, 1, true, 1.321, 
specs/full_arbiter_unreal.spectra, 10, 2, true, 1.904, 
specs/full_arbiter_unreal.spectra, 10, 3, false, 1.096, 
specs/full_arbiter_unreal.spectra, 10, 4, false, 1.045, 
specs/full_arbiter_unreal.spectra, 10, 5, false, 1.114, 
specs/full_arbiter_unreal.spectra, 10, 6, false, 1.154, 
specs/full_arbiter_unreal.spectra, 10, 7, false, 1.059, 
specs/full_arbiter_unreal.spectra, 10, 8, false, 1.082, 
specs/full_arbiter_unreal.spectra, 10, 9, false, 1.136, 
specs/full_arbiter_unreal.spectra, 10, 10, false, 1.097, 
specs/full_arbiter_unreal.spectra, 10, 11, false, 1.110, 
specs/full_arbiter_unreal.spectra, 10, 12, false, 1.043, 
specs/full_arbiter_unreal.spectra, 10, 13, false, 1.074, 
specs/full_arbiter_unreal.spectra, 10, 14, false, 1.144, 
specs/full_arbiter_unreal.spectra, 15, -1, false, 2.034, 
specs/full_arbiter_unreal.spectra, 15, 0, true, 8.078, 
specs/full_arbiter_unreal.spectra, 15, 1, true, 3.305, 
specs/full_arbiter_unreal.spectra, 15, 2, true, 4.783, 
specs/full_arbiter_unreal.spectra, 15, 3, false, 2.151, 
specs/full_arbiter_unreal.spectra, 15, 4, false, 1.823, 
specs/full_arbiter_unreal.spectra, 15, 5, false, 1.869, 
specs/full_arbiter_unreal.spectra, 15, 6, false, 2.023, 
specs/full_arbiter_unreal.spectra, 15, 7, false, 2.030, 
specs/full_arbiter_unreal.spectra, 15, 8, false, 2.008, 
specs/full_arbiter_unreal.spectra, 15, 9, false, 1.774, 
specs/full_arbiter_unreal.spectra, 15, 10, false, 2.073, 
specs/full_arbiter_unreal.spectra, 15, 11, false, 1.885, 
specs/full_arbiter_unreal.spectra, 15, 12, false, 1.900, 
specs/full_arbiter_unreal.spectra, 15, 13, false, 1.920, 
specs/full_arbiter_unreal.spectra, 15, 14, false, 1.905, 
specs/full_arbiter_unreal.spectra, 20, -1, false, 3.623, 
specs/full_arbiter_unreal.spectra, 20, 0, true, 14.459, 
specs/full_arbiter_unreal.spectra, 20, 1, true, 4.874, 
specs/full_arbiter_unreal.spectra, 20, 2, true, 10.026, 
specs/full_arbiter_unreal.spectra, 20, 3, false, 3.368, 
specs/full_arbiter_unreal.spectra, 20, 4, false, 3.041, 
specs/full_arbiter_unreal.spectra, 20, 5, false, 3.480, 
specs/full_arbiter_unreal.spectra, 20, 6, false, 3.760, 
specs/full_arbiter_unreal.spectra, 20, 7, false, 3.248, 
specs/full_arbiter_unreal.spectra, 20, 8, false, 3.295, 
specs/full_arbiter_unreal.spectra, 20, 9, false, 2.802, 
specs/full_arbiter_unreal.spectra, 20, 10, false, 3.580, 
specs/full_arbiter_unreal.spectra, 20, 11, false, 3.281, 
specs/full_arbiter_unreal.spectra, 20, 12, false, 3.232, 
specs/full_arbiter_unreal.spectra, 20, 13, false, 3.360, 
specs/full_arbiter_unreal.spectra, 20, 14, false, 3.705, 
specs/full_arbiter_unreal.spectra, 25, -1, false, 4.244, 
specs/full_arbiter_unreal.spectra, 25, 0, true, 26.148, 
specs/full_arbiter_unreal.spectra, 25, 1, true, 6.854, 
specs/full_arbiter_unreal.spectra, 25, 2, true, 17.350, 
specs/full_arbiter_unreal.spectra, 25, 3, false, 4.769, 
specs/full_arbiter_unreal.spectra, 25, 4, false, 4.463, 
specs/full_arbiter_unreal.spectra, 25, 5, false, 4.414, 
specs/full_arbiter_unreal.spectra, 25, 6, false, 4.099, 
specs/full_arbiter_unreal.spectra, 25, 7, false, 4.196, 
specs/full_arbiter_unreal.spectra, 25, 8, false, 4.192, 
specs/full_arbiter_unreal.spectra, 25, 9, false, 4.298, 
specs/full_arbiter_unreal.spectra, 25, 10, false, 4.156, 
specs/full_arbiter_unreal.spectra, 25, 11, false, 4.044, 
specs/full_arbiter_unreal.spectra, 25, 12, false, 4.026, 
specs/full_arbiter_unreal.spectra, 25, 13, false, 4.115, 
specs/full_arbiter_unreal.spectra, 25, 14, false, 4.139, 
specs/full_arbiter_unreal.spectra, 30, -1, false, 9.024, 
specs/full_arbiter_unreal.spectra, 30, 0, true, 73.452, 
specs/full_arbiter_unreal.spectra, 30, 1, true, 13.899, 
specs/full_arbiter_unreal.spectra, 30, 2, true, 41.875, 
