Spec,Size,Remove,Is Real.,Total,
specs/genbuf.spectra, 60, -1, true, 57.764, 
specs/genbuf.spectra, 60, 0, true, 58.347, 
specs/genbuf.spectra, 60, 1, true, 119.697, 
specs/genbuf.spectra, 60, 2, true, 72.085, 
specs/genbuf.spectra, 60, 3, true, 146.767, 
specs/genbuf.spectra, 60, 4, true, 60.800, 
specs/genbuf.spectra, 60, 5, true, 60.778, 
specs/genbuf.spectra, 60, 6, true, 76.679, 
specs/genbuf.spectra, 60, 7, true, 24.867, 
specs/genbuf.spectra, 60, 8, true, 66.266, 
specs/genbuf.spectra, 60, 9, true, 58.662, 
specs/genbuf.spectra, 60, 10, true, 50.966, 
specs/genbuf.spectra, 60, 11, true, 46.678, 
specs/genbuf.spectra, 60, 12, true, 34.045, 
specs/genbuf.spectra, 60, 13, true, 65.384, 
specs/genbuf.spectra, 60, 14, true, 79.300, 
specs/genbuf.spectra, 60, 15, true, 58.473, 
specs/genbuf.spectra, 60, 16, true, 58.442, 
specs/genbuf.spectra, 60, 17, true, 59.254, 
specs/genbuf.spectra, 60, 18, true, 58.825, 
specs/genbuf.spectra, 60, 19, true, 59.913, 
specs/genbuf.spectra, 60, 20, true, 56.923, 
specs/genbuf.spectra, 60, 21, true, 57.527, 
specs/genbuf.spectra, 60, 22, true, 57.381, 
specs/genbuf.spectra, 60, 23, true, 28.442, 
specs/genbuf.spectra, 60, 24, true, 49.404, 
specs/genbuf.spectra, 60, 25, true, 18.506, 
specs/genbuf.spectra, 60, 26, true, 25.911, 
specs/genbuf.spectra, 60, 27, true, 241.449, 
specs/genbuf.spectra, 60, 88, true, 58.072, 
specs/genbuf.spectra, 60, 89, true, 22.307, 
specs/genbuf.spectra, 60, 90, true, 17.999, 
specs/genbuf.spectra, 60, 91, true, 58.917, 
specs/genbuf.spectra, 60, 92, true, 59.751, 
specs/genbuf.spectra, 60, 93, true, 58.797, 
specs/genbuf.spectra, 60, 94, true, 54.853, 
specs/genbuf.spectra, 60, 95, true, 59.510, 
specs/genbuf.spectra, 60, 96, true, 76.177, 
specs/genbuf.spectra, 60, 97, true, 49.943, 
specs/genbuf.spectra, 60, 98, true, 49.035, 
specs/genbuf.spectra, 60, 99, true, 62.311, 
specs/genbuf.spectra, 60, 100, true, 64.792, 
specs/genbuf.spectra, 60, 101, false, 6.489, 
specs/genbuf.spectra, 60, 102, false, 9.664, 
specs/genbuf.spectra, 60, 103, true, 57.666, 
specs/genbuf.spectra, 60, 104, false, 22.856, 
specs/genbuf.spectra, 60, 105, false, 12.571, 
specs/genbuf.spectra, 60, 106, false, 5.120, 
specs/genbuf.spectra, 60, 107, false, 12.059, 
specs/genbuf.spectra, 60, 108, false, 12.528, 
specs/genbuf.spectra, 70, -1, true, 107.415, 
specs/genbuf.spectra, 70, 0, true, 99.094, 
specs/genbuf.spectra, 70, 1, true, 90.706, 
specs/genbuf.spectra, 70, 2, true, 107.577, 
specs/genbuf.spectra, 70, 3, true, 219.396, 
