Spec,Size,Remove,Is Real.,Total,
specs/genbuf.spectra, 60, -1, true, 54.600, 
specs/genbuf.spectra, 60, 0, true, 62.200, 
specs/genbuf.spectra, 60, 1, true, 78.713, 
specs/genbuf.spectra, 60, 2, true, 57.575, 
specs/genbuf.spectra, 60, 3, true, 57.387, 
specs/genbuf.spectra, 60, 4, true, 56.480, 
specs/genbuf.spectra, 60, 5, true, 57.449, 
specs/genbuf.spectra, 60, 6, true, 67.647, 
specs/genbuf.spectra, 60, 7, true, 12.663, 
specs/genbuf.spectra, 60, 8, true, 52.670, 
specs/genbuf.spectra, 60, 9, true, 80.356, 
specs/genbuf.spectra, 60, 10, true, 51.838, 
specs/genbuf.spectra, 60, 11, true, 41.291, 
specs/genbuf.spectra, 60, 12, true, 69.614, 
specs/genbuf.spectra, 60, 13, true, 54.277, 
specs/genbuf.spectra, 60, 14, true, 72.233, 
specs/genbuf.spectra, 60, 15, true, 60.404, 
specs/genbuf.spectra, 60, 16, true, 55.982, 
specs/genbuf.spectra, 60, 17, true, 56.018, 
specs/genbuf.spectra, 60, 18, true, 56.109, 
specs/genbuf.spectra, 60, 19, true, 54.276, 
specs/genbuf.spectra, 60, 20, true, 60.975, 
specs/genbuf.spectra, 60, 21, true, 58.645, 
specs/genbuf.spectra, 60, 22, true, 55.458, 
specs/genbuf.spectra, 60, 23, true, 45.181, 
specs/genbuf.spectra, 60, 24, true, 59.752, 
specs/genbuf.spectra, 60, 25, true, 22.710, 
specs/genbuf.spectra, 60, 26, true, 27.027, 
specs/genbuf.spectra, 60, 27, true, 381.101, 
specs/genbuf.spectra, 60, 88, true, 56.396, 
specs/genbuf.spectra, 60, 89, true, 26.803, 
specs/genbuf.spectra, 60, 90, true, 28.214, 
specs/genbuf.spectra, 60, 91, true, 60.691, 
specs/genbuf.spectra, 60, 92, true, 63.319, 
specs/genbuf.spectra, 60, 93, true, 62.154, 
specs/genbuf.spectra, 60, 94, true, 57.135, 
specs/genbuf.spectra, 60, 95, true, 60.355, 
specs/genbuf.spectra, 60, 96, true, 92.367, 
specs/genbuf.spectra, 60, 97, true, 92.347, 
specs/genbuf.spectra, 60, 98, true, 42.983, 
specs/genbuf.spectra, 60, 99, true, 87.778, 
specs/genbuf.spectra, 60, 100, true, 73.616, 
specs/genbuf.spectra, 60, 101, false, 6.440, 
specs/genbuf.spectra, 60, 102, false, 8.672, 
specs/genbuf.spectra, 60, 103, true, 55.105, 
specs/genbuf.spectra, 60, 104, false, 19.257, 
specs/genbuf.spectra, 60, 105, false, 16.282, 
specs/genbuf.spectra, 60, 106, false, 5.424, 
specs/genbuf.spectra, 60, 107, false, 10.375, 
specs/genbuf.spectra, 60, 108, false, 9.798, 
specs/genbuf.spectra, 70, -1, true, 144.668, 
specs/genbuf.spectra, 70, 0, true, 180.859, 
specs/genbuf.spectra, 70, 1, true, 79.103, 
specs/genbuf.spectra, 70, 2, true, 103.910, 
specs/genbuf.spectra, 70, 3, true, 150.793, 
specs/genbuf.spectra, 70, 4, true, 134.488, 
specs/genbuf.spectra, 70, 5, true, 134.322, 
specs/genbuf.spectra, 70, 6, true, 189.526, 
specs/genbuf.spectra, 70, 7, true, 23.560, 
specs/genbuf.spectra, 70, 8, true, 97.871, 
specs/genbuf.spectra, 70, 9, true, 144.294, 
specs/genbuf.spectra, 70, 10, true, 102.852, 
specs/genbuf.spectra, 70, 11, true, 69.848, 
specs/genbuf.spectra, 70, 12, true, 114.217, 
specs/genbuf.spectra, 70, 13, true, 108.393, 
specs/genbuf.spectra, 70, 14, true, 141.618, 
specs/genbuf.spectra, 70, 15, true, 81.540, 
specs/genbuf.spectra, 70, 16, true, 82.285, 
specs/genbuf.spectra, 70, 17, true, 152.726, 
specs/genbuf.spectra, 70, 18, true, 161.904, 
specs/genbuf.spectra, 70, 19, true, 138.841, 
specs/genbuf.spectra, 70, 20, true, 146.440, 
specs/genbuf.spectra, 70, 21, true, 101.214, 
specs/genbuf.spectra, 70, 22, true, 80.712, 
specs/genbuf.spectra, 70, 23, true, 79.199, 
specs/genbuf.spectra, 70, 24, true, 125.265, 
specs/genbuf.spectra, 70, 25, true, 42.910, 
specs/genbuf.spectra, 70, 26, true, 53.785, 
specs/genbuf.spectra, 70, 27, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 70, 98, true, 147.677, 
specs/genbuf.spectra, 70, 99, true, 84.785, 
specs/genbuf.spectra, 70, 100, true, 48.902, 
specs/genbuf.spectra, 70, 101, true, 129.816, 
specs/genbuf.spectra, 70, 102, true, 128.027, 
specs/genbuf.spectra, 70, 103, true, 131.440, 
specs/genbuf.spectra, 70, 104, true, 129.420, 
specs/genbuf.spectra, 70, 105, true, 75.455, 
specs/genbuf.spectra, 70, 106, true, 73.021, 
specs/genbuf.spectra, 70, 107, true, 119.073, 
specs/genbuf.spectra, 70, 108, true, 88.067, 
specs/genbuf.spectra, 70, 109, true, 115.753, 
specs/genbuf.spectra, 70, 110, true, 94.046, 
specs/genbuf.spectra, 70, 111, false, 9.815, 
specs/genbuf.spectra, 70, 112, false, 14.045, 
specs/genbuf.spectra, 70, 113, true, 103.964, 
specs/genbuf.spectra, 70, 114, false, 28.862, 
specs/genbuf.spectra, 70, 115, false, 48.827, 
specs/genbuf.spectra, 70, 116, false, 7.709, 
specs/genbuf.spectra, 70, 117, false, 16.769, 
specs/genbuf.spectra, 70, 118, false, 16.699, 
specs/genbuf.spectra, 80, -1, true, 137.166, 
specs/genbuf.spectra, 80, 0, true, 157.929, 
specs/genbuf.spectra, 80, 1, true, 213.327, 
specs/genbuf.spectra, 80, 2, true, 144.989, 
specs/genbuf.spectra, 80, 3, true, 211.171, 
specs/genbuf.spectra, 80, 4, true, 156.486, 
specs/genbuf.spectra, 80, 5, true, 215.948, 
specs/genbuf.spectra, 80, 6, true, 142.574, 
specs/genbuf.spectra, 80, 7, true, 30.556, 
specs/genbuf.spectra, 80, 8, true, 145.781, 
specs/genbuf.spectra, 80, 9, true, 201.285, 
specs/genbuf.spectra, 80, 10, true, 137.243, 
specs/genbuf.spectra, 80, 11, true, 136.026, 
specs/genbuf.spectra, 80, 12, true, 108.230, 
specs/genbuf.spectra, 80, 13, true, 153.950, 
specs/genbuf.spectra, 80, 14, true, 368.181, 
specs/genbuf.spectra, 80, 15, true, 136.367, 
specs/genbuf.spectra, 80, 16, true, 146.412, 
specs/genbuf.spectra, 80, 17, true, 144.841, 
specs/genbuf.spectra, 80, 18, true, 138.166, 
specs/genbuf.spectra, 80, 19, true, 163.135, 
specs/genbuf.spectra, 80, 20, true, 193.416, 
specs/genbuf.spectra, 80, 21, true, 151.485, 
specs/genbuf.spectra, 80, 22, true, 143.870, 
specs/genbuf.spectra, 80, 23, true, 117.205, 
specs/genbuf.spectra, 80, 24, true, 177.897, 
specs/genbuf.spectra, 80, 25, true, 62.820, 
specs/genbuf.spectra, 80, 26, true, 152.225, 
specs/genbuf.spectra, 80, 27, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 80, 108, true, 132.014, 
specs/genbuf.spectra, 80, 109, true, 152.856, 
specs/genbuf.spectra, 80, 110, true, 64.914, 
specs/genbuf.spectra, 80, 111, true, 128.228, 
specs/genbuf.spectra, 80, 112, true, 134.031, 
specs/genbuf.spectra, 80, 113, true, 224.147, 
specs/genbuf.spectra, 80, 114, true, 219.258, 
specs/genbuf.spectra, 80, 115, true, 126.480, 
specs/genbuf.spectra, 80, 116, true, 286.957, 
specs/genbuf.spectra, 80, 117, true, 194.859, 
specs/genbuf.spectra, 80, 118, true, 171.682, 
specs/genbuf.spectra, 80, 119, true, 64.242, 
specs/genbuf.spectra, 80, 120, true, 160.633, 
specs/genbuf.spectra, 80, 121, false, 12.990, 
specs/genbuf.spectra, 80, 122, false, 17.258, 
specs/genbuf.spectra, 80, 123, true, 143.720, 
specs/genbuf.spectra, 80, 124, false, 41.211, 
specs/genbuf.spectra, 80, 125, false, 33.395, 
specs/genbuf.spectra, 80, 126, false, 11.778, 
specs/genbuf.spectra, 80, 127, false, 21.450, 
specs/genbuf.spectra, 80, 128, false, 20.921, 
specs/genbuf.spectra, 90, -1, true, 416.520, 
specs/genbuf.spectra, 90, 0, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 90, 1, true, 250.835, 
specs/genbuf.spectra, 90, 2, true, 292.121, 
specs/genbuf.spectra, 90, 3, true, 351.295, 
specs/genbuf.spectra, 90, 4, true, 418.049, 
specs/genbuf.spectra, 90, 5, true, 538.880, 
specs/genbuf.spectra, 90, 6, true, 440.483, 
specs/genbuf.spectra, 90, 7, true, 37.356, 
specs/genbuf.spectra, 90, 8, true, 247.440, 
specs/genbuf.spectra, 90, 9, true, 394.100, 
specs/genbuf.spectra, 90, 10, true, 252.093, 
specs/genbuf.spectra, 90, 11, true, 130.411, 
specs/genbuf.spectra, 90, 12, true, 295.922, 
specs/genbuf.spectra, 90, 13, true, 377.138, 
specs/genbuf.spectra, 90, 14, true, 245.742, 
specs/genbuf.spectra, 90, 15, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 90, 16, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 90, 17, true, 418.905, 
specs/genbuf.spectra, 90, 18, true, 405.493, 
specs/genbuf.spectra, 90, 19, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 90, 20, true, 480.382, 
specs/genbuf.spectra, 90, 21, true, 387.607, 
specs/genbuf.spectra, 90, 22, true, 403.193, 
specs/genbuf.spectra, 90, 23, true, 126.593, 
specs/genbuf.spectra, 90, 24, true, 176.432, 
specs/genbuf.spectra, 90, 25, true, 207.904, 
specs/genbuf.spectra, 90, 26, true, 218.901, 
specs/genbuf.spectra, 90, 27, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 90, 118, true, 270.155, 
specs/genbuf.spectra, 90, 119, true, 132.768, 
specs/genbuf.spectra, 90, 120, true, 54.880, 
specs/genbuf.spectra, 90, 121, true, 388.458, 
specs/genbuf.spectra, 90, 122, true, 384.573, 
specs/genbuf.spectra, 90, 123, true, 469.006, 
specs/genbuf.spectra, 90, 124, true, 352.893, 
specs/genbuf.spectra, 90, 125, true, 422.047, 
specs/genbuf.spectra, 90, 126, true, 146.279, 
specs/genbuf.spectra, 90, 127, true, 276.622, 
specs/genbuf.spectra, 90, 128, true, 206.905, 
specs/genbuf.spectra, 90, 129, class java.util.concurrent.TimeoutException
specs/genbuf.spectra, 90, 130, true, 258.561, 
specs/genbuf.spectra, 90, 131, false, 19.616, 
specs/genbuf.spectra, 90, 132, false, 27.164, 
