Spec,Size,Remove,Is Real.,Total,
specs/genbuf_unreal_wgf.spectra, 60, -1, false, 8.525, 
specs/genbuf_unreal_wgf.spectra, 60, 0, false, 8.005, 
specs/genbuf_unreal_wgf.spectra, 60, 1, false, 7.891, 
specs/genbuf_unreal_wgf.spectra, 60, 2, false, 7.528, 
specs/genbuf_unreal_wgf.spectra, 60, 3, false, 8.023, 
specs/genbuf_unreal_wgf.spectra, 60, 4, false, 7.603, 
specs/genbuf_unreal_wgf.spectra, 60, 5, false, 7.262, 
specs/genbuf_unreal_wgf.spectra, 60, 6, false, 7.929, 
specs/genbuf_unreal_wgf.spectra, 60, 7, false, 6.804, 
specs/genbuf_unreal_wgf.spectra, 60, 8, false, 7.841, 
specs/genbuf_unreal_wgf.spectra, 60, 9, true, 27.547, 
specs/genbuf_unreal_wgf.spectra, 60, 10, false, 7.141, 
specs/genbuf_unreal_wgf.spectra, 60, 11, false, 6.866, 
specs/genbuf_unreal_wgf.spectra, 60, 12, false, 7.780, 
specs/genbuf_unreal_wgf.spectra, 60, 13, false, 7.711, 
specs/genbuf_unreal_wgf.spectra, 60, 14, false, 8.342, 
specs/genbuf_unreal_wgf.spectra, 60, 15, false, 8.311, 
specs/genbuf_unreal_wgf.spectra, 60, 16, false, 8.317, 
specs/genbuf_unreal_wgf.spectra, 60, 17, false, 8.272, 
specs/genbuf_unreal_wgf.spectra, 60, 18, false, 8.155, 
specs/genbuf_unreal_wgf.spectra, 60, 19, false, 8.120, 
specs/genbuf_unreal_wgf.spectra, 60, 20, false, 8.358, 
specs/genbuf_unreal_wgf.spectra, 60, 21, false, 7.997, 
specs/genbuf_unreal_wgf.spectra, 60, 22, false, 7.927, 
specs/genbuf_unreal_wgf.spectra, 60, 23, false, 7.795, 
specs/genbuf_unreal_wgf.spectra, 60, 24, false, 5.305, 
specs/genbuf_unreal_wgf.spectra, 60, 25, true, 14.358, 
specs/genbuf_unreal_wgf.spectra, 60, 26, false, 13.461, 
specs/genbuf_unreal_wgf.spectra, 60, 27, false, 7.633, 
specs/genbuf_unreal_wgf.spectra, 60, 88, false, 8.160, 
specs/genbuf_unreal_wgf.spectra, 60, 89, false, 7.273, 
specs/genbuf_unreal_wgf.spectra, 60, 90, true, 8.426, 
specs/genbuf_unreal_wgf.spectra, 60, 91, false, 7.954, 
specs/genbuf_unreal_wgf.spectra, 60, 92, false, 7.972, 
specs/genbuf_unreal_wgf.spectra, 60, 93, false, 8.135, 
specs/genbuf_unreal_wgf.spectra, 60, 94, false, 8.171, 
specs/genbuf_unreal_wgf.spectra, 60, 95, false, 8.133, 
specs/genbuf_unreal_wgf.spectra, 60, 96, true, 19.618, 
specs/genbuf_unreal_wgf.spectra, 60, 97, false, 9.670, 
specs/genbuf_unreal_wgf.spectra, 60, 98, false, 9.196, 
specs/genbuf_unreal_wgf.spectra, 60, 99, false, 9.174, 
specs/genbuf_unreal_wgf.spectra, 60, 100, false, 9.377, 
specs/genbuf_unreal_wgf.spectra, 60, 101, false, 9.203, 
specs/genbuf_unreal_wgf.spectra, 60, 102, false, 6.126, 
specs/genbuf_unreal_wgf.spectra, 60, 103, false, 8.318, 
specs/genbuf_unreal_wgf.spectra, 60, 104, false, 8.851, 
specs/genbuf_unreal_wgf.spectra, 60, 105, false, 7.455, 
specs/genbuf_unreal_wgf.spectra, 60, 106, false, 9.224, 
specs/genbuf_unreal_wgf.spectra, 60, 107, false, 4.208, 
specs/genbuf_unreal_wgf.spectra, 60, 108, false, 4.220, 
specs/genbuf_unreal_wgf.spectra, 70, -1, false, 13.693, 
