Spec,Size,Remove,Is Real.,Total,
specs/genbuf_unreal_wgf.spectra, 60, -1, false, 8.324, 
specs/genbuf_unreal_wgf.spectra, 60, 0, false, 8.263, 
specs/genbuf_unreal_wgf.spectra, 60, 1, false, 10.692, 
specs/genbuf_unreal_wgf.spectra, 60, 2, false, 8.557, 
specs/genbuf_unreal_wgf.spectra, 60, 3, false, 11.752, 
specs/genbuf_unreal_wgf.spectra, 60, 4, false, 8.114, 
specs/genbuf_unreal_wgf.spectra, 60, 5, false, 8.300, 
specs/genbuf_unreal_wgf.spectra, 60, 6, false, 11.244, 
specs/genbuf_unreal_wgf.spectra, 60, 7, false, 5.796, 
specs/genbuf_unreal_wgf.spectra, 60, 8, false, 10.636, 
specs/genbuf_unreal_wgf.spectra, 60, 9, true, 32.775, 
specs/genbuf_unreal_wgf.spectra, 60, 10, false, 7.851, 
specs/genbuf_unreal_wgf.spectra, 60, 11, false, 6.526, 
specs/genbuf_unreal_wgf.spectra, 60, 12, false, 8.160, 
specs/genbuf_unreal_wgf.spectra, 60, 13, false, 8.035, 
specs/genbuf_unreal_wgf.spectra, 60, 14, false, 8.138, 
specs/genbuf_unreal_wgf.spectra, 60, 15, false, 8.266, 
specs/genbuf_unreal_wgf.spectra, 60, 16, false, 7.791, 
specs/genbuf_unreal_wgf.spectra, 60, 17, false, 7.967, 
specs/genbuf_unreal_wgf.spectra, 60, 18, false, 8.035, 
specs/genbuf_unreal_wgf.spectra, 60, 19, false, 8.084, 
specs/genbuf_unreal_wgf.spectra, 60, 20, false, 8.097, 
specs/genbuf_unreal_wgf.spectra, 60, 21, false, 8.056, 
specs/genbuf_unreal_wgf.spectra, 60, 22, false, 8.204, 
specs/genbuf_unreal_wgf.spectra, 60, 23, false, 8.101, 
specs/genbuf_unreal_wgf.spectra, 60, 24, false, 4.292, 
specs/genbuf_unreal_wgf.spectra, 60, 25, true, 14.127, 
specs/genbuf_unreal_wgf.spectra, 60, 26, false, 16.207, 
specs/genbuf_unreal_wgf.spectra, 60, 27, false, 8.034, 
specs/genbuf_unreal_wgf.spectra, 60, 88, false, 7.869, 
specs/genbuf_unreal_wgf.spectra, 60, 89, false, 8.043, 
specs/genbuf_unreal_wgf.spectra, 60, 90, true, 8.676, 
specs/genbuf_unreal_wgf.spectra, 60, 91, false, 7.946, 
specs/genbuf_unreal_wgf.spectra, 60, 92, false, 7.884, 
specs/genbuf_unreal_wgf.spectra, 60, 93, false, 7.828, 
specs/genbuf_unreal_wgf.spectra, 60, 94, false, 7.818, 
specs/genbuf_unreal_wgf.spectra, 60, 95, false, 7.783, 
specs/genbuf_unreal_wgf.spectra, 60, 96, true, 28.484, 
specs/genbuf_unreal_wgf.spectra, 60, 97, false, 12.366, 
specs/genbuf_unreal_wgf.spectra, 60, 98, false, 8.534, 
specs/genbuf_unreal_wgf.spectra, 60, 99, false, 9.584, 
specs/genbuf_unreal_wgf.spectra, 60, 100, false, 12.590, 
specs/genbuf_unreal_wgf.spectra, 60, 101, false, 13.324, 
specs/genbuf_unreal_wgf.spectra, 60, 102, false, 6.135, 
specs/genbuf_unreal_wgf.spectra, 60, 103, false, 8.508, 
specs/genbuf_unreal_wgf.spectra, 60, 104, false, 12.615, 
specs/genbuf_unreal_wgf.spectra, 60, 105, false, 8.377, 
specs/genbuf_unreal_wgf.spectra, 60, 106, false, 11.811, 
specs/genbuf_unreal_wgf.spectra, 60, 107, false, 4.192, 
specs/genbuf_unreal_wgf.spectra, 60, 108, false, 4.114, 
specs/genbuf_unreal_wgf.spectra, 70, -1, false, 13.812, 
specs/genbuf_unreal_wgf.spectra, 70, 0, false, 17.848, 
specs/genbuf_unreal_wgf.spectra, 70, 1, false, 13.395, 
specs/genbuf_unreal_wgf.spectra, 70, 2, false, 13.883, 
specs/genbuf_unreal_wgf.spectra, 70, 3, false, 18.719, 
specs/genbuf_unreal_wgf.spectra, 70, 4, false, 13.482, 
specs/genbuf_unreal_wgf.spectra, 70, 5, false, 13.404, 
specs/genbuf_unreal_wgf.spectra, 70, 6, false, 13.840, 
specs/genbuf_unreal_wgf.spectra, 70, 7, false, 8.160, 
specs/genbuf_unreal_wgf.spectra, 70, 8, false, 16.502, 
specs/genbuf_unreal_wgf.spectra, 70, 9, true, 39.402, 
specs/genbuf_unreal_wgf.spectra, 70, 10, false, 12.804, 
specs/genbuf_unreal_wgf.spectra, 70, 11, false, 9.966, 
specs/genbuf_unreal_wgf.spectra, 70, 12, false, 13.162, 
specs/genbuf_unreal_wgf.spectra, 70, 13, false, 14.029, 
specs/genbuf_unreal_wgf.spectra, 70, 14, false, 12.403, 
