Spec,Size,Remove,Is Real.,Total,
specs/genbuf_unreal_wgt.spectra, 60, -1, false, 26.052, 
specs/genbuf_unreal_wgt.spectra, 60, 0, false, 59.010, 
specs/genbuf_unreal_wgt.spectra, 60, 1, false, 77.792, 
specs/genbuf_unreal_wgt.spectra, 60, 2, false, 75.219, 
specs/genbuf_unreal_wgt.spectra, 60, 3, false, 73.655, 
specs/genbuf_unreal_wgt.spectra, 60, 4, false, 54.951, 
specs/genbuf_unreal_wgt.spectra, 60, 5, false, 54.626, 
specs/genbuf_unreal_wgt.spectra, 60, 6, false, 75.806, 
specs/genbuf_unreal_wgt.spectra, 60, 7, false, 48.758, 
specs/genbuf_unreal_wgt.spectra, 60, 8, false, 70.907, 
specs/genbuf_unreal_wgt.spectra, 60, 9, true, 47.713, 
specs/genbuf_unreal_wgt.spectra, 60, 10, false, 38.502, 
specs/genbuf_unreal_wgt.spectra, 60, 11, false, 25.108, 
specs/genbuf_unreal_wgt.spectra, 60, 12, false, 49.926, 
specs/genbuf_unreal_wgt.spectra, 60, 13, true, 33.760, 
specs/genbuf_unreal_wgt.spectra, 60, 14, false, 69.044, 
specs/genbuf_unreal_wgt.spectra, 60, 15, false, 67.124, 
specs/genbuf_unreal_wgt.spectra, 60, 16, false, 68.360, 
specs/genbuf_unreal_wgt.spectra, 60, 17, false, 68.201, 
specs/genbuf_unreal_wgt.spectra, 60, 18, false, 69.871, 
specs/genbuf_unreal_wgt.spectra, 60, 19, false, 69.358, 
specs/genbuf_unreal_wgt.spectra, 60, 20, false, 68.515, 
specs/genbuf_unreal_wgt.spectra, 60, 21, false, 64.434, 
specs/genbuf_unreal_wgt.spectra, 60, 22, false, 65.487, 
specs/genbuf_unreal_wgt.spectra, 60, 23, false, 63.979, 
specs/genbuf_unreal_wgt.spectra, 60, 24, false, 46.373, 
specs/genbuf_unreal_wgt.spectra, 60, 25, true, 10.812, 
specs/genbuf_unreal_wgt.spectra, 60, 26, true, 17.631, 
specs/genbuf_unreal_wgt.spectra, 60, 27, false, 20.258, 
specs/genbuf_unreal_wgt.spectra, 60, 88, false, 23.825, 
specs/genbuf_unreal_wgt.spectra, 60, 89, false, 23.886, 
specs/genbuf_unreal_wgt.spectra, 60, 90, true, 10.428, 
specs/genbuf_unreal_wgt.spectra, 60, 91, false, 28.069, 
specs/genbuf_unreal_wgt.spectra, 60, 92, false, 26.993, 
specs/genbuf_unreal_wgt.spectra, 60, 93, false, 46.514, 
specs/genbuf_unreal_wgt.spectra, 60, 94, false, 44.002, 
specs/genbuf_unreal_wgt.spectra, 60, 95, false, 26.954, 
specs/genbuf_unreal_wgt.spectra, 60, 96, true, 20.074, 
specs/genbuf_unreal_wgt.spectra, 60, 97, false, 31.920, 
specs/genbuf_unreal_wgt.spectra, 60, 98, false, 4.327, 
specs/genbuf_unreal_wgt.spectra, 60, 99, false, 31.253, 
specs/genbuf_unreal_wgt.spectra, 60, 100, false, 29.050, 
specs/genbuf_unreal_wgt.spectra, 60, 101, false, 18.155, 
specs/genbuf_unreal_wgt.spectra, 60, 102, false, 5.943, 
specs/genbuf_unreal_wgt.spectra, 60, 103, false, 4.674, 
