Spec,Size,Remove,Is Real.,Total,
specs/genbuf_unreal_woaf.spectra, 60, -1, false, 4.834, 
specs/genbuf_unreal_woaf.spectra, 60, 0, false, 4.400, 
specs/genbuf_unreal_woaf.spectra, 60, 1, false, 4.876, 
specs/genbuf_unreal_woaf.spectra, 60, 2, false, 4.918, 
specs/genbuf_unreal_woaf.spectra, 60, 3, false, 4.925, 
specs/genbuf_unreal_woaf.spectra, 60, 4, false, 5.074, 
specs/genbuf_unreal_woaf.spectra, 60, 5, false, 4.942, 
specs/genbuf_unreal_woaf.spectra, 60, 6, false, 4.745, 
specs/genbuf_unreal_woaf.spectra, 60, 7, false, 4.469, 
specs/genbuf_unreal_woaf.spectra, 60, 8, false, 4.727, 
specs/genbuf_unreal_woaf.spectra, 60, 9, false, 4.886, 
specs/genbuf_unreal_woaf.spectra, 60, 10, false, 5.010, 
specs/genbuf_unreal_woaf.spectra, 60, 11, false, 4.550, 
specs/genbuf_unreal_woaf.spectra, 60, 12, false, 4.836, 
specs/genbuf_unreal_woaf.spectra, 60, 13, false, 4.844, 
specs/genbuf_unreal_woaf.spectra, 60, 14, false, 4.871, 
specs/genbuf_unreal_woaf.spectra, 60, 15, false, 4.795, 
specs/genbuf_unreal_woaf.spectra, 60, 16, false, 4.709, 
specs/genbuf_unreal_woaf.spectra, 60, 17, false, 4.855, 
specs/genbuf_unreal_woaf.spectra, 60, 18, false, 4.880, 
specs/genbuf_unreal_woaf.spectra, 60, 19, false, 4.912, 
specs/genbuf_unreal_woaf.spectra, 60, 20, false, 4.811, 
specs/genbuf_unreal_woaf.spectra, 60, 21, false, 4.935, 
specs/genbuf_unreal_woaf.spectra, 60, 22, false, 4.909, 
specs/genbuf_unreal_woaf.spectra, 60, 23, false, 4.360, 
specs/genbuf_unreal_woaf.spectra, 60, 24, false, 3.425, 
specs/genbuf_unreal_woaf.spectra, 60, 25, false, 5.137, 
specs/genbuf_unreal_woaf.spectra, 60, 26, false, 5.149, 
specs/genbuf_unreal_woaf.spectra, 60, 27, true, 58.439, 
specs/genbuf_unreal_woaf.spectra, 60, 88, false, 5.379, 
specs/genbuf_unreal_woaf.spectra, 60, 89, false, 4.137, 
specs/genbuf_unreal_woaf.spectra, 60, 90, false, 4.359, 
specs/genbuf_unreal_woaf.spectra, 60, 91, false, 4.406, 
specs/genbuf_unreal_woaf.spectra, 60, 92, false, 4.363, 
specs/genbuf_unreal_woaf.spectra, 60, 93, false, 5.158, 
specs/genbuf_unreal_woaf.spectra, 60, 94, false, 5.314, 
specs/genbuf_unreal_woaf.spectra, 60, 95, false, 4.328, 
specs/genbuf_unreal_woaf.spectra, 60, 96, false, 4.636, 
specs/genbuf_unreal_woaf.spectra, 60, 97, false, 4.569, 
specs/genbuf_unreal_woaf.spectra, 60, 98, false, 5.833, 
specs/genbuf_unreal_woaf.spectra, 60, 99, false, 5.598, 
specs/genbuf_unreal_woaf.spectra, 60, 100, false, 4.662, 
specs/genbuf_unreal_woaf.spectra, 60, 101, false, 4.982, 
specs/genbuf_unreal_woaf.spectra, 60, 102, false, 4.797, 
specs/genbuf_unreal_woaf.spectra, 60, 103, false, 4.798, 
specs/genbuf_unreal_woaf.spectra, 60, 104, false, 4.801, 
specs/genbuf_unreal_woaf.spectra, 60, 105, false, 4.813, 
specs/genbuf_unreal_woaf.spectra, 60, 106, false, 4.680, 
specs/genbuf_unreal_woaf.spectra, 70, -1, false, 7.203, 
specs/genbuf_unreal_woaf.spectra, 70, 0, false, 7.829, 
specs/genbuf_unreal_woaf.spectra, 70, 1, false, 10.959, 
specs/genbuf_unreal_woaf.spectra, 70, 2, false, 7.801, 
specs/genbuf_unreal_woaf.spectra, 70, 3, false, 8.595, 
specs/genbuf_unreal_woaf.spectra, 70, 4, false, 7.593, 
specs/genbuf_unreal_woaf.spectra, 70, 5, false, 8.583, 
specs/genbuf_unreal_woaf.spectra, 70, 6, false, 7.736, 
specs/genbuf_unreal_woaf.spectra, 70, 7, false, 7.124, 
specs/genbuf_unreal_woaf.spectra, 70, 8, false, 7.384, 
specs/genbuf_unreal_woaf.spectra, 70, 9, false, 9.614, 
specs/genbuf_unreal_woaf.spectra, 70, 10, false, 7.624, 
specs/genbuf_unreal_woaf.spectra, 70, 11, false, 8.337, 
specs/genbuf_unreal_woaf.spectra, 70, 12, false, 7.155, 
specs/genbuf_unreal_woaf.spectra, 70, 13, false, 7.112, 
specs/genbuf_unreal_woaf.spectra, 70, 14, false, 8.113, 
specs/genbuf_unreal_woaf.spectra, 70, 15, false, 7.595, 
specs/genbuf_unreal_woaf.spectra, 70, 16, false, 8.051, 
specs/genbuf_unreal_woaf.spectra, 70, 17, false, 7.949, 
specs/genbuf_unreal_woaf.spectra, 70, 18, false, 7.274, 
specs/genbuf_unreal_woaf.spectra, 70, 19, false, 7.876, 
specs/genbuf_unreal_woaf.spectra, 70, 20, false, 7.909, 
specs/genbuf_unreal_woaf.spectra, 70, 21, false, 6.868, 
specs/genbuf_unreal_woaf.spectra, 70, 22, false, 7.047, 
specs/genbuf_unreal_woaf.spectra, 70, 23, false, 6.905, 
specs/genbuf_unreal_woaf.spectra, 70, 24, false, 4.870, 
specs/genbuf_unreal_woaf.spectra, 70, 25, false, 8.322, 
specs/genbuf_unreal_woaf.spectra, 70, 26, false, 8.248, 
specs/genbuf_unreal_woaf.spectra, 70, 27, true, 98.253, 
specs/genbuf_unreal_woaf.spectra, 70, 98, false, 8.826, 
specs/genbuf_unreal_woaf.spectra, 70, 99, false, 6.766, 
specs/genbuf_unreal_woaf.spectra, 70, 100, false, 7.193, 
specs/genbuf_unreal_woaf.spectra, 70, 101, false, 7.210, 
specs/genbuf_unreal_woaf.spectra, 70, 102, false, 7.263, 
specs/genbuf_unreal_woaf.spectra, 70, 103, false, 9.295, 
specs/genbuf_unreal_woaf.spectra, 70, 104, false, 9.091, 
specs/genbuf_unreal_woaf.spectra, 70, 105, false, 7.255, 
specs/genbuf_unreal_woaf.spectra, 70, 106, false, 7.314, 
specs/genbuf_unreal_woaf.spectra, 70, 107, false, 8.867, 
specs/genbuf_unreal_woaf.spectra, 70, 108, false, 7.674, 
specs/genbuf_unreal_woaf.spectra, 70, 109, false, 8.116, 
specs/genbuf_unreal_woaf.spectra, 70, 110, false, 7.734, 
specs/genbuf_unreal_woaf.spectra, 70, 111, false, 6.987, 
specs/genbuf_unreal_woaf.spectra, 70, 112, false, 8.510, 
specs/genbuf_unreal_woaf.spectra, 70, 113, false, 8.016, 
specs/genbuf_unreal_woaf.spectra, 70, 114, false, 7.710, 
specs/genbuf_unreal_woaf.spectra, 70, 115, false, 7.753, 
specs/genbuf_unreal_woaf.spectra, 70, 116, false, 9.280, 
specs/genbuf_unreal_woaf.spectra, 80, -1, false, 10.990, 
specs/genbuf_unreal_woaf.spectra, 80, 0, false, 11.667, 
specs/genbuf_unreal_woaf.spectra, 80, 1, false, 10.494, 
specs/genbuf_unreal_woaf.spectra, 80, 2, false, 10.252, 
specs/genbuf_unreal_woaf.spectra, 80, 3, false, 10.225, 
specs/genbuf_unreal_woaf.spectra, 80, 4, false, 10.667, 
specs/genbuf_unreal_woaf.spectra, 80, 5, false, 10.122, 
specs/genbuf_unreal_woaf.spectra, 80, 6, false, 10.538, 
specs/genbuf_unreal_woaf.spectra, 80, 7, false, 10.407, 
specs/genbuf_unreal_woaf.spectra, 80, 8, false, 10.760, 
specs/genbuf_unreal_woaf.spectra, 80, 9, false, 10.815, 
specs/genbuf_unreal_woaf.spectra, 80, 10, false, 9.680, 
specs/genbuf_unreal_woaf.spectra, 80, 11, false, 9.506, 
specs/genbuf_unreal_woaf.spectra, 80, 12, false, 10.198, 
specs/genbuf_unreal_woaf.spectra, 80, 13, false, 9.728, 
specs/genbuf_unreal_woaf.spectra, 80, 14, false, 10.038, 
specs/genbuf_unreal_woaf.spectra, 80, 15, false, 9.860, 
specs/genbuf_unreal_woaf.spectra, 80, 16, false, 10.831, 
specs/genbuf_unreal_woaf.spectra, 80, 17, false, 10.873, 
specs/genbuf_unreal_woaf.spectra, 80, 18, false, 10.958, 
specs/genbuf_unreal_woaf.spectra, 80, 19, false, 10.911, 
specs/genbuf_unreal_woaf.spectra, 80, 20, false, 10.135, 
specs/genbuf_unreal_woaf.spectra, 80, 21, false, 10.258, 
specs/genbuf_unreal_woaf.spectra, 80, 22, false, 9.940, 
specs/genbuf_unreal_woaf.spectra, 80, 23, false, 9.779, 
specs/genbuf_unreal_woaf.spectra, 80, 24, false, 5.742, 
specs/genbuf_unreal_woaf.spectra, 80, 25, false, 11.432, 
specs/genbuf_unreal_woaf.spectra, 80, 26, false, 11.079, 
specs/genbuf_unreal_woaf.spectra, 80, 27, true, 138.013, 
specs/genbuf_unreal_woaf.spectra, 80, 108, false, 11.633, 
specs/genbuf_unreal_woaf.spectra, 80, 109, false, 9.626, 
specs/genbuf_unreal_woaf.spectra, 80, 110, false, 9.611, 
specs/genbuf_unreal_woaf.spectra, 80, 111, false, 10.009, 
specs/genbuf_unreal_woaf.spectra, 80, 112, false, 9.924, 
specs/genbuf_unreal_woaf.spectra, 80, 113, false, 11.365, 
specs/genbuf_unreal_woaf.spectra, 80, 114, false, 11.668, 
specs/genbuf_unreal_woaf.spectra, 80, 115, false, 9.837, 
specs/genbuf_unreal_woaf.spectra, 80, 116, false, 11.421, 
specs/genbuf_unreal_woaf.spectra, 80, 117, false, 11.375, 
specs/genbuf_unreal_woaf.spectra, 80, 118, false, 10.070, 
specs/genbuf_unreal_woaf.spectra, 80, 119, false, 10.704, 
specs/genbuf_unreal_woaf.spectra, 80, 120, false, 10.565, 
specs/genbuf_unreal_woaf.spectra, 80, 121, false, 13.251, 
specs/genbuf_unreal_woaf.spectra, 80, 122, false, 10.450, 
specs/genbuf_unreal_woaf.spectra, 80, 123, false, 11.341, 
specs/genbuf_unreal_woaf.spectra, 80, 124, false, 11.131, 
specs/genbuf_unreal_woaf.spectra, 80, 125, false, 11.803, 
specs/genbuf_unreal_woaf.spectra, 80, 126, false, 9.963, 
specs/genbuf_unreal_woaf.spectra, 90, -1, false, 15.088, 
specs/genbuf_unreal_woaf.spectra, 90, 0, false, 14.553, 
specs/genbuf_unreal_woaf.spectra, 90, 1, false, 15.253, 
specs/genbuf_unreal_woaf.spectra, 90, 2, false, 18.281, 
specs/genbuf_unreal_woaf.spectra, 90, 3, false, 17.968, 
specs/genbuf_unreal_woaf.spectra, 90, 4, false, 16.494, 
specs/genbuf_unreal_woaf.spectra, 90, 5, false, 15.228, 
specs/genbuf_unreal_woaf.spectra, 90, 6, false, 15.265, 
specs/genbuf_unreal_woaf.spectra, 90, 7, false, 14.427, 
specs/genbuf_unreal_woaf.spectra, 90, 8, false, 14.126, 
specs/genbuf_unreal_woaf.spectra, 90, 9, false, 14.783, 
specs/genbuf_unreal_woaf.spectra, 90, 10, false, 14.225, 
specs/genbuf_unreal_woaf.spectra, 90, 11, false, 14.455, 
specs/genbuf_unreal_woaf.spectra, 90, 12, false, 15.079, 
specs/genbuf_unreal_woaf.spectra, 90, 13, false, 15.230, 
specs/genbuf_unreal_woaf.spectra, 90, 14, false, 15.203, 
specs/genbuf_unreal_woaf.spectra, 90, 15, false, 15.901, 
specs/genbuf_unreal_woaf.spectra, 90, 16, false, 16.069, 
specs/genbuf_unreal_woaf.spectra, 90, 17, false, 14.993, 
specs/genbuf_unreal_woaf.spectra, 90, 18, false, 15.272, 
specs/genbuf_unreal_woaf.spectra, 90, 19, false, 16.642, 
specs/genbuf_unreal_woaf.spectra, 90, 20, false, 14.869, 
specs/genbuf_unreal_woaf.spectra, 90, 21, false, 14.997, 
specs/genbuf_unreal_woaf.spectra, 90, 22, false, 14.617, 
specs/genbuf_unreal_woaf.spectra, 90, 23, false, 14.476, 
specs/genbuf_unreal_woaf.spectra, 90, 24, false, 9.153, 
specs/genbuf_unreal_woaf.spectra, 90, 25, false, 16.716, 
specs/genbuf_unreal_woaf.spectra, 90, 26, false, 17.019, 
specs/genbuf_unreal_woaf.spectra, 90, 27, true, 341.625, 
specs/genbuf_unreal_woaf.spectra, 90, 118, false, 17.617, 
specs/genbuf_unreal_woaf.spectra, 90, 119, false, 14.338, 
specs/genbuf_unreal_woaf.spectra, 90, 120, false, 14.946, 
