Spec,Size,Remove,Is Real.,Total,
specs/genbuf_unreal_woaf.spectra, 60, -1, false, 4.794, 
specs/genbuf_unreal_woaf.spectra, 60, 0, false, 5.017, 
specs/genbuf_unreal_woaf.spectra, 60, 1, false, 4.844, 
specs/genbuf_unreal_woaf.spectra, 60, 2, false, 4.843, 
specs/genbuf_unreal_woaf.spectra, 60, 3, false, 5.099, 
specs/genbuf_unreal_woaf.spectra, 60, 4, false, 5.069, 
specs/genbuf_unreal_woaf.spectra, 60, 5, false, 5.048, 
specs/genbuf_unreal_woaf.spectra, 60, 6, false, 5.201, 
specs/genbuf_unreal_woaf.spectra, 60, 7, false, 4.770, 
specs/genbuf_unreal_woaf.spectra, 60, 8, false, 4.851, 
specs/genbuf_unreal_woaf.spectra, 60, 9, false, 4.979, 
specs/genbuf_unreal_woaf.spectra, 60, 10, false, 4.786, 
specs/genbuf_unreal_woaf.spectra, 60, 11, false, 4.839, 
specs/genbuf_unreal_woaf.spectra, 60, 12, false, 5.220, 
specs/genbuf_unreal_woaf.spectra, 60, 13, false, 5.129, 
specs/genbuf_unreal_woaf.spectra, 60, 14, false, 5.012, 
specs/genbuf_unreal_woaf.spectra, 60, 15, false, 4.963, 
specs/genbuf_unreal_woaf.spectra, 60, 16, false, 5.011, 
specs/genbuf_unreal_woaf.spectra, 60, 17, false, 5.171, 
specs/genbuf_unreal_woaf.spectra, 60, 18, false, 4.929, 
specs/genbuf_unreal_woaf.spectra, 60, 19, false, 5.293, 
specs/genbuf_unreal_woaf.spectra, 60, 20, false, 5.208, 
specs/genbuf_unreal_woaf.spectra, 60, 21, false, 5.111, 
specs/genbuf_unreal_woaf.spectra, 60, 22, false, 4.890, 
specs/genbuf_unreal_woaf.spectra, 60, 23, false, 4.846, 
specs/genbuf_unreal_woaf.spectra, 60, 24, false, 3.276, 
specs/genbuf_unreal_woaf.spectra, 60, 25, false, 5.217, 
specs/genbuf_unreal_woaf.spectra, 60, 26, false, 5.370, 
specs/genbuf_unreal_woaf.spectra, 60, 27, true, 368.025, 
