Spec,Size,Remove,Is Real.,Total,
specs/genbuf_unreal_woaf.spectra, 60, -1, false, 4.849, 
specs/genbuf_unreal_woaf.spectra, 60, 0, false, 4.881, 
specs/genbuf_unreal_woaf.spectra, 60, 1, false, 4.702, 
specs/genbuf_unreal_woaf.spectra, 60, 2, false, 4.692, 
specs/genbuf_unreal_woaf.spectra, 60, 3, false, 4.952, 
specs/genbuf_unreal_woaf.spectra, 60, 4, false, 4.948, 
specs/genbuf_unreal_woaf.spectra, 60, 5, false, 4.578, 
specs/genbuf_unreal_woaf.spectra, 60, 6, false, 4.823, 
specs/genbuf_unreal_woaf.spectra, 60, 7, false, 4.365, 
specs/genbuf_unreal_woaf.spectra, 60, 8, false, 4.411, 
specs/genbuf_unreal_woaf.spectra, 60, 9, false, 4.558, 
specs/genbuf_unreal_woaf.spectra, 60, 10, false, 4.707, 
specs/genbuf_unreal_woaf.spectra, 60, 11, false, 4.450, 
specs/genbuf_unreal_woaf.spectra, 60, 12, false, 4.772, 
specs/genbuf_unreal_woaf.spectra, 60, 13, false, 4.690, 
specs/genbuf_unreal_woaf.spectra, 60, 14, false, 4.717, 
specs/genbuf_unreal_woaf.spectra, 60, 15, false, 4.717, 
specs/genbuf_unreal_woaf.spectra, 60, 16, false, 4.674, 
specs/genbuf_unreal_woaf.spectra, 60, 17, false, 4.677, 
specs/genbuf_unreal_woaf.spectra, 60, 18, false, 4.843, 
specs/genbuf_unreal_woaf.spectra, 60, 19, false, 4.677, 
specs/genbuf_unreal_woaf.spectra, 60, 20, false, 4.839, 
specs/genbuf_unreal_woaf.spectra, 60, 21, false, 4.672, 
specs/genbuf_unreal_woaf.spectra, 60, 22, false, 4.660, 
specs/genbuf_unreal_woaf.spectra, 60, 23, false, 4.759, 
specs/genbuf_unreal_woaf.spectra, 60, 24, false, 3.188, 
specs/genbuf_unreal_woaf.spectra, 60, 25, false, 4.736, 
specs/genbuf_unreal_woaf.spectra, 60, 26, false, 4.962, 
specs/genbuf_unreal_woaf.spectra, 60, 27, true, 382.804, 
specs/genbuf_unreal_woaf.spectra, 60, 88, false, 4.755, 
specs/genbuf_unreal_woaf.spectra, 60, 89, false, 4.170, 
specs/genbuf_unreal_woaf.spectra, 60, 90, false, 4.676, 
specs/genbuf_unreal_woaf.spectra, 60, 91, false, 4.848, 
specs/genbuf_unreal_woaf.spectra, 60, 92, false, 4.634, 
specs/genbuf_unreal_woaf.spectra, 60, 93, false, 4.840, 
specs/genbuf_unreal_woaf.spectra, 60, 94, false, 4.868, 
specs/genbuf_unreal_woaf.spectra, 60, 95, false, 4.560, 
specs/genbuf_unreal_woaf.spectra, 60, 96, false, 5.006, 
specs/genbuf_unreal_woaf.spectra, 60, 97, false, 4.891, 
specs/genbuf_unreal_woaf.spectra, 60, 98, false, 5.118, 
specs/genbuf_unreal_woaf.spectra, 60, 99, false, 4.915, 
specs/genbuf_unreal_woaf.spectra, 60, 100, false, 4.646, 
specs/genbuf_unreal_woaf.spectra, 60, 101, false, 4.860, 
specs/genbuf_unreal_woaf.spectra, 60, 102, false, 4.738, 
specs/genbuf_unreal_woaf.spectra, 60, 103, false, 4.886, 
specs/genbuf_unreal_woaf.spectra, 60, 104, false, 4.755, 
specs/genbuf_unreal_woaf.spectra, 60, 105, false, 4.836, 
specs/genbuf_unreal_woaf.spectra, 60, 106, false, 4.759, 
specs/genbuf_unreal_woaf.spectra, 70, -1, false, 7.680, 
specs/genbuf_unreal_woaf.spectra, 70, 0, false, 7.324, 
specs/genbuf_unreal_woaf.spectra, 70, 1, false, 7.709, 
specs/genbuf_unreal_woaf.spectra, 70, 2, false, 7.280, 
specs/genbuf_unreal_woaf.spectra, 70, 3, false, 7.324, 
specs/genbuf_unreal_woaf.spectra, 70, 4, false, 7.671, 
specs/genbuf_unreal_woaf.spectra, 70, 5, false, 7.282, 
specs/genbuf_unreal_woaf.spectra, 70, 6, false, 7.428, 
specs/genbuf_unreal_woaf.spectra, 70, 7, false, 6.957, 
specs/genbuf_unreal_woaf.spectra, 70, 8, false, 6.972, 
specs/genbuf_unreal_woaf.spectra, 70, 9, false, 7.394, 
specs/genbuf_unreal_woaf.spectra, 70, 10, false, 7.284, 
specs/genbuf_unreal_woaf.spectra, 70, 11, false, 7.315, 
specs/genbuf_unreal_woaf.spectra, 70, 12, false, 7.449, 
specs/genbuf_unreal_woaf.spectra, 70, 13, false, 7.409, 
specs/genbuf_unreal_woaf.spectra, 70, 14, false, 7.413, 
specs/genbuf_unreal_woaf.spectra, 70, 15, false, 7.250, 
specs/genbuf_unreal_woaf.spectra, 70, 16, false, 7.540, 
specs/genbuf_unreal_woaf.spectra, 70, 17, false, 7.584, 
specs/genbuf_unreal_woaf.spectra, 70, 18, false, 7.220, 
specs/genbuf_unreal_woaf.spectra, 70, 19, false, 7.306, 
specs/genbuf_unreal_woaf.spectra, 70, 20, false, 7.467, 
specs/genbuf_unreal_woaf.spectra, 70, 21, false, 7.584, 
specs/genbuf_unreal_woaf.spectra, 70, 22, false, 7.314, 
specs/genbuf_unreal_woaf.spectra, 70, 23, false, 6.777, 
specs/genbuf_unreal_woaf.spectra, 70, 24, false, 4.698, 
specs/genbuf_unreal_woaf.spectra, 70, 25, false, 7.826, 
specs/genbuf_unreal_woaf.spectra, 70, 26, false, 7.607, 
specs/genbuf_unreal_woaf.spectra, 70, 27, class java.util.concurrent.TimeoutException
specs/genbuf_unreal_woaf.spectra, 70, 98, false, 7.577, 
specs/genbuf_unreal_woaf.spectra, 70, 99, false, 6.783, 
specs/genbuf_unreal_woaf.spectra, 70, 100, false, 7.598, 
specs/genbuf_unreal_woaf.spectra, 70, 101, false, 7.624, 
specs/genbuf_unreal_woaf.spectra, 70, 102, false, 7.538, 
specs/genbuf_unreal_woaf.spectra, 70, 103, false, 7.712, 
specs/genbuf_unreal_woaf.spectra, 70, 104, false, 7.834, 
specs/genbuf_unreal_woaf.spectra, 70, 105, false, 7.454, 
specs/genbuf_unreal_woaf.spectra, 70, 106, false, 7.262, 
specs/genbuf_unreal_woaf.spectra, 70, 107, false, 7.403, 
specs/genbuf_unreal_woaf.spectra, 70, 108, false, 7.262, 
specs/genbuf_unreal_woaf.spectra, 70, 109, false, 7.246, 
specs/genbuf_unreal_woaf.spectra, 70, 110, false, 7.521, 
specs/genbuf_unreal_woaf.spectra, 70, 111, false, 7.299, 
specs/genbuf_unreal_woaf.spectra, 70, 112, false, 7.508, 
specs/genbuf_unreal_woaf.spectra, 70, 113, false, 7.821, 
specs/genbuf_unreal_woaf.spectra, 70, 114, false, 7.654, 
specs/genbuf_unreal_woaf.spectra, 70, 115, false, 7.453, 
specs/genbuf_unreal_woaf.spectra, 70, 116, false, 7.310, 
specs/genbuf_unreal_woaf.spectra, 80, -1, false, 10.612, 
specs/genbuf_unreal_woaf.spectra, 80, 0, false, 10.681, 
specs/genbuf_unreal_woaf.spectra, 80, 1, false, 10.581, 
specs/genbuf_unreal_woaf.spectra, 80, 2, false, 10.493, 
specs/genbuf_unreal_woaf.spectra, 80, 3, false, 10.618, 
specs/genbuf_unreal_woaf.spectra, 80, 4, false, 10.525, 
specs/genbuf_unreal_woaf.spectra, 80, 5, false, 10.405, 
specs/genbuf_unreal_woaf.spectra, 80, 6, false, 10.556, 
specs/genbuf_unreal_woaf.spectra, 80, 7, false, 10.174, 
specs/genbuf_unreal_woaf.spectra, 80, 8, false, 10.221, 
specs/genbuf_unreal_woaf.spectra, 80, 9, false, 10.357, 
specs/genbuf_unreal_woaf.spectra, 80, 10, false, 10.316, 
specs/genbuf_unreal_woaf.spectra, 80, 11, false, 9.801, 
specs/genbuf_unreal_woaf.spectra, 80, 12, false, 10.710, 
specs/genbuf_unreal_woaf.spectra, 80, 13, false, 10.580, 
specs/genbuf_unreal_woaf.spectra, 80, 14, false, 10.881, 
specs/genbuf_unreal_woaf.spectra, 80, 15, false, 10.453, 
specs/genbuf_unreal_woaf.spectra, 80, 16, false, 10.541, 
specs/genbuf_unreal_woaf.spectra, 80, 17, false, 10.874, 
specs/genbuf_unreal_woaf.spectra, 80, 18, false, 10.590, 
specs/genbuf_unreal_woaf.spectra, 80, 19, false, 10.624, 
specs/genbuf_unreal_woaf.spectra, 80, 20, false, 10.746, 
specs/genbuf_unreal_woaf.spectra, 80, 21, false, 10.894, 
specs/genbuf_unreal_woaf.spectra, 80, 22, false, 10.588, 
specs/genbuf_unreal_woaf.spectra, 80, 23, false, 9.923, 
specs/genbuf_unreal_woaf.spectra, 80, 24, false, 5.793, 
specs/genbuf_unreal_woaf.spectra, 80, 25, false, 11.585, 
specs/genbuf_unreal_woaf.spectra, 80, 26, false, 11.331, 
specs/genbuf_unreal_woaf.spectra, 80, 27, class java.util.concurrent.TimeoutException
specs/genbuf_unreal_woaf.spectra, 80, 108, false, 11.297, 
specs/genbuf_unreal_woaf.spectra, 80, 109, false, 9.664, 
specs/genbuf_unreal_woaf.spectra, 80, 110, false, 10.718, 
specs/genbuf_unreal_woaf.spectra, 80, 111, false, 10.310, 
specs/genbuf_unreal_woaf.spectra, 80, 112, false, 10.363, 
specs/genbuf_unreal_woaf.spectra, 80, 113, false, 10.916, 
specs/genbuf_unreal_woaf.spectra, 80, 114, false, 10.898, 
specs/genbuf_unreal_woaf.spectra, 80, 115, false, 10.750, 
specs/genbuf_unreal_woaf.spectra, 80, 116, false, 10.747, 
specs/genbuf_unreal_woaf.spectra, 80, 117, false, 10.744, 
specs/genbuf_unreal_woaf.spectra, 80, 118, false, 10.801, 
specs/genbuf_unreal_woaf.spectra, 80, 119, false, 10.787, 
specs/genbuf_unreal_woaf.spectra, 80, 120, false, 10.011, 
specs/genbuf_unreal_woaf.spectra, 80, 121, false, 10.331, 
specs/genbuf_unreal_woaf.spectra, 80, 122, false, 10.700, 
specs/genbuf_unreal_woaf.spectra, 80, 123, false, 10.816, 
specs/genbuf_unreal_woaf.spectra, 80, 124, false, 10.416, 
specs/genbuf_unreal_woaf.spectra, 80, 125, false, 10.755, 
specs/genbuf_unreal_woaf.spectra, 80, 126, false, 11.488, 
specs/genbuf_unreal_woaf.spectra, 90, -1, false, 15.989, 
specs/genbuf_unreal_woaf.spectra, 90, 0, false, 15.876, 
specs/genbuf_unreal_woaf.spectra, 90, 1, false, 15.815, 
specs/genbuf_unreal_woaf.spectra, 90, 2, false, 15.202, 
specs/genbuf_unreal_woaf.spectra, 90, 3, false, 15.492, 
specs/genbuf_unreal_woaf.spectra, 90, 4, false, 15.484, 
specs/genbuf_unreal_woaf.spectra, 90, 5, false, 15.061, 
specs/genbuf_unreal_woaf.spectra, 90, 6, false, 15.086, 
specs/genbuf_unreal_woaf.spectra, 90, 7, false, 14.208, 
specs/genbuf_unreal_woaf.spectra, 90, 8, false, 14.305, 
specs/genbuf_unreal_woaf.spectra, 90, 9, false, 15.131, 
specs/genbuf_unreal_woaf.spectra, 90, 10, false, 15.719, 
specs/genbuf_unreal_woaf.spectra, 90, 11, false, 13.891, 
specs/genbuf_unreal_woaf.spectra, 90, 12, false, 15.661, 
specs/genbuf_unreal_woaf.spectra, 90, 13, false, 15.259, 
specs/genbuf_unreal_woaf.spectra, 90, 14, false, 15.851, 
specs/genbuf_unreal_woaf.spectra, 90, 15, false, 15.892, 
specs/genbuf_unreal_woaf.spectra, 90, 16, false, 16.167, 
specs/genbuf_unreal_woaf.spectra, 90, 17, false, 15.589, 
specs/genbuf_unreal_woaf.spectra, 90, 18, false, 15.564, 
specs/genbuf_unreal_woaf.spectra, 90, 19, false, 15.667, 
specs/genbuf_unreal_woaf.spectra, 90, 20, false, 15.516, 
specs/genbuf_unreal_woaf.spectra, 90, 21, false, 15.854, 
specs/genbuf_unreal_woaf.spectra, 90, 22, false, 15.543, 
specs/genbuf_unreal_woaf.spectra, 90, 23, false, 14.827, 
specs/genbuf_unreal_woaf.spectra, 90, 24, false, 8.842, 
specs/genbuf_unreal_woaf.spectra, 90, 25, false, 15.763, 
specs/genbuf_unreal_woaf.spectra, 90, 26, false, 16.069, 
specs/genbuf_unreal_woaf.spectra, 90, 27, class java.util.concurrent.TimeoutException
specs/genbuf_unreal_woaf.spectra, 90, 118, false, 16.343, 
specs/genbuf_unreal_woaf.spectra, 90, 119, false, 15.056, 
specs/genbuf_unreal_woaf.spectra, 90, 120, false, 15.774, 
specs/genbuf_unreal_woaf.spectra, 90, 121, false, 15.801, 
specs/genbuf_unreal_woaf.spectra, 90, 122, false, 16.041, 
specs/genbuf_unreal_woaf.spectra, 90, 123, false, 16.314, 
specs/genbuf_unreal_woaf.spectra, 90, 124, false, 15.729, 
specs/genbuf_unreal_woaf.spectra, 90, 125, false, 15.810, 
specs/genbuf_unreal_woaf.spectra, 90, 126, false, 13.637, 
specs/genbuf_unreal_woaf.spectra, 90, 127, false, 15.734, 
specs/genbuf_unreal_woaf.spectra, 90, 128, false, 14.560, 
specs/genbuf_unreal_woaf.spectra, 90, 129, false, 14.438, 
specs/genbuf_unreal_woaf.spectra, 90, 130, false, 14.857, 
specs/genbuf_unreal_woaf.spectra, 90, 131, false, 15.103, 
specs/genbuf_unreal_woaf.spectra, 90, 132, false, 14.823, 
specs/genbuf_unreal_woaf.spectra, 90, 133, false, 15.674, 
specs/genbuf_unreal_woaf.spectra, 90, 134, false, 15.199, 
specs/genbuf_unreal_woaf.spectra, 90, 135, false, 16.638, 
