Spec,Size,Remove,Is Real.,Total,
specs/generalized_arbiter.spectra, 40, -1, true, 18.235, 
specs/generalized_arbiter.spectra, 40, 0, true, 7.884, 
specs/generalized_arbiter.spectra, 40, 81, true, 21.567, 
specs/generalized_arbiter.spectra, 40, 82, true, 3.562, 
specs/generalized_arbiter.spectra, 40, 83, true, 15.754, 
specs/generalized_arbiter.spectra, 40, 164, false, 20.892, 
specs/generalized_arbiter.spectra, 50, -1, true, 34.183, 
specs/generalized_arbiter.spectra, 50, 0, true, 26.472, 
specs/generalized_arbiter.spectra, 50, 101, true, 81.939, 
specs/generalized_arbiter.spectra, 50, 102, true, 6.245, 
specs/generalized_arbiter.spectra, 50, 103, true, 48.448, 
specs/generalized_arbiter.spectra, 50, 204, false, 36.920, 
specs/generalized_arbiter.spectra, 60, -1, true, 118.958, 
specs/generalized_arbiter.spectra, 60, 0, true, 50.581, 
specs/generalized_arbiter.spectra, 60, 121, true, 134.024, 
specs/generalized_arbiter.spectra, 60, 122, true, 9.152, 
specs/generalized_arbiter.spectra, 60, 123, true, 117.164, 
specs/generalized_arbiter.spectra, 60, 244, false, 131.864, 
specs/generalized_arbiter.spectra, 70, -1, true, 217.827, 
specs/generalized_arbiter.spectra, 70, 0, true, 81.152, 
specs/generalized_arbiter.spectra, 70, 141, true, 235.157, 
specs/generalized_arbiter.spectra, 70, 142, true, 16.216, 
specs/generalized_arbiter.spectra, 70, 143, true, 175.813, 
specs/generalized_arbiter.spectra, 70, 284, false, 193.566, 
specs/generalized_arbiter.spectra, 80, -1, true, 292.400, 
specs/generalized_arbiter.spectra, 80, 0, true, 358.227, 
specs/generalized_arbiter.spectra, 80, 161, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 80, 162, true, 20.964, 
specs/generalized_arbiter.spectra, 80, 163, true, 355.573, 
specs/generalized_arbiter.spectra, 80, 324, false, 437.798, 
specs/generalized_arbiter.spectra, 90, -1, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 0, true, 486.398, 
specs/generalized_arbiter.spectra, 90, 181, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 182, true, 35.329, 
specs/generalized_arbiter.spectra, 90, 183, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 364, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, -1, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 0, true, 502.905, 
specs/generalized_arbiter.spectra, 100, 201, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 202, true, 43.766, 
specs/generalized_arbiter.spectra, 100, 203, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 404, class java.util.concurrent.TimeoutException
