Spec,Size,Remove,Is Real.,Total,
specs/generalized_arbiter.spectra, 40, -1, true, 9.818, 
specs/generalized_arbiter.spectra, 40, 0, true, 16.854, 
specs/generalized_arbiter.spectra, 40, 81, true, 17.313, 
specs/generalized_arbiter.spectra, 40, 82, true, 2.541, 
specs/generalized_arbiter.spectra, 40, 83, true, 9.085, 
specs/generalized_arbiter.spectra, 40, 164, false, 22.285, 
specs/generalized_arbiter.spectra, 50, -1, true, 26.809, 
specs/generalized_arbiter.spectra, 50, 0, true, 52.622, 
specs/generalized_arbiter.spectra, 50, 101, true, 50.012, 
specs/generalized_arbiter.spectra, 50, 102, true, 3.849, 
specs/generalized_arbiter.spectra, 50, 103, true, 23.876, 
specs/generalized_arbiter.spectra, 50, 204, false, 65.782, 
specs/generalized_arbiter.spectra, 60, -1, true, 66.721, 
specs/generalized_arbiter.spectra, 60, 0, true, 130.484, 
specs/generalized_arbiter.spectra, 60, 121, true, 120.551, 
specs/generalized_arbiter.spectra, 60, 122, true, 5.545, 
specs/generalized_arbiter.spectra, 60, 123, true, 61.628, 
specs/generalized_arbiter.spectra, 60, 244, false, 159.957, 
specs/generalized_arbiter.spectra, 70, -1, true, 146.950, 
specs/generalized_arbiter.spectra, 70, 0, true, 292.336, 
specs/generalized_arbiter.spectra, 70, 141, true, 291.989, 
specs/generalized_arbiter.spectra, 70, 142, true, 9.296, 
specs/generalized_arbiter.spectra, 70, 143, true, 122.235, 
specs/generalized_arbiter.spectra, 70, 284, false, 357.587, 
specs/generalized_arbiter.spectra, 80, -1, true, 265.248, 
specs/generalized_arbiter.spectra, 80, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 80, 161, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 80, 162, true, 11.848, 
specs/generalized_arbiter.spectra, 80, 163, true, 245.562, 
specs/generalized_arbiter.spectra, 80, 324, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, -1, true, 488.860, 
specs/generalized_arbiter.spectra, 90, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 181, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 182, true, 16.474, 
specs/generalized_arbiter.spectra, 90, 183, true, 438.276, 
specs/generalized_arbiter.spectra, 90, 364, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, -1, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 201, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 202, true, 21.721, 
specs/generalized_arbiter.spectra, 100, 203, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 404, class java.util.concurrent.TimeoutException
