Spec,Size,Remove,Is Real.,Total,
specs/generalized_arbiter.spectra, 40, -1, true, 11.449, 
specs/generalized_arbiter.spectra, 40, 0, true, 16.488, 
specs/generalized_arbiter.spectra, 40, 81, true, 13.656, 
specs/generalized_arbiter.spectra, 40, 82, true, 3.259, 
specs/generalized_arbiter.spectra, 40, 83, true, 7.909, 
specs/generalized_arbiter.spectra, 40, 164, false, 19.329, 
specs/generalized_arbiter.spectra, 50, -1, true, 19.560, 
specs/generalized_arbiter.spectra, 50, 0, true, 23.435, 
specs/generalized_arbiter.spectra, 50, 101, true, 55.803, 
specs/generalized_arbiter.spectra, 50, 102, true, 4.911, 
specs/generalized_arbiter.spectra, 50, 103, true, 32.665, 
specs/generalized_arbiter.spectra, 50, 204, false, 96.364, 
specs/generalized_arbiter.spectra, 60, -1, true, 83.162, 
specs/generalized_arbiter.spectra, 60, 0, true, 136.248, 
specs/generalized_arbiter.spectra, 60, 121, true, 82.264, 
specs/generalized_arbiter.spectra, 60, 122, true, 7.369, 
specs/generalized_arbiter.spectra, 60, 123, true, 99.993, 
specs/generalized_arbiter.spectra, 60, 244, false, 118.012, 
specs/generalized_arbiter.spectra, 70, -1, true, 163.083, 
specs/generalized_arbiter.spectra, 70, 0, true, 213.099, 
specs/generalized_arbiter.spectra, 70, 141, true, 162.490, 
specs/generalized_arbiter.spectra, 70, 142, true, 12.479, 
specs/generalized_arbiter.spectra, 70, 143, true, 113.081, 
specs/generalized_arbiter.spectra, 70, 284, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 80, -1, true, 200.438, 
specs/generalized_arbiter.spectra, 80, 0, true, 333.937, 
specs/generalized_arbiter.spectra, 80, 161, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 80, 162, true, 17.309, 
specs/generalized_arbiter.spectra, 80, 163, true, 196.619, 
specs/generalized_arbiter.spectra, 80, 324, false, 407.734, 
specs/generalized_arbiter.spectra, 90, -1, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 181, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 182, true, 29.144, 
specs/generalized_arbiter.spectra, 90, 183, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 90, 364, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, -1, true, 557.369, 
specs/generalized_arbiter.spectra, 100, 0, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 201, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 202, true, 33.916, 
specs/generalized_arbiter.spectra, 100, 203, class java.util.concurrent.TimeoutException
specs/generalized_arbiter.spectra, 100, 404, class java.util.concurrent.TimeoutException
