Spec,Size,Remove,Is Real.,Total,
specs/load_balancer.spectra, 50, -1, true, 1.396, 
specs/load_balancer.spectra, 50, 0, true, 1.222, 
specs/load_balancer.spectra, 50, 1, true, 1.810, 
specs/load_balancer.spectra, 50, 2, true, 1.600, 
specs/load_balancer.spectra, 50, 3, true, 0.949, 
specs/load_balancer.spectra, 50, 4, true, 1.422, 
specs/load_balancer.spectra, 50, 54, true, 1.434, 
specs/load_balancer.spectra, 50, 55, true, 1.362, 
specs/load_balancer.spectra, 50, 56, true, 1.337, 
specs/load_balancer.spectra, 50, 57, false, 1.695, 
specs/load_balancer.spectra, 75, -1, true, 4.790, 
specs/load_balancer.spectra, 75, 0, true, 2.161, 
specs/load_balancer.spectra, 75, 1, true, 4.636, 
specs/load_balancer.spectra, 75, 2, true, 3.918, 
specs/load_balancer.spectra, 75, 3, true, 1.775, 
specs/load_balancer.spectra, 75, 4, true, 5.090, 
specs/load_balancer.spectra, 75, 79, true, 4.084, 
specs/load_balancer.spectra, 75, 80, true, 4.678, 
specs/load_balancer.spectra, 75, 81, true, 3.038, 
specs/load_balancer.spectra, 75, 82, false, 4.791, 
specs/load_balancer.spectra, 100, -1, true, 8.472, 
specs/load_balancer.spectra, 100, 0, true, 4.121, 
specs/load_balancer.spectra, 100, 1, true, 7.855, 
specs/load_balancer.spectra, 100, 2, true, 11.051, 
specs/load_balancer.spectra, 100, 3, true, 3.191, 
specs/load_balancer.spectra, 100, 4, true, 10.813, 
specs/load_balancer.spectra, 100, 104, true, 8.109, 
specs/load_balancer.spectra, 100, 105, true, 7.761, 
specs/load_balancer.spectra, 100, 106, true, 7.947, 
specs/load_balancer.spectra, 100, 107, false, 10.062, 
specs/load_balancer.spectra, 125, -1, true, 16.560, 
specs/load_balancer.spectra, 125, 0, true, 6.478, 
specs/load_balancer.spectra, 125, 1, true, 20.273, 
specs/load_balancer.spectra, 125, 2, true, 20.853, 
specs/load_balancer.spectra, 125, 3, true, 5.782, 
specs/load_balancer.spectra, 125, 4, true, 19.285, 
specs/load_balancer.spectra, 125, 129, true, 13.861, 
specs/load_balancer.spectra, 125, 130, true, 16.607, 
specs/load_balancer.spectra, 125, 131, true, 16.924, 
specs/load_balancer.spectra, 125, 132, false, 16.366, 
specs/load_balancer.spectra, 150, -1, true, 41.990, 
specs/load_balancer.spectra, 150, 0, true, 11.641, 
specs/load_balancer.spectra, 150, 1, true, 41.093, 
specs/load_balancer.spectra, 150, 2, true, 42.570, 
specs/load_balancer.spectra, 150, 3, true, 10.073, 
specs/load_balancer.spectra, 150, 4, true, 47.816, 
specs/load_balancer.spectra, 150, 154, true, 36.256, 
specs/load_balancer.spectra, 150, 155, true, 41.455, 
specs/load_balancer.spectra, 150, 156, true, 36.386, 
specs/load_balancer.spectra, 150, 157, false, 37.938, 
specs/load_balancer.spectra, 175, -1, true, 67.307, 
specs/load_balancer.spectra, 175, 0, true, 22.107, 
specs/load_balancer.spectra, 175, 1, true, 63.458, 
specs/load_balancer.spectra, 175, 2, true, 61.128, 
specs/load_balancer.spectra, 175, 3, true, 19.857, 
specs/load_balancer.spectra, 175, 4, true, 73.121, 
specs/load_balancer.spectra, 175, 179, true, 61.338, 
specs/load_balancer.spectra, 175, 180, true, 67.690, 
specs/load_balancer.spectra, 175, 181, true, 63.482, 
specs/load_balancer.spectra, 175, 182, false, 68.851, 
specs/load_balancer.spectra, 200, -1, true, 78.704, 
specs/load_balancer.spectra, 200, 0, true, 36.879, 
specs/load_balancer.spectra, 200, 1, true, 77.682, 
specs/load_balancer.spectra, 200, 2, true, 93.612, 
specs/load_balancer.spectra, 200, 3, true, 38.733, 
specs/load_balancer.spectra, 200, 4, true, 110.738, 
specs/load_balancer.spectra, 200, 204, true, 133.186, 
specs/load_balancer.spectra, 200, 205, true, 82.827, 
specs/load_balancer.spectra, 200, 206, true, 83.601, 
specs/load_balancer.spectra, 200, 207, false, 151.337, 
