Spec,Size,Remove,Is Real.,Total,
specs/load_balancer.spectra, 50, -1, true, 1.703, 
specs/load_balancer.spectra, 50, 0, true, 1.416, 
specs/load_balancer.spectra, 50, 1, true, 2.092, 
specs/load_balancer.spectra, 50, 2, true, 1.771, 
specs/load_balancer.spectra, 50, 3, true, 1.102, 
specs/load_balancer.spectra, 50, 4, true, 2.385, 
specs/load_balancer.spectra, 50, 54, true, 1.621, 
specs/load_balancer.spectra, 50, 55, true, 1.502, 
specs/load_balancer.spectra, 50, 56, true, 1.440, 
specs/load_balancer.spectra, 50, 57, false, 1.958, 
specs/load_balancer.spectra, 75, -1, true, 4.928, 
specs/load_balancer.spectra, 75, 0, true, 2.338, 
specs/load_balancer.spectra, 75, 1, true, 4.984, 
specs/load_balancer.spectra, 75, 2, true, 4.054, 
specs/load_balancer.spectra, 75, 3, true, 2.075, 
specs/load_balancer.spectra, 75, 4, true, 5.400, 
specs/load_balancer.spectra, 75, 79, true, 4.525, 
specs/load_balancer.spectra, 75, 80, true, 5.184, 
specs/load_balancer.spectra, 75, 81, true, 3.235, 
specs/load_balancer.spectra, 75, 82, false, 5.134, 
specs/load_balancer.spectra, 100, -1, true, 9.450, 
specs/load_balancer.spectra, 100, 0, true, 4.810, 
specs/load_balancer.spectra, 100, 1, true, 8.757, 
specs/load_balancer.spectra, 100, 2, true, 12.226, 
specs/load_balancer.spectra, 100, 3, true, 3.363, 
specs/load_balancer.spectra, 100, 4, true, 11.578, 
specs/load_balancer.spectra, 100, 104, true, 8.500, 
specs/load_balancer.spectra, 100, 105, true, 8.045, 
specs/load_balancer.spectra, 100, 106, true, 8.294, 
specs/load_balancer.spectra, 100, 107, false, 10.862, 
specs/load_balancer.spectra, 125, -1, true, 16.971, 
specs/load_balancer.spectra, 125, 0, true, 6.567, 
specs/load_balancer.spectra, 125, 1, true, 19.407, 
specs/load_balancer.spectra, 125, 2, true, 20.664, 
specs/load_balancer.spectra, 125, 3, true, 5.732, 
specs/load_balancer.spectra, 125, 4, true, 20.204, 
specs/load_balancer.spectra, 125, 129, true, 14.499, 
specs/load_balancer.spectra, 125, 130, true, 17.329, 
specs/load_balancer.spectra, 125, 131, true, 17.640, 
specs/load_balancer.spectra, 125, 132, false, 18.808, 
specs/load_balancer.spectra, 150, -1, true, 43.638, 
specs/load_balancer.spectra, 150, 0, true, 11.908, 
specs/load_balancer.spectra, 150, 1, true, 32.073, 
specs/load_balancer.spectra, 150, 2, true, 45.517, 
specs/load_balancer.spectra, 150, 3, true, 9.843, 
specs/load_balancer.spectra, 150, 4, true, 48.969, 
specs/load_balancer.spectra, 150, 154, true, 37.745, 
specs/load_balancer.spectra, 150, 155, true, 42.605, 
specs/load_balancer.spectra, 150, 156, true, 37.704, 
specs/load_balancer.spectra, 150, 157, false, 38.732, 
specs/load_balancer.spectra, 175, -1, true, 71.165, 
specs/load_balancer.spectra, 175, 0, true, 22.500, 
specs/load_balancer.spectra, 175, 1, true, 66.171, 
specs/load_balancer.spectra, 175, 2, true, 63.076, 
specs/load_balancer.spectra, 175, 3, true, 19.775, 
specs/load_balancer.spectra, 175, 4, true, 83.254, 
specs/load_balancer.spectra, 175, 179, true, 63.629, 
specs/load_balancer.spectra, 175, 180, true, 78.642, 
specs/load_balancer.spectra, 175, 181, true, 68.300, 
specs/load_balancer.spectra, 175, 182, false, 75.805, 
specs/load_balancer.spectra, 200, -1, true, 77.217, 
specs/load_balancer.spectra, 200, 0, true, 36.634, 
specs/load_balancer.spectra, 200, 1, true, 80.578, 
specs/load_balancer.spectra, 200, 2, true, 96.573, 
specs/load_balancer.spectra, 200, 3, true, 39.136, 
specs/load_balancer.spectra, 200, 4, true, 114.629, 
specs/load_balancer.spectra, 200, 204, true, 135.134, 
specs/load_balancer.spectra, 200, 205, true, 75.706, 
specs/load_balancer.spectra, 200, 206, true, 83.294, 
specs/load_balancer.spectra, 200, 207, false, 154.866, 
