Spec,Size,Remove,Is Real.,Total,
specs/load_balancer.spectra, 50, -1, true, 1.504, 
specs/load_balancer.spectra, 50, 0, true, 1.293, 
specs/load_balancer.spectra, 50, 1, true, 1.998, 
specs/load_balancer.spectra, 50, 2, true, 1.676, 
specs/load_balancer.spectra, 50, 3, true, 1.096, 
specs/load_balancer.spectra, 50, 4, true, 2.535, 
specs/load_balancer.spectra, 50, 54, true, 1.631, 
specs/load_balancer.spectra, 50, 55, true, 1.662, 
specs/load_balancer.spectra, 50, 56, true, 1.492, 
specs/load_balancer.spectra, 50, 57, false, 1.954, 
specs/load_balancer.spectra, 75, -1, true, 5.061, 
specs/load_balancer.spectra, 75, 0, true, 2.335, 
specs/load_balancer.spectra, 75, 1, true, 5.003, 
specs/load_balancer.spectra, 75, 2, true, 4.115, 
specs/load_balancer.spectra, 75, 3, true, 1.954, 
specs/load_balancer.spectra, 75, 4, true, 5.492, 
specs/load_balancer.spectra, 75, 79, true, 4.671, 
specs/load_balancer.spectra, 75, 80, true, 5.025, 
specs/load_balancer.spectra, 75, 81, true, 3.383, 
specs/load_balancer.spectra, 75, 82, false, 5.169, 
specs/load_balancer.spectra, 100, -1, true, 9.218, 
specs/load_balancer.spectra, 100, 0, true, 4.327, 
specs/load_balancer.spectra, 100, 1, true, 8.627, 
specs/load_balancer.spectra, 100, 2, true, 12.445, 
specs/load_balancer.spectra, 100, 3, true, 3.356, 
specs/load_balancer.spectra, 100, 4, true, 11.209, 
specs/load_balancer.spectra, 100, 104, true, 8.668, 
specs/load_balancer.spectra, 100, 105, true, 8.197, 
specs/load_balancer.spectra, 100, 106, true, 8.482, 
specs/load_balancer.spectra, 100, 107, false, 10.474, 
specs/load_balancer.spectra, 125, -1, true, 17.213, 
specs/load_balancer.spectra, 125, 0, true, 6.600, 
specs/load_balancer.spectra, 125, 1, true, 18.950, 
specs/load_balancer.spectra, 125, 2, true, 20.986, 
specs/load_balancer.spectra, 125, 3, true, 5.508, 
specs/load_balancer.spectra, 125, 4, true, 19.577, 
specs/load_balancer.spectra, 125, 129, true, 14.106, 
specs/load_balancer.spectra, 125, 130, true, 17.293, 
specs/load_balancer.spectra, 125, 131, true, 17.637, 
specs/load_balancer.spectra, 125, 132, false, 18.987, 
specs/load_balancer.spectra, 150, -1, true, 44.177, 
specs/load_balancer.spectra, 150, 0, true, 11.939, 
specs/load_balancer.spectra, 150, 1, true, 31.134, 
specs/load_balancer.spectra, 150, 2, true, 45.624, 
specs/load_balancer.spectra, 150, 3, true, 9.812, 
specs/load_balancer.spectra, 150, 4, true, 49.154, 
specs/load_balancer.spectra, 150, 154, true, 38.485, 
specs/load_balancer.spectra, 150, 155, true, 43.511, 
specs/load_balancer.spectra, 150, 156, true, 37.684, 
specs/load_balancer.spectra, 150, 157, false, 39.862, 
specs/load_balancer.spectra, 175, -1, true, 75.498, 
specs/load_balancer.spectra, 175, 0, true, 23.433, 
specs/load_balancer.spectra, 175, 1, true, 69.220, 
specs/load_balancer.spectra, 175, 2, true, 64.922, 
specs/load_balancer.spectra, 175, 3, true, 20.390, 
specs/load_balancer.spectra, 175, 4, true, 82.836, 
specs/load_balancer.spectra, 175, 179, true, 64.331, 
specs/load_balancer.spectra, 175, 180, true, 73.932, 
specs/load_balancer.spectra, 175, 181, true, 67.107, 
specs/load_balancer.spectra, 175, 182, false, 75.676, 
specs/load_balancer.spectra, 200, -1, true, 79.423, 
specs/load_balancer.spectra, 200, 0, true, 37.724, 
specs/load_balancer.spectra, 200, 1, true, 82.234, 
specs/load_balancer.spectra, 200, 2, true, 98.412, 
specs/load_balancer.spectra, 200, 3, true, 39.260, 
specs/load_balancer.spectra, 200, 4, true, 118.423, 
specs/load_balancer.spectra, 200, 204, true, 141.171, 
specs/load_balancer.spectra, 200, 205, true, 78.770, 
specs/load_balancer.spectra, 200, 206, true, 86.955, 
specs/load_balancer.spectra, 200, 207, false, 161.738, 
