Spec,Size,Remove,Is Real.,Total,
specs/load_balancer_unreal.spectra, 40, -1, false, 3.841, 
specs/load_balancer_unreal.spectra, 40, 0, false, 3.357, 
specs/load_balancer_unreal.spectra, 40, 1, false, 3.646, 
specs/load_balancer_unreal.spectra, 40, 2, false, 4.155, 
specs/load_balancer_unreal.spectra, 40, 3, false, 2.649, 
specs/load_balancer_unreal.spectra, 40, 4, false, 3.747, 
specs/load_balancer_unreal.spectra, 40, 44, false, 3.603, 
specs/load_balancer_unreal.spectra, 40, 45, true, 2.713, 
specs/load_balancer_unreal.spectra, 40, 46, true, 2.340, 
specs/load_balancer_unreal.spectra, 40, 47, false, 3.808, 
specs/load_balancer_unreal.spectra, 40, 48, false, 4.248, 
specs/load_balancer_unreal.spectra, 40, 49, false, 3.492, 
specs/load_balancer_unreal.spectra, 50, -1, false, 7.427, 
specs/load_balancer_unreal.spectra, 50, 0, false, 6.091, 
specs/load_balancer_unreal.spectra, 50, 1, false, 6.421, 
specs/load_balancer_unreal.spectra, 50, 2, false, 7.204, 
specs/load_balancer_unreal.spectra, 50, 3, false, 4.550, 
specs/load_balancer_unreal.spectra, 50, 4, false, 7.496, 
specs/load_balancer_unreal.spectra, 50, 54, false, 6.542, 
specs/load_balancer_unreal.spectra, 50, 55, true, 4.592, 
specs/load_balancer_unreal.spectra, 50, 56, true, 3.866, 
specs/load_balancer_unreal.spectra, 50, 57, false, 7.330, 
specs/load_balancer_unreal.spectra, 50, 58, false, 7.934, 
specs/load_balancer_unreal.spectra, 50, 59, false, 6.686, 
specs/load_balancer_unreal.spectra, 60, -1, false, 14.549, 
specs/load_balancer_unreal.spectra, 60, 0, false, 10.433, 
specs/load_balancer_unreal.spectra, 60, 1, false, 12.468, 
specs/load_balancer_unreal.spectra, 60, 2, false, 13.582, 
specs/load_balancer_unreal.spectra, 60, 3, false, 7.182, 
specs/load_balancer_unreal.spectra, 60, 4, false, 14.469, 
specs/load_balancer_unreal.spectra, 60, 64, false, 12.333, 
specs/load_balancer_unreal.spectra, 60, 65, true, 7.191, 
specs/load_balancer_unreal.spectra, 60, 66, true, 7.571, 
specs/load_balancer_unreal.spectra, 60, 67, false, 14.278, 
specs/load_balancer_unreal.spectra, 60, 68, false, 13.217, 
specs/load_balancer_unreal.spectra, 60, 69, false, 12.172, 
specs/load_balancer_unreal.spectra, 70, -1, false, 23.472, 
specs/load_balancer_unreal.spectra, 70, 0, false, 17.911, 
specs/load_balancer_unreal.spectra, 70, 1, false, 19.565, 
specs/load_balancer_unreal.spectra, 70, 2, false, 22.142, 
specs/load_balancer_unreal.spectra, 70, 3, false, 13.495, 
specs/load_balancer_unreal.spectra, 70, 4, false, 23.748, 
specs/load_balancer_unreal.spectra, 70, 74, false, 20.574, 
specs/load_balancer_unreal.spectra, 70, 75, true, 11.479, 
specs/load_balancer_unreal.spectra, 70, 76, true, 13.557, 
specs/load_balancer_unreal.spectra, 70, 77, false, 23.925, 
specs/load_balancer_unreal.spectra, 70, 78, false, 23.256, 
specs/load_balancer_unreal.spectra, 70, 79, false, 20.694, 
specs/load_balancer_unreal.spectra, 80, -1, false, 33.781, 
specs/load_balancer_unreal.spectra, 80, 0, false, 28.018, 
specs/load_balancer_unreal.spectra, 80, 1, false, 30.443, 
specs/load_balancer_unreal.spectra, 80, 2, false, 31.774, 
specs/load_balancer_unreal.spectra, 80, 3, false, 19.685, 
specs/load_balancer_unreal.spectra, 80, 4, false, 33.275, 
specs/load_balancer_unreal.spectra, 80, 84, false, 26.302, 
specs/load_balancer_unreal.spectra, 80, 85, true, 16.091, 
specs/load_balancer_unreal.spectra, 80, 86, true, 19.108, 
specs/load_balancer_unreal.spectra, 80, 87, false, 32.932, 
specs/load_balancer_unreal.spectra, 80, 88, false, 37.024, 
specs/load_balancer_unreal.spectra, 80, 89, false, 30.506, 
specs/load_balancer_unreal.spectra, 90, -1, false, 54.591, 
specs/load_balancer_unreal.spectra, 90, 0, false, 42.371, 
specs/load_balancer_unreal.spectra, 90, 1, false, 46.107, 
specs/load_balancer_unreal.spectra, 90, 2, false, 51.809, 
specs/load_balancer_unreal.spectra, 90, 3, false, 29.248, 
specs/load_balancer_unreal.spectra, 90, 4, false, 54.159, 
specs/load_balancer_unreal.spectra, 90, 94, false, 45.348, 
specs/load_balancer_unreal.spectra, 90, 95, true, 26.822, 
specs/load_balancer_unreal.spectra, 90, 96, true, 27.494, 
specs/load_balancer_unreal.spectra, 90, 97, false, 53.332, 
specs/load_balancer_unreal.spectra, 90, 98, false, 56.658, 
specs/load_balancer_unreal.spectra, 90, 99, false, 47.795, 
specs/load_balancer_unreal.spectra, 100, -1, false, 77.235, 
specs/load_balancer_unreal.spectra, 100, 0, false, 57.998, 
specs/load_balancer_unreal.spectra, 100, 1, false, 70.486, 
specs/load_balancer_unreal.spectra, 100, 2, false, 77.459, 
specs/load_balancer_unreal.spectra, 100, 3, false, 43.353, 
specs/load_balancer_unreal.spectra, 100, 4, false, 77.654, 
specs/load_balancer_unreal.spectra, 100, 104, false, 68.912, 
specs/load_balancer_unreal.spectra, 100, 105, true, 35.949, 
specs/load_balancer_unreal.spectra, 100, 106, true, 40.502, 
specs/load_balancer_unreal.spectra, 100, 107, false, 77.714, 
specs/load_balancer_unreal.spectra, 100, 108, false, 82.720, 
specs/load_balancer_unreal.spectra, 100, 109, false, 71.637, 
