Spec,Size,Remove,Is Real.,Total,
specs/load_balancer_unreal.spectra, 40, -1, false, 4.128, 
specs/load_balancer_unreal.spectra, 40, 0, false, 3.552, 
specs/load_balancer_unreal.spectra, 40, 1, false, 3.744, 
specs/load_balancer_unreal.spectra, 40, 2, false, 4.078, 
specs/load_balancer_unreal.spectra, 40, 3, false, 2.678, 
specs/load_balancer_unreal.spectra, 40, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 40, 44, false, 4.136, 
specs/load_balancer_unreal.spectra, 40, 45, true, 2.698, 
specs/load_balancer_unreal.spectra, 40, 46, true, 2.293, 
specs/load_balancer_unreal.spectra, 40, 47, false, 4.044, 
specs/load_balancer_unreal.spectra, 40, 48, false, 4.336, 
specs/load_balancer_unreal.spectra, 40, 49, false, 3.483, 
specs/load_balancer_unreal.spectra, 50, -1, false, 8.679, 
specs/load_balancer_unreal.spectra, 50, 0, false, 6.593, 
specs/load_balancer_unreal.spectra, 50, 1, false, 6.889, 
specs/load_balancer_unreal.spectra, 50, 2, false, 7.150, 
specs/load_balancer_unreal.spectra, 50, 3, false, 4.488, 
specs/load_balancer_unreal.spectra, 50, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 50, 54, false, 8.105, 
specs/load_balancer_unreal.spectra, 50, 55, true, 4.675, 
specs/load_balancer_unreal.spectra, 50, 56, true, 3.906, 
specs/load_balancer_unreal.spectra, 50, 57, false, 8.611, 
specs/load_balancer_unreal.spectra, 50, 58, false, 7.359, 
specs/load_balancer_unreal.spectra, 50, 59, false, 7.023, 
specs/load_balancer_unreal.spectra, 60, -1, false, 14.184, 
specs/load_balancer_unreal.spectra, 60, 0, false, 10.207, 
specs/load_balancer_unreal.spectra, 60, 1, false, 11.988, 
specs/load_balancer_unreal.spectra, 60, 2, false, 13.955, 
specs/load_balancer_unreal.spectra, 60, 3, false, 7.049, 
specs/load_balancer_unreal.spectra, 60, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 60, 64, false, 13.379, 
specs/load_balancer_unreal.spectra, 60, 65, true, 7.488, 
specs/load_balancer_unreal.spectra, 60, 66, true, 7.280, 
specs/load_balancer_unreal.spectra, 60, 67, false, 14.219, 
specs/load_balancer_unreal.spectra, 60, 68, false, 14.040, 
specs/load_balancer_unreal.spectra, 60, 69, false, 12.531, 
specs/load_balancer_unreal.spectra, 70, -1, false, 24.071, 
specs/load_balancer_unreal.spectra, 70, 0, false, 17.727, 
specs/load_balancer_unreal.spectra, 70, 1, false, 20.898, 
specs/load_balancer_unreal.spectra, 70, 2, false, 22.309, 
specs/load_balancer_unreal.spectra, 70, 3, false, 12.700, 
specs/load_balancer_unreal.spectra, 70, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 70, 74, false, 23.502, 
specs/load_balancer_unreal.spectra, 70, 75, true, 12.131, 
specs/load_balancer_unreal.spectra, 70, 76, true, 13.181, 
specs/load_balancer_unreal.spectra, 70, 77, false, 23.035, 
specs/load_balancer_unreal.spectra, 70, 78, false, 21.791, 
specs/load_balancer_unreal.spectra, 70, 79, false, 21.200, 
specs/load_balancer_unreal.spectra, 80, -1, false, 35.021, 
specs/load_balancer_unreal.spectra, 80, 0, false, 29.784, 
specs/load_balancer_unreal.spectra, 80, 1, false, 29.821, 
specs/load_balancer_unreal.spectra, 80, 2, false, 32.873, 
specs/load_balancer_unreal.spectra, 80, 3, false, 19.189, 
specs/load_balancer_unreal.spectra, 80, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 80, 84, false, 32.288, 
specs/load_balancer_unreal.spectra, 80, 85, true, 17.940, 
specs/load_balancer_unreal.spectra, 80, 86, true, 17.790, 
specs/load_balancer_unreal.spectra, 80, 87, false, 34.541, 
specs/load_balancer_unreal.spectra, 80, 88, false, 37.663, 
specs/load_balancer_unreal.spectra, 80, 89, false, 30.616, 
specs/load_balancer_unreal.spectra, 90, -1, false, 52.603, 
specs/load_balancer_unreal.spectra, 90, 0, false, 44.375, 
specs/load_balancer_unreal.spectra, 90, 1, false, 46.782, 
specs/load_balancer_unreal.spectra, 90, 2, false, 50.232, 
specs/load_balancer_unreal.spectra, 90, 3, false, 28.585, 
specs/load_balancer_unreal.spectra, 90, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 90, 94, false, 46.797, 
specs/load_balancer_unreal.spectra, 90, 95, true, 24.793, 
specs/load_balancer_unreal.spectra, 90, 96, true, 27.351, 
specs/load_balancer_unreal.spectra, 90, 97, false, 52.028, 
specs/load_balancer_unreal.spectra, 90, 98, false, 53.909, 
specs/load_balancer_unreal.spectra, 90, 99, false, 46.609, 
specs/load_balancer_unreal.spectra, 100, -1, false, 81.528, 
specs/load_balancer_unreal.spectra, 100, 0, false, 59.095, 
specs/load_balancer_unreal.spectra, 100, 1, false, 67.770, 
specs/load_balancer_unreal.spectra, 100, 2, false, 75.911, 
specs/load_balancer_unreal.spectra, 100, 3, false, 42.127, 
specs/load_balancer_unreal.spectra, 100, 4, class java.util.concurrent.TimeoutException
specs/load_balancer_unreal.spectra, 100, 104, false, 71.959, 
specs/load_balancer_unreal.spectra, 100, 105, true, 42.907, 
specs/load_balancer_unreal.spectra, 100, 106, true, 40.548, 
specs/load_balancer_unreal.spectra, 100, 107, false, 81.372, 
specs/load_balancer_unreal.spectra, 100, 108, false, 82.878, 
specs/load_balancer_unreal.spectra, 100, 109, false, 72.144, 
