Spec,Size,Remove,Is Real.,Total,
specs/prioritized_arbiter_unreal.spectra, 10, -1, false, 0.847, 
specs/prioritized_arbiter_unreal.spectra, 10, 0, true, 1.730, 
specs/prioritized_arbiter_unreal.spectra, 10, 1, true, 0.788, 
specs/prioritized_arbiter_unreal.spectra, 10, 2, false, 2.750, 
specs/prioritized_arbiter_unreal.spectra, 10, 3, false, 0.846, 
specs/prioritized_arbiter_unreal.spectra, 10, 4, false, 0.820, 
specs/prioritized_arbiter_unreal.spectra, 10, 5, false, 0.837, 
specs/prioritized_arbiter_unreal.spectra, 10, 6, false, 0.836, 
specs/prioritized_arbiter_unreal.spectra, 10, 7, false, 0.827, 
specs/prioritized_arbiter_unreal.spectra, 10, 8, false, 0.822, 
specs/prioritized_arbiter_unreal.spectra, 10, 9, false, 0.793, 
specs/prioritized_arbiter_unreal.spectra, 10, 10, false, 0.858, 
specs/prioritized_arbiter_unreal.spectra, 10, 11, false, 0.802, 
specs/prioritized_arbiter_unreal.spectra, 10, 12, false, 0.817, 
specs/prioritized_arbiter_unreal.spectra, 10, 13, false, 0.848, 
specs/prioritized_arbiter_unreal.spectra, 10, 14, false, 0.806, 
specs/prioritized_arbiter_unreal.spectra, 10, 35, false, 0.820, 
specs/prioritized_arbiter_unreal.spectra, 15, -1, false, 0.980, 
specs/prioritized_arbiter_unreal.spectra, 15, 0, true, 6.373, 
specs/prioritized_arbiter_unreal.spectra, 15, 1, true, 1.045, 
specs/prioritized_arbiter_unreal.spectra, 15, 2, false, 26.796, 
specs/prioritized_arbiter_unreal.spectra, 15, 3, false, 0.988, 
specs/prioritized_arbiter_unreal.spectra, 15, 4, false, 0.993, 
specs/prioritized_arbiter_unreal.spectra, 15, 5, false, 1.039, 
specs/prioritized_arbiter_unreal.spectra, 15, 6, false, 1.013, 
specs/prioritized_arbiter_unreal.spectra, 15, 7, false, 0.992, 
specs/prioritized_arbiter_unreal.spectra, 15, 8, false, 0.991, 
specs/prioritized_arbiter_unreal.spectra, 15, 9, false, 1.010, 
specs/prioritized_arbiter_unreal.spectra, 15, 10, false, 0.975, 
specs/prioritized_arbiter_unreal.spectra, 15, 11, false, 0.995, 
