Spec,Size,Remove,Is Real.,Total,
specs/prioritized_arbiter_unreal.spectra, 10, -1, false, 0.788, 
specs/prioritized_arbiter_unreal.spectra, 10, 0, true, 5.669, 
specs/prioritized_arbiter_unreal.spectra, 10, 1, true, 1.637, 
specs/prioritized_arbiter_unreal.spectra, 10, 2, false, 1.607, 
specs/prioritized_arbiter_unreal.spectra, 10, 3, false, 0.811, 
specs/prioritized_arbiter_unreal.spectra, 10, 4, false, 0.830, 
specs/prioritized_arbiter_unreal.spectra, 10, 5, false, 0.836, 
specs/prioritized_arbiter_unreal.spectra, 10, 6, false, 0.804, 
specs/prioritized_arbiter_unreal.spectra, 10, 7, false, 0.835, 
specs/prioritized_arbiter_unreal.spectra, 10, 8, false, 0.817, 
specs/prioritized_arbiter_unreal.spectra, 10, 9, false, 0.832, 
specs/prioritized_arbiter_unreal.spectra, 10, 10, false, 0.827, 
specs/prioritized_arbiter_unreal.spectra, 10, 11, false, 0.839, 
specs/prioritized_arbiter_unreal.spectra, 10, 12, false, 0.779, 
specs/prioritized_arbiter_unreal.spectra, 10, 13, false, 0.790, 
specs/prioritized_arbiter_unreal.spectra, 10, 14, false, 0.803, 
specs/prioritized_arbiter_unreal.spectra, 10, 35, false, 0.813, 
specs/prioritized_arbiter_unreal.spectra, 15, -1, false, 0.986, 
specs/prioritized_arbiter_unreal.spectra, 15, 0, true, 171.626, 
specs/prioritized_arbiter_unreal.spectra, 15, 1, true, 22.016, 
specs/prioritized_arbiter_unreal.spectra, 15, 2, false, 4.852, 
specs/prioritized_arbiter_unreal.spectra, 15, 3, false, 1.060, 
specs/prioritized_arbiter_unreal.spectra, 15, 4, false, 1.091, 
specs/prioritized_arbiter_unreal.spectra, 15, 5, false, 1.043, 
specs/prioritized_arbiter_unreal.spectra, 15, 6, false, 0.977, 
specs/prioritized_arbiter_unreal.spectra, 15, 7, false, 1.003, 
specs/prioritized_arbiter_unreal.spectra, 15, 8, false, 0.989, 
specs/prioritized_arbiter_unreal.spectra, 15, 9, false, 0.978, 
specs/prioritized_arbiter_unreal.spectra, 15, 10, false, 1.025, 
specs/prioritized_arbiter_unreal.spectra, 15, 11, false, 0.987, 
specs/prioritized_arbiter_unreal.spectra, 15, 12, false, 0.997, 
specs/prioritized_arbiter_unreal.spectra, 15, 13, false, 1.038, 
specs/prioritized_arbiter_unreal.spectra, 15, 14, false, 1.076, 
specs/prioritized_arbiter_unreal.spectra, 15, 45, false, 1.066, 
specs/prioritized_arbiter_unreal.spectra, 20, -1, false, 1.515, 
specs/prioritized_arbiter_unreal.spectra, 20, 0, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter_unreal.spectra, 20, 1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter_unreal.spectra, 20, 2, false, 63.326, 
specs/prioritized_arbiter_unreal.spectra, 20, 3, false, 1.503, 
specs/prioritized_arbiter_unreal.spectra, 20, 4, false, 1.505, 
specs/prioritized_arbiter_unreal.spectra, 20, 5, false, 1.580, 
specs/prioritized_arbiter_unreal.spectra, 20, 6, false, 1.501, 
specs/prioritized_arbiter_unreal.spectra, 20, 7, false, 1.528, 
specs/prioritized_arbiter_unreal.spectra, 20, 8, false, 1.514, 
specs/prioritized_arbiter_unreal.spectra, 20, 9, false, 1.548, 
specs/prioritized_arbiter_unreal.spectra, 20, 10, false, 1.490, 
specs/prioritized_arbiter_unreal.spectra, 20, 11, false, 1.553, 
specs/prioritized_arbiter_unreal.spectra, 20, 12, false, 1.544, 
specs/prioritized_arbiter_unreal.spectra, 20, 13, false, 1.483, 
specs/prioritized_arbiter_unreal.spectra, 20, 14, false, 1.583, 
specs/prioritized_arbiter_unreal.spectra, 20, 55, false, 1.557, 
specs/prioritized_arbiter_unreal.spectra, 25, -1, false, 2.142, 
specs/prioritized_arbiter_unreal.spectra, 25, 0, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter_unreal.spectra, 25, 1, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter_unreal.spectra, 25, 2, class java.util.concurrent.TimeoutException
specs/prioritized_arbiter_unreal.spectra, 25, 3, false, 2.158, 
specs/prioritized_arbiter_unreal.spectra, 25, 4, false, 2.158, 
specs/prioritized_arbiter_unreal.spectra, 25, 5, false, 2.297, 
specs/prioritized_arbiter_unreal.spectra, 25, 6, false, 2.308, 
specs/prioritized_arbiter_unreal.spectra, 25, 7, false, 2.251, 
specs/prioritized_arbiter_unreal.spectra, 25, 8, false, 2.176, 
specs/prioritized_arbiter_unreal.spectra, 25, 9, false, 2.178, 
specs/prioritized_arbiter_unreal.spectra, 25, 10, false, 2.169, 
specs/prioritized_arbiter_unreal.spectra, 25, 11, false, 2.420, 
specs/prioritized_arbiter_unreal.spectra, 25, 12, false, 2.166, 
specs/prioritized_arbiter_unreal.spectra, 25, 13, false, 2.235, 
specs/prioritized_arbiter_unreal.spectra, 25, 14, false, 2.313, 
specs/prioritized_arbiter_unreal.spectra, 25, 65, false, 2.137, 
specs/prioritized_arbiter_unreal.spectra, 30, -1, false, 3.476, 
