Spec,Size,Remove,Is Real.,Total,
specs/prioritized_arbiter_unreal.spectra, 10, -1, false, 0.787, 
specs/prioritized_arbiter_unreal.spectra, 10, 0, true, 3.208, 
specs/prioritized_arbiter_unreal.spectra, 10, 1, true, 1.114, 
specs/prioritized_arbiter_unreal.spectra, 10, 2, false, 1.960, 
specs/prioritized_arbiter_unreal.spectra, 10, 3, false, 0.827, 
specs/prioritized_arbiter_unreal.spectra, 10, 4, false, 0.830, 
specs/prioritized_arbiter_unreal.spectra, 10, 5, false, 0.837, 
specs/prioritized_arbiter_unreal.spectra, 10, 6, false, 0.805, 
specs/prioritized_arbiter_unreal.spectra, 10, 7, false, 0.788, 
specs/prioritized_arbiter_unreal.spectra, 10, 8, false, 0.766, 
specs/prioritized_arbiter_unreal.spectra, 10, 9, false, 0.811, 
specs/prioritized_arbiter_unreal.spectra, 10, 10, false, 0.816, 
specs/prioritized_arbiter_unreal.spectra, 10, 11, false, 0.842, 
specs/prioritized_arbiter_unreal.spectra, 10, 12, false, 0.818, 
specs/prioritized_arbiter_unreal.spectra, 10, 13, false, 0.840, 
specs/prioritized_arbiter_unreal.spectra, 10, 14, false, 0.806, 
specs/prioritized_arbiter_unreal.spectra, 10, 35, false, 0.852, 
specs/prioritized_arbiter_unreal.spectra, 15, -1, false, 1.008, 
specs/prioritized_arbiter_unreal.spectra, 15, 0, true, 20.581, 
specs/prioritized_arbiter_unreal.spectra, 15, 1, true, 1.720, 
specs/prioritized_arbiter_unreal.spectra, 15, 2, false, 5.955, 
specs/prioritized_arbiter_unreal.spectra, 15, 3, false, 1.003, 
specs/prioritized_arbiter_unreal.spectra, 15, 4, false, 0.979, 
specs/prioritized_arbiter_unreal.spectra, 15, 5, false, 0.989, 
specs/prioritized_arbiter_unreal.spectra, 15, 6, false, 0.987, 
specs/prioritized_arbiter_unreal.spectra, 15, 7, false, 1.016, 
specs/prioritized_arbiter_unreal.spectra, 15, 8, false, 1.006, 
specs/prioritized_arbiter_unreal.spectra, 15, 9, false, 0.976, 
specs/prioritized_arbiter_unreal.spectra, 15, 10, false, 1.020, 
specs/prioritized_arbiter_unreal.spectra, 15, 11, false, 0.982, 
specs/prioritized_arbiter_unreal.spectra, 15, 12, false, 0.949, 
specs/prioritized_arbiter_unreal.spectra, 15, 13, false, 1.006, 
specs/prioritized_arbiter_unreal.spectra, 15, 14, false, 0.992, 
specs/prioritized_arbiter_unreal.spectra, 15, 45, false, 1.019, 
specs/prioritized_arbiter_unreal.spectra, 20, -1, false, 1.450, 
