Spec,Size,Remove,Is Real.,Total,
specs/round_robin_arbiter.spectra, 60, -1, true, 2.146, 
specs/round_robin_arbiter.spectra, 60, 0, true, 2.027, 
specs/round_robin_arbiter.spectra, 60, 61, true, 2.256, 
specs/round_robin_arbiter.spectra, 60, 62, true, 2.080, 
specs/round_robin_arbiter.spectra, 70, -1, true, 3.376, 
specs/round_robin_arbiter.spectra, 70, 0, true, 2.704, 
specs/round_robin_arbiter.spectra, 70, 71, true, 2.786, 
specs/round_robin_arbiter.spectra, 70, 72, true, 3.003, 
specs/round_robin_arbiter.spectra, 80, -1, true, 3.987, 
specs/round_robin_arbiter.spectra, 80, 0, true, 3.873, 
specs/round_robin_arbiter.spectra, 80, 81, true, 3.818, 
specs/round_robin_arbiter.spectra, 80, 82, true, 3.481, 
specs/round_robin_arbiter.spectra, 90, -1, true, 5.236, 
specs/round_robin_arbiter.spectra, 90, 0, true, 4.804, 
specs/round_robin_arbiter.spectra, 90, 91, true, 4.661, 
specs/round_robin_arbiter.spectra, 90, 92, true, 4.890, 
specs/round_robin_arbiter.spectra, 100, -1, true, 5.820, 
specs/round_robin_arbiter.spectra, 100, 0, true, 5.366, 
specs/round_robin_arbiter.spectra, 100, 101, true, 5.967, 
specs/round_robin_arbiter.spectra, 100, 102, true, 5.824, 
specs/round_robin_arbiter.spectra, 110, -1, true, 8.373, 
specs/round_robin_arbiter.spectra, 110, 0, true, 7.233, 
specs/round_robin_arbiter.spectra, 110, 111, true, 7.245, 
specs/round_robin_arbiter.spectra, 110, 112, true, 7.650, 
specs/round_robin_arbiter.spectra, 120, -1, true, 10.444, 
specs/round_robin_arbiter.spectra, 120, 0, true, 9.167, 
specs/round_robin_arbiter.spectra, 120, 121, true, 8.669, 
specs/round_robin_arbiter.spectra, 120, 122, true, 8.731, 
