Spec,Size,Remove,Is Real.,Total,
specs/round_robin_arbiter.spectra, 60, -1, true, 2.155, 
specs/round_robin_arbiter.spectra, 60, 0, true, 1.782, 
specs/round_robin_arbiter.spectra, 60, 61, true, 1.971, 
specs/round_robin_arbiter.spectra, 60, 62, true, 1.877, 
specs/round_robin_arbiter.spectra, 70, -1, true, 2.544, 
specs/round_robin_arbiter.spectra, 70, 0, true, 2.623, 
specs/round_robin_arbiter.spectra, 70, 71, true, 2.468, 
specs/round_robin_arbiter.spectra, 70, 72, true, 2.545, 
specs/round_robin_arbiter.spectra, 80, -1, true, 3.593, 
specs/round_robin_arbiter.spectra, 80, 0, true, 3.293, 
specs/round_robin_arbiter.spectra, 80, 81, true, 3.100, 
specs/round_robin_arbiter.spectra, 80, 82, true, 3.208, 
specs/round_robin_arbiter.spectra, 90, -1, true, 4.833, 
specs/round_robin_arbiter.spectra, 90, 0, true, 4.273, 
specs/round_robin_arbiter.spectra, 90, 91, true, 4.001, 
specs/round_robin_arbiter.spectra, 90, 92, true, 4.237, 
specs/round_robin_arbiter.spectra, 100, -1, true, 5.825, 
specs/round_robin_arbiter.spectra, 100, 0, true, 5.011, 
specs/round_robin_arbiter.spectra, 100, 101, true, 5.032, 
specs/round_robin_arbiter.spectra, 100, 102, true, 5.305, 
specs/round_robin_arbiter.spectra, 110, -1, true, 7.506, 
specs/round_robin_arbiter.spectra, 110, 0, true, 6.513, 
specs/round_robin_arbiter.spectra, 110, 111, true, 6.303, 
specs/round_robin_arbiter.spectra, 110, 112, true, 6.601, 
specs/round_robin_arbiter.spectra, 120, -1, true, 9.275, 
specs/round_robin_arbiter.spectra, 120, 0, true, 8.091, 
specs/round_robin_arbiter.spectra, 120, 121, true, 8.278, 
specs/round_robin_arbiter.spectra, 120, 122, true, 7.984, 
