Spec,Size,Remove,Is Real.,Total,
specs/round_robin_arbiter.spectra, 60, -1, true, 2.125, 
specs/round_robin_arbiter.spectra, 60, 0, true, 1.898, 
specs/round_robin_arbiter.spectra, 60, 61, true, 1.942, 
specs/round_robin_arbiter.spectra, 60, 62, true, 1.855, 
specs/round_robin_arbiter.spectra, 70, -1, true, 2.665, 
specs/round_robin_arbiter.spectra, 70, 0, true, 2.525, 
specs/round_robin_arbiter.spectra, 70, 71, true, 2.486, 
specs/round_robin_arbiter.spectra, 70, 72, true, 2.644, 
specs/round_robin_arbiter.spectra, 80, -1, true, 3.427, 
specs/round_robin_arbiter.spectra, 80, 0, true, 3.329, 
specs/round_robin_arbiter.spectra, 80, 81, true, 3.449, 
specs/round_robin_arbiter.spectra, 80, 82, true, 3.127, 
specs/round_robin_arbiter.spectra, 90, -1, true, 4.578, 
specs/round_robin_arbiter.spectra, 90, 0, true, 4.259, 
specs/round_robin_arbiter.spectra, 90, 91, true, 4.233, 
specs/round_robin_arbiter.spectra, 90, 92, true, 4.364, 
specs/round_robin_arbiter.spectra, 100, -1, true, 5.913, 
specs/round_robin_arbiter.spectra, 100, 0, true, 5.010, 
specs/round_robin_arbiter.spectra, 100, 101, true, 5.586, 
specs/round_robin_arbiter.spectra, 100, 102, true, 5.443, 
specs/round_robin_arbiter.spectra, 110, -1, true, 7.425, 
specs/round_robin_arbiter.spectra, 110, 0, true, 6.716, 
specs/round_robin_arbiter.spectra, 110, 111, true, 6.720, 
specs/round_robin_arbiter.spectra, 110, 112, true, 6.162, 
specs/round_robin_arbiter.spectra, 120, -1, true, 8.852, 
specs/round_robin_arbiter.spectra, 120, 0, true, 7.972, 
specs/round_robin_arbiter.spectra, 120, 121, true, 8.142, 
specs/round_robin_arbiter.spectra, 120, 122, true, 8.865, 
